Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,3,Hotel giardino,"O hotel é ótimo, confortável e limpinho, café da manhã e jantar excelentes com variedade de comida e bebida. Porém, no meu quarto havia apenas uma tomara 110v e não pegava sinal de Wi-Fi, isso foi muito chato. Cama confortável apartamento espaçoso. No geral foi bom."
ago. de 2022,5,Férias,"Mais uma vez, amei estar nesse paraíso, rodeada de profissionais muito gentis, prestativos, simpáticos.  Destaco os atendentes Robson, Iorraine e Amanda, Gabriel é a recepcionista do restaurante período noturno, sem desmerecer os demais que claro estão sempre dispostos a ajudar."
uma avaliação Ontem,4,Férias,"Raquelzinha da noite super atenciosa, um amorzinho e um dia no quarto fizeram um cachorrinho com toalha amei meu filho adorou, só fiquei com dó do Dalva vidas coitado dia TD lá ninguém na piscina TDS os dias. Comida muito boa, atenciosos"
7 de dez.,5,experiencia giardino,excelente atendimento. funcionarios prestativos  fui muito bem atendido por varios funcionarios inclusive a Micileni que me atendeu durante o cafe da manha e foi bastante prestativa e educada.  todos muito prestativos e sinpaticos desde a entrada ate a saida.
6 de dez.,1,"O hotel não corresponde ao valor cobrado, pior hotel que ja me hospedei!","Passei 7 diárias (de domingo a domingo) nesse hotel e vou descrever minha avaliação em categorias com explicação e nota de 0 a 5:  Serviço de recepção: inexistente, na recepção não é oferecido nem um copo de água, pois em outros hoteis do complexo oferecem frutas e água saborizada.  Nota:0  Atendimento: o atendimento na recepção é bom, os atendentes são atenciosos e educados, mas falta repassar uma informação importante no check-in sobre a programação do resort, que atualmente é feita atraves da ""Sol"" atendente virtual via WhatsApp, pois eu e muitos outros hospedes não sabiamos da programação que antigamente era disponibilazada atraves de panfleto e em nenhum momento me foi repassado pelos atendentes da recepção o contato da ""Sol"" para ter acesso a programação.  Ja o atendimento dos funcionários nos restaurantes e serviços de quarto são maravilhosos, todos muito prestativos, educados e atenciosos.  Nota de atendimento: 4  Acomodação: os quartos são grandes, estilo flat, a cama é confortável, o sabonete, shampoo e condicionador disponibilizados são otimos e deixam os cabelos macios, porém no nosso apartamento faltou edredom e ao solicitar trouxeram um fedendo muito a barata e mofo (minha mãe adoeceu por dormir com ele), solicitei a troca no dia seguinte e fizeram a troca sem problemas por outro muito cheiroso. Outra situação relevante é que os quartos são todos feitos de gesso acartonado com uma acustica pessima, um minimo barulho em quartos ao redor podem ser ouvidos e incomoda bastante.  Nota de Acomodação: 3  Alimentação: todos os hospedes sao obrigados a fechar pacote de meia pensão, sendo café da manhã e janta, e não pode fazer a troca de janta para almoço, o que foi bem chato para nós, pois nao temos costume de jantar, alem disso o valor é bem alto por pessoa (mais de 200 reais por dia e por pessoa), valor esse que só compensaria se a comida fosse boa, mas a comida é péssima, pessima no sentido de: caldo ruim, carne dura, peixe com muita espinha, pizza ruim com massa dura e seca, apenas duas opções de arroz que eram arroz branco e arroz integral, sem contar a sobremessa que sempre tinha umas 4 opções e todas as opções eram gelatina e todas eram ruim e sem gosto, enfim no geral o restaurante tinha pouca variedade tanto no café da manhã quanto na janta e a comida não era boa, foi o pior hotel que ja fiquei em relação a alimentação.  Nota alimentação: 0  Restaurante: muito pequeno e lotado, as filas para entrar eram enormes e quilométricas.  Nota restaurante: 0  Serviço de toalhas: nao pode levar as toalhas do quarto para o parque, para isso eles cobram uma taxa fixa para a semana toda de 15 reais por pessoa e pode trocar quantas vezes quiser durante a semana, primeiro hotel que fico que esse serviço é pago. Outra coisa se estiverem indo pela RCI o valor é 10 reais, eu me hospedei pela RCI mas paguei 15 reais pois não me atentei ao comprovante de reserva que informava esse desconto e só questionei na saída, e para darem o desconto teria que chamar gerente e eu estava com pressa para pegar meu voo então paguei o valor de 15 reais mesmo.  Nota: 3  Piscina hotel: piscina pequena e com agua fria. Sem contar que dentro do hotel é a única opção de lazer.  Nota: 0  Serviço de translado: o serviço de translado é bom, o onibus passa de 20 em 20 minutos para levar ao parque mas em dias de hotel muito cheio o onibus não da conta de levar todo mundo e aconteceu varias vezes de termos que esperar o proximo ônibus, por conta da lotação, e essa espera pode levar ate mais de 40min, outra coisa o onibus saindo do giardino não para na praia do cerrado como o onibus do Cristal, o do giardino só para na estação do hotel pousada que fica bem longe da praia do cerrado. Fora que alguns bancos estavam rasgados e nos molhavam quando iamos para as atrações a noite no toldo do bosque.  Nota translado: 3  Atrações: Tudo perfeito, muitas atrações e programações 24h, amamos o complexo e o atendimento em todos os locais que passamos dentro dos parques.  Nota: 5    Avaliação geral: Pior hotel que ja me hospedei na vida, esse hotel nao corresponde ao valor cobrado, nao recomendo esse hotel e não me hospedaria nunca mais, pois todos os outros hospedes que conversei ao longo da diaria tem as mesmas reclamações que as minhas e não estavam gostando."
6 de dez.,4,"Muito bom, só peca no transfer pro parque.","Excelentes a acomodação, atendimento ,café da manhã e buffet do hotel, mas o transfer do hotel para o hot park é muito ruim. Desconfortável e lotado na hora de pico, e pra quem tem criança pequena com carrinho de bebê em ônibus lotado é horrível."
2 de dez.,4,DESCANSO QUASE 100% PERFEITO NAS ÁGUAS QUENTINHAS,"DESCANSO QUASE 100% PERFEITO NAS ÁGUAS QUENTINHAS    A gente adorou esses dias no Rio Quente! Fui levar minha mae pra descansar, se tratar nas termas e curti tambem. No saldo geral recomendamos. A experiência é boa, alguns pontos de melhoria podem contribuir pra elevar essa vivência.    Pontos positivos: 1 Atendimento mto bom, staff bem dedicado e gentil sempre que acionado - eu acho que é o ponto alto deste hotel. 2 Quarto tipo studio, bem amplo, com 1 quarto, 1 ante-sala e uma mesa grande de suporte, alem de varios cabides. Para 2 pessoas dá e sobra, com mto conforto. 3 Acomodacoes limpas, com toalhas, camas e lençóis de qualidade. 4 Ducha forte e gostosa. 5 Onibus de transfer às Termas é rapido e pontual em geral. 6 Fica bem perto da ruazinha central que oferece mercados, restaurantes e lojinhas pra compras extras ou de ultima hora. 7 Dentre os hoteis da rede Rio Quente, uma otima opcao pq soubemos que os hoteis dentro do complexo das Termas oferecem quartos apertados. 8 Se vc esta em família de 3 ou 4 pessoas, pense no Giardino como uma boa opção. Destaco o serviço de todo o staff do restaurante, em especial pra Thalita Bispo. 9 No Parque das Fontes, que é nossa área preferida lá dentro, mto bem estruturada e organizada, destaco de forma especial os serviços do simpático e prestativo Enoch Teixeira, que trabalha num dos bares à beira da piscina. Mas palmas e agradecimentos a TODES que nos atenderam com tanto carinho e atenção.    Pontos a melhorar: 1 Estrutura já desgastada, que requer um reforma de quartos, portas, janelas e banheiros. 2 Comida do restaurante, seja pra café da manha e jantar: oferecem muita variedade mas com pouca qualidade. Quase tudo sem sabor, muito industrializado, sem graça. Cardapio bem trivial. Sucos artificiais de maquina. 3 Talheres soltos numa caixa onde todos colocam as mãos - deveriam estar colocados nas mesas, ja separados, ou envoltos em sacos privados para uma correta higiene, ainda mais em tempos de pandemia. Entendemos o custo disso mas estamos falando de uma questao sanitaria grave. 4 Falta correto arejamento do local - há janelas mas foram mantidas quase que totalmente fechadas. 5 Alguns hospedes barulhentos e mal educados, que precisam ser melhor coibidos: tivemos por 2x que chamar a atencao de gente falando alto as 6h da manha ou 22h da noite, proximo à porta do nosso quarto. Sugiro colocar cartazes educativos nos corredores para as pessoas respeitarem o descanso alheio. 6 Se houver questoes de mobilidade, repare: distancia grande entre portaria e quarto, uma bela caminhada pra se acessar a suite mas com rampas e acessibilidade. 7 Salário dos funcionários: essa equipe vale ouro, aumentem por favor o que possivel na remuneracao de todes, eles merecem pelo gás que dão!"
1 de dez.,3,Poderia ser melhor pelo preço,"O quarto não tinha varal adequado para pendurar roupas de banho e toalhas, para entrar no quarto tinha que tirar o cartão do cordão (correndo risco de perder); a piscina do hotel estava com a água turva (meio suja) durante todo o tempo da nossa estadia; teve um dia que os bifes estavam mt duros, mas o restante da comida extremamente delicioso e nunca faltou nada.  a wifi era boa, mas a qualidade da imagem da tv era meio ruim...  o atendimento pelos funcionários sempre excelente."
nov. de 2022,5,Puro encantamento!!!,"Simplesmente excelente!!! Tivemos dias maravilhosos enquanto estivemos hospedados no Hotel Giardino. Da estrutura, alimentação e atendimento só posso dizer que foram dias de muita diversão e encantamento. Me surpreendi muito com a estrutura da Copa do Bebê, onde ficam frutas frescas, leites em pó variados e uma área de alimentação exclusiva disponível sem custo, para nós que temos crianças pequenas.  O atendimento foi perfeito. É muito bom ser recebida com um sorriso no rosto e ter toda a equipe de atendimento buscando que nossa experiência seja a melhor até nós mínimos detalhes. Em especial venho parabenizar ao Robson Alves da recepção que teve todo cuidado no atendimento das necessidades de toda minha família. Simplesmente Amei!!!"
nov. de 2022,5,Ótimo para férias em família,"Gostamos muito do hotel, boa estrutura, atendimento cortês e principalmente a alimentação, variada e saborosa. Muito bom para famílias. Atendimento especial do Robson Alves na recepção. Indicarei o hotel para familiares e amigos."
