Data da opinião,Nota,Título,Conteúdo
nov. de 2022,4,Ótima opção para viagens em familia,"O hotel é bom, os quartos sao limitados, porem confortáveis.  As camas no quarto que ficamos sao otimas, o quarto com frigobar e cofre.  O atendimento dos funcionários foi ótimo, muito educados.  O estacionamento é gratuito, porem rotativo, nao tem vagas para todos.  O maior fluxo de pessoas sao aos sábados  No geral o hotel é muito agradável, principalmente para quem vai com crianças.  A comida é excepcional, cafe da manhã, almoço e jantar sao excelentes.  O unico ponto negativo que notei foi a academia de musculação, que esta meio que ""abandonada"", e é bem limitada.  Outra observação que faço é pertinente aoa video games do hotel, que deveriam ser gratuitos, e nao cobrarem para as criancas brincarem.  Mas com certeza me hospedarei com minha familia novamente.  Recomendo o hotel, sem sombra de duvidas."
out. de 2022,1,Não indico infelizmente,"Infelizmente minha experiência foi péssima ! Cafe da manha , jantar deixam a desejar, em 4 diárias senti falta de uma comida boa, feijão muitas vezes salgado, falta opção para crianças, coisas simples como batata frita , filé de frango grelhado , enfim, a alimentação deixa a desejar  Piscinas durante o dia é impossível entrar, a água estava simplesmente fervendo ! No entanto que não se vê ninguém durante do dia usando as piscinas  O atendimento dos colaboradores e o único ponto positivo, com exceção da Maria camareira que as 8h da manha canta nos corredores dos aptos , o que atrapalha muito o descanso !    Infelizmente não indico o local  Os parques fecham a m alguns dias , então cuidado pois isso vc só saberá ao chegar la"
out. de 2022,4,Caldas novas hotel thermas prive,"O hotel é mto bom , fui em outubro , tinha pouca gente. Tudo limpo quarto e piscinas de água quente . Várias atividades no hotel. Café da manhã mto bom bem diversificado . Meia pensão , café da manhã e janta. O jantar é maravilhoso.  Caldas novas é uma cidade pequena mas mto gostosa. Clima quente . Da para ir em qualquer época do ano.eu fui no calor. Os parque são pretos só atravessar a rua . O melhor parque é hot parque . É mais caro . Mas tbm o público é mais seletivo . Vale o custo benefício .  Os demais parque é bem lotado ."
out. de 2022,2,Preços altos e falta de tranquilidade,"Estive hospedada no hotel por 5 vezes e infelizmente essa foi uma experiência nada agradável.  Viajei para descansar e tive que sair para passear com o bebê pelas ruas para que ele dormisse de tanto barulho que estava. A equipe de recreação tinha o som alto demais. Não conseguíamos conversar enquanto estávamos dentro da piscina.  O valor das cervejas estava exorbitante, fora de cogitação!  Internet péssima.  Acomodação com pouca luz, o que dificultou na hora de fazer a troca do meu bebê.  Piscina do bar molhado com água quente demais!  Os adultos tiveram que recorrer para piscina infantil, pois lá a água estava agradável.  Infelizmente voltei para casa cansada e desapontada com o hotel, coisa que nunca tinha acontecido.  Fica a dica para quem procura um lugar para bebê e idosos. O hotel deixou de ser tranquilo."
out. de 2022,5,Lugar maravilhoso para passeio em família,"Hotel maravilhoso, funcionários excelentes, a equipe de recreação Tio chorão e tia Narizinho são incríveis, meus filhos amaram!! Ótimo lugar para descansar e relaxar!!! Com toda certeza irei voltar muitas vezes. Parabéns aos funcionários 👏🏻👏🏻"
out. de 2022,1,Barulho insuportável,"Barulho insuportável, equipe de lazer com o som no último volume para meia dúzia de pessoas na piscina. Não dá para conversar muito menos fazer um bebê dormir. Reclamei da altura do som, abaixaram, mas 30 minutos depois estava novamente exagerado.  Ir para o quarto não resolve nada, parece que a caixa de som está do lado da sua cama.  Estou nesse momento hospedado e indo para a rua passear com meu bebê para ver se ele dorme, porque dentro do hotel esqueça. Sossego zero!!!  Obs.: é minha quarta vez nesse hotel. Sempre foi ótimo, perfeito para bebês e idosos, mas essa ideia de colocar uma equipe de recreação acabou com a paz do lugar. Se quiserem descansar esqueçam o Thermas Prive."
set. de 2022,5,Ótimo,"Espetacular, muito bem preparado para receber os hóspedes, o pessoal super atencioso e gentil, muito bem localizado, refeições fartas, limpeza impecável, simplesmente excelente. Perfeito pra passar umas férias, perfeito."
set. de 2022,1,Viagem em família,""" O atendimento do hotel deixa muito aquém pelo tamanho,pois tem fila gigantesca no café ,no almoço e os funcionários pelo quantidade de pessoas ao mesmo tempo no restaurante ficam tentando organizar, ficam sobre carregados com tanto serviço.  A hospitalidade dos funcionários e bem fria e sem graça.  O banheiro com cheiro forte saindo dos ralos, chuveiro com uma demora para esquentar, sem trocas de lençol .  No parque os mesmo problemas de filas e mais filas tudo demora, e olha que nós fomos fora da temporada.  Não recomendo e não devo voltar a Caldas novas."
set. de 2022,2,"RESERVA DE QUARTO ENGANOSA, PESSOAS SÃO LOCADAS SEM CRITÉRIO!","Paguei dois quartos, um para casal e outro para uma pessoa.  No hotel existem quartos de 3 e 4 lugares, com 3 alas diferentes.  Chegamos cedo com o intúito de escolher os quartos, mas nos foi dito que o hotel estava lotado e não era possível a escolha que quando na reserva nos foi dito que na chegada poderíamos escolher nosso quarto.  Fizemos o check in e passados alguns minutos um casal e uma família de 3 pessoas e outro casal foram fazendo o check in e escolhendo os quartos, inclusive melhores que o nosso, pois nos colocaram na ala antiga com problemas no quarto e banheiro.  Colaboradores da recepção muito mal treinados, suas atitudes são realizadas conforme a ""cara"" do cliente.  Dizem que tem estacionamento, mas toda família, 5 carros, ficaram na rua!"
set. de 2022,1,"serviços em geral deixam muito a desejar, poucos funcionários com mal atendimento.","hotel bem localizado com boa quantidade de piscinas mas é só isto. serviços em geral são ruins com destaque para o atendimento pois tem poucos funcionários que atendem mal, com algumas exceções. qualidade do restaurante muito ruim cardápio sem tempero e pratos mal preparados, preços das bebidas muito altos mesmo para um hotel. no serviço de atendimento nas piscinas o bar fica sem atendente pois o mesmo precisa percorrer toda a área da piscina e você precisar ir atrás para ser atendido. nas piscinas a cascata é desliga em pleno final de semana mesmo com hospedes usando. ficamos desapontados e não recomendamos..."
