Data da opinião,Nota,Título,Conteúdo
1 de dez.,1,Falta de água! Absurdo!,"Estive em Florianópolis para um congresso e a trabalho e no primeiro dia de hospedagem faltou água no período da noite, justamente quando voltei do dia de trabalho. Não havia água na pia e no chuveiro. Os funcionários não nos deram justificativa ou apoio. NÃO RECOMENDO!!!"
nov. de 2022,2,O que vale são os funcionários,"Os funcionários são ótimos: prestativos, sorridentes, de bem com a vida.  Já o restante deixou a desejar. O café da manhã não tinha opções de bolo, pães, era muito modesto. Tudo sem sabor.  A internet é péssima, então se vc for a trabalho e tiver que usar, sugiro de imediato procurar outro hotel."
nov. de 2022,4,Bom custo-benefício,"Boa opção para custo-benefício. Bem localizado e café da manhã bom. Velocidade da internet ok, mas poderia ser melhor. O quarto é pequeno, mas tem o necessário para a estadia. Falta um frigobar com bebidas. Célia da limpeza muito simpática e dedicada. Um pouco ruim de acústica. Qqr barulho do vizinho, o som vaza. E as portas batem muito forte."
out. de 2022,4,Boa opção,Padrão Ibis. Achei que o quarto tinha um pouco de cheiro de mofo. Mas tudo funcionava bem. Usei o quarto com cama extra pro meu filho. Café (razoável) e estacionamento (todo mofado e com infiltracoes) pagos à parte. Boa opção no centro de Florianópolis.
set. de 2022,4,Bem localizado,"O hotel muito bem localizada, perto do centro e de pontos turísticos importantes de Floripa. Como é padrão dos Hotéis Ibis, se destaca pelo básico: limpo, cama boa e banho bom. De quebra serve um café da manhã muito bom. O ponto fraco são as comodidades do hotel, como lobby ou bar."
set. de 2022,2,Boa locaçização / funcionarios atenciosos / serviços oferecidos ruins,"Sempre fico neste hotel, porem desta vez foi pessimo, custo alto , quase o dobro do normal, TV sem sinal com imagem pessima (estavam tentando regularizar a 3 semanas) Internet sem funcionar nos quartos (somente no terreo) , pia entupida e vazando agua no chão (chamamos manutenção desentupiram mas o vazamento continuou) , cafe da manha com produtos de baixa qualidade ! Desta vez foi mal mesmo."
jul. de 2022,5,Bem localizado e atendimento muito bom,"Desde a recepção , arrumadeiras, os manobristas são muito cordiais e receptivos. O café da manhã é sempre muito bom, com bastante variedades . O local está bem perto de mercados, padarias, farmácias, não precisamos pegar o carro para fazer nada disso."
jul. de 2022,1,Estacionamento horrível,"Péssimo sistema de estacionamento, valor absurdo pago a parte. Demora para retirar o veículo. Deveria informar antes. A cada necessidade de saída precisa solicitar manobristas. Fila de esperar para aguardar o carro. Cilada para quem precisa sair de forma rápida"
jun. de 2022,1,Péssimo,Hotel nao faz a troca da roupa de cama. Encontrei entre o lençol e sobre-lençol cabelo castanho masculino na direção da cabeça e pernas devendo corresponder ao hóspede da noite anterior. Notava-se o sobre-lencol amassado. Dormi em cima do lençol. Ja era perto de meia noite qdo consegui me acomodar pra deitar e dormir. Desisti de reclamar. Ao amanhecer começaram as batidas nas portas do corredor e a camareira puxando assunto no corredor com os hospedes perguntando como foi a noite. Nunca me irritei tanto com uma hospedagem na rede accor!!
jun. de 2022,1,PIOR HOTEL QUE JA FIQUEI,"Tenho apenas coisas ruins, fui muito mal recebido, mal tratado, humilhado, pra ter uma idéia estava me servindo no café e me disseram, se nao pagar o café antecipadamente nao come. Sou fidelidade Gold e nunca passei por situação tão vexatória. Ai fui tomar banho e o chuveiro não ligou, tentei ligar na recepção o telefone não funcionou, quando desci a atendente me falou que era assim mesmo e que eu teria que esperar o chuveiro esquentar. Inclusive me disse que não tem um tempo certo pro chuveiro esquentar. Nunca vi isso, mas tudo bem. Ai falei que queria a devolução de 1 diária, pois tinha pago 2 e iria procurar outro hotel, a mesma atendente falou que não era possível. Ai depois de muita briga pegaram meus dados bancários mas até agora não devolveram. Sai de la e fui terminar minha hospedagem no Ibis São José, e ai sim, fui muito bem tratado. Não recomendo esse hotel pois não sabem atender as pessoas."
mai. de 2022,1,"Barulho a noite inteira, impossível dormir","Barulho de batidas em paredes a noite inteira e batidas de portas.  Se você quer um hotel pra descansar não vá nesse.  As salas de serviço dos funcionários ficam bem do lado dos quartos, isso gera barulho a todo instante."
mai. de 2022,5,Atendimento excelente!,"Parabéns ao gerente Carlos e toda a sua equipe!  Minha estada no Ibis Florianópolis foi perfeita, atendimento digno de hotel 5 estrelas!  Tudo muito limpo, ótima localização, equipe muito bem treinada!  Gentileza e profissionalismo de todos!  Gratidão!"
mai. de 2022,5,"Prático, bem localizado.","Hotel bem localizado, agilidade e praticidade de sempre da rede Íbis.  Quartos limpos e silenciosos. Café da manhã variado e saboroso. Cerveja do bar da recepção estupidamente gelada. Recomendo a estadia a todos."
mai. de 2022,3,Melhorar a manutenção,"Defeitos hidráulicos (descarga vazando no 769; pia entupida no 369, cartão magnético da porta não funcionava no 1069 e 370). Lençol da cama com manchas. Uma pena, pq o atendimento é muito bom: Ariani e Renato são simpatias e fazem todo esforço para minimizar o problema: fiz 4 tentativas para 4 aptos diferentes."
abr. de 2022,3,internet,"Os funcionários foram todos ótimos. A internet que decepcionou, porque não possibilitou o acesso ao site para estudos, o qual foi a finalidade da viagem. Embora os esforço da rede eu tive que trabalhar com dados móveis. Fiquei surpresa pela rede hoteleira não resolver a situação, mesmo em contato com o meu assistente, de informática, via remoto, e verificado que o meu notebook não tinha problemas, e por fim, coube ao hotel resolver e não aconteceu."
abr. de 2022,5,Excelência em serviços,"Gostaria de agradecer à equipe e ao Sr. Manuel pelo excelente serviço durante o fim de semana da corrida da Volta à Ilha 8 a 10 de abril de 2022, prestado a mim, minha esposa e toda a nossa equipe Ericsson. Foi o ótimo serviço de hotel e boa localização esperado de um hotel Ibis, com um “mais” que fez a diferença – café da manhã completo às 2:30 da manhã (!), jantar de boa qualidade, atendimento pessoal, rápido e eficiente. Muito obrigado, com certeza voltaremos aqui na nossa próxima participação!"
abr. de 2022,4,Hospedagem atribulada,"Hóspedes sem a mínima educação, com várias crianças, ocuparam toda a área de convivência do hotel, inclusive a recepção, perturbando os demais hóspedes.Os funcionários do hotel não se sentiram a vontade para chamar a atenção da ""grande família""."
