Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,"Muito bom, recomendo","Localização muito boa, funcionários super simpáticos. O hotel cobra taxa de estacionamento de 30 Reais que vale super a pena porque funciona 24h com serviço de manobrista.  O quarto para 3 não é muito grande, mas acomodou super bem e tem uma varandinha bem charmosa.  O café da manhã também é muito bom!"
out. de 2022,4,Excelente custo benefício,"3xcelente localização. Perto da Beira mar e do centro. Supermercado ao lado. Limpo, confortável , café da manhã maravilhoso, chá e café expresso o dia todo, equipe simpática, solicita, sempre prontos a ajudar. Voltarei."
out. de 2022,5,Maravilhoso,"Excelente hotel na região central da cidade, não tem a vibe praiana, tampouco parece com as demais capitais (em suas regiões centrais), porém é bom pra quem vai se deslocar em vários pontos da ilha. Tem mercado e drogaria praticamente do lado, e restaurantes próximos. Café da manhã bem gostoso. Atendimento cordial de todos os funcionários, principalmente as meninas da limpeza/camareiras, quanta educação e carisma, diferente dos recepcionistas do período da manhã. Quarto limpo e espaçoso. Wi-Fi com ótimo sinal. No geral, a estadia foi excelente!"
out. de 2022,5,Dra. Regina,"Excelente hotel, acomodação aconchegante, recepção e funcionários prestativos e café da manhã delicioso.  Fácil acesso e muito bem localizado, o Hotel Porto da Ilha é uma excelente opção de hospedagem."
set. de 2022,4,Bem localizado e confortável,"Hotel bem localizado, com fácil acesso a Beira Mar Norte e ao centro. Equipe muito atenciosa e bom café da manha. Quartos confortáveis e de tamanho razoável. Muito bom custo x benefício. Dispõe de garagem"
ago. de 2022,4,Uma boa opção,Hotel bem localizado; próximo de restaurantes; quarto confortável e com instalações novas! Acesso a canais variados (Net/globoplay e TV aberta) Banheiro com boa manutenção! Café da manhã de qualidade! Recomendo
ago. de 2022,5,Ótima opção,"Hotel muito bem localizado com acesso fácil à diversos pontos da cidade. Hotel bonito e com ótima manutenção. Quarto bem limpo, internet muito boa e um café da manhã muito saboroso e com bastante diversidade. Atendimento bem atencioso e prestativo."
jul. de 2022,3,Básico mas bem localizado.,"Nada demais, básico. Limpo, bom atendimento, quartos pequenos, cobertas muito simples, café sem nada de especial. Pela diária contada, os banheiros deveriam ser mais modernos, as cobertas com melhor qualidade,. A localização è o de melhor do hotel."
jun. de 2022,4,Razoável,"Café da manhã ok, funcionários ótimos e atenciosos que nos deram orientações de como explorar a cidade.  Hotel é muito barulhento, descarga e chuveiro fazem muito ruído (ouvíamos os nossos e os dos vizinhos, no meio da noite incomodando um tanto)"
abr. de 2022,4,Boa opção no centro,"Bom hotel na região central da cidade, não tem a vibe praiana, porém é bom pra quem vai se deslocar em vários pontos da ilha. Tem mercado e drogaria praticamente do lado, e restaurantes próximos. Estacionamento cobrado à parte. Café da manhã simples, porém bem gostoso. Atendimento cordial de todos os funcionários. Quarto limpo e espaçoso. Wi-Fi ótimo! Ponto a melhorar: a TV do nosso quarto era minúscula (um monitor). Dica: se você quer fugir do trânsito, opte por um hotel mais próximo da praia, o trânsito de Floripa estressa um pouco. No geral, nossa estadia foi ótima!"
