Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Hotel muito bom,"Hotel muito bom, sempre que vou a Joinville utilizo suas dependências em função da localização. Recomendo o hotel constantemente para meus amigos e demais profissionais que conheço, pois o atendimento é bom e as instalações também."
1 de dez.,5,Ótimo hotel,"Ótimo hotel, o atendimento maravilhoso, a comida boa , o café da manhã ótimo o Bacon muito bom , os faróis e o café passado servido que nem de casa, voltaria certeza mais nada a declarar sobre minha hospedagem"
nov. de 2022,5,Tudo ótimo,"Tudo perfeito. Equipe, estrutura, atendimento, instalações. O hotel tem uma ótima localização. Serviço de qualidade. Quarto impecável. Tudo muito bem limpo e organizado. Ótimo café-da-manhã. Gostamos muito."
nov. de 2022,4,Hotel bom,"Sugiro apenas melhorarem as cortinas (não escurecem o suficiente o quarto) e o sistema de reserva do hotel. Chegamos cansados, depois de 8 horas de viagem, e não encontraram a reserva no sistema. Tivemos que esperar ainda uns 10 minutos na recepção para poder ir para nosso quarto."
nov. de 2022,4,Ótimo custo-benefício,"Excelente opção para uma noite de descanso na viagem, tanto que parei na ida e na volta de Gramado.  Todas as comodidades esperadas, ´muito bem localizado. ao lado do shopping onde pudemos jantar semprecisar usar o carro"
nov. de 2022,4,O inferno da TV,"O atendimento, a limpeza, o conforto, o café da manhã são bons. O estacionamento é bom, porém não é coberto. O grande problema é o canal que estava sintonizada a TV, no restaurante. O restaurante é um local sagrado para a alimentação física do corpo. No meu entendimento deve ser um local agradável e sem sangue. A TV estava sontonizada num canal que transmitia péssimas notícias. Minha sugestão, se querem deixar TV ligada, é colocar uma programação de acordo com um ambiente de refeição. Há inúmeros bons programas, como bons documentários, bons leves filmes, uma boa música (infinitamente melhor que TV), etc."
nov. de 2022,4,Boa opção,Hotel bem localizado e com boa estrutura.  Estacionamento próprio sem custo.  Bom café da manhã.  Apartamento com bom espaço e confortável.  Bom atendimento por parte da equipe.  Já somos clientes e indicamos com certeza.
nov. de 2022,4,Excelente opção,"Fizemos a reserva para o final de semana e feriado de 15/11.  Ótima localização, próximo ao shopping e a rua Visc. Tuany, onde tem boas opções de restaurantes.  ótimo atendimento da recepção.  Quarto confortável e chuveiro excelente!  Serviço de arrumação muito bom!  Café da manhã com boas opções, só não tem tortas doces, somente bolos. Recomendo!"
nov. de 2022,4,Ótimo custo benefício,"O hotel é bem localizado, o atendimento é ótimo e o preço é justo. Fica próximo de Shopping, Via Gastronômica e ao lato tem uma confeitaria ótima. O café da manhã é bom. Enfim, um ótimo custo benefício."
nov. de 2022,5,Excelente custo/benefício,"Hotel mto confortável! Quarto espaçoso, cama confortável, TV a cabo, ar condicionado. òtimo atendimentno no checkin, Amplo estacionamento.  Café da manhã relativamente simples (pro padrão brasileiro de ter quase um cafe colonial), mas muito gostoso."
nov. de 2022,5,Confraternização,"Nota 10,00 pelo atendimento, pessoal preparado, cordial, simpáticos. Hotel limpinho, café excelente tudo muito bom parabéns pela organização e respeito pelos hóspedes, continuem assim. Ótima localização tbm."
nov. de 2022,5,Excelente hotel!,"Adorei este hotel! Ambiente acolhedor , limpo e cheiroso, bem localizado, quarto confortável, cama grande, ducha do chuveiro maravilhosa!  O café da manhã é delicioso, variedade e o horário é ótimo... Super recomendo!"
nov. de 2022,4,Um ótimo hotel!,"Hotel com custo x benefício perfeito!  Ótimo café da manhã e jantar.  Localização ideal, perto de restaurantes e shopping center.  Estacionamento amplo e gratuito.  Quarto de bom tamanho e com equipamentos ideais."
out. de 2022,5,Boa opção em Joinville,"Local tranquilo, quarto confortável, estacionamento amplo e ótimo café da manhã. Boa opção para quem fica em Joinville. A equipe da recepção foi super atenciosa, chegamos tarde e nos ajudaram com opções para o jantar"
out. de 2022,2,Hotel ultrapassado com equipe mal treinada.,"Hotel muito ultrapassado. Não há isolamento acústico nas paredes, nas portas, no teto e na janela, ou seja, se ouve barulho de todos os lados. Equipe mal treinada. Meu check-in demorou mais de 30 minutos porque a recepcionista tinha começado a pouco tempo. Faltou treinamento. Instalações antigas e necessitando manutenção."
out. de 2022,5,Prazeroso,"Ótima localização e custo-benefício, ótimo café da manhã.  Quartos espaçosos e com excelente serviço.  Funcionários educados e prestativos.  Hotel limpo e aconchegante.  Estacionamento com bom espaço.  Academia muito boa."
out. de 2022,5,Custo beneficio.,"Hotel bem localizado, proximo ao shopping e bons restaurantes, quartos amplos e limpos, cafe da manha bom, internet adequado, estacionamento incluso descoberto. Check in um pouco demorado final da tarde e noite, pois só tinha um atendente."
out. de 2022,3,Excelente opção para Penha Parque,"Otima estrutura para conhecer a cidade e paea quem vai ao parque do Beto Carreiro.  Melhor opção de aéreo e apenas 40 minutos de Penha. Ótima localização, fácil acesso a restaurantes da cidade. Ótima opção para pernoitar e curtir parque."
out. de 2022,5,Atendimento e estadia,"Excelente estadia no Confort. Equipe extremamente educada e pró-ativa. Acomodação limpa e muito aconchegante. Café da manhã muito bom. Fica em área central, muito próximo de um shopping e bares e restaurantes."
out. de 2022,5,"Um final de semana muito agradável, com conforto e acolhimento.","Quarto bem limpo e organizado, camas confortáveis e adorei que tem ferro de passar roupa. Para quem gosta de assistir TV, tem bastante opções de canais.  Atendimento muito bom.  O café da manhã estava uma delícia.  Espero voltar em breve."
out. de 2022,5,Adoramos a experiência.!!!,"Localização ótima, quartos muito limpos e corretos. Café da manhã, bom. Bom estacionamento (bem organizado e comporta muitos carros) e é gratuito. Recepção eficiente, apesar do hotel estar com bastante gente.Excelente custo benefício."
out. de 2022,4,Hotel muito agradável,"Hotel muito bom, localizado em rua tranquila e de fácil acesso.  Possui estacionamento externo e amplo ao estilo americano.  Bom café da manhã com boa variedade.  Quarto simples, prático e bem confortável."
set. de 2022,4,OTIMA OPÇÃO EM JOINVILLE,"Hotel muito bem localizado, com bons quartos, acomodações e conforto. O hotel possui bar e restaurante o que facilita muito, além de um amplo estacionamento.  O hotel está localizado a 1 quarteirão do Shopping Center Muller e de várias opções de restaurantes."
set. de 2022,3,Café da manhã regular,"Café da manhã poderia ser melhor, tinha apresuntado na mesa, pães velhos, pão de queijo frio, poucas opções de frutas… o hotel merecia coisa melhor. As paredes dos quartos são muito finas e da pra ouvir toda movimentação dentro dos quartos vizinhos. Faltou shampoo, só tinha condicionador. O que salvou foi a cama que é realmente espetacular."
set. de 2022,5,excelente,otima localização o atendimento foi muito cortial a limpeza é muito boa e o cafe da manhã exelente com muita variedade aceita pet e tem estacionamento tem um otimo custo beneficio me hospedaria novamente com certeza e indico
set. de 2022,5,Ótima Hospedagem,"Hotel tranquilo, limpo, organizado com equipe bastante simpática e eficiente.  Limpeza nada a reclamar, pessoal de recepção bem educados, me hospedaria com certeza outras vezes e indico a hospedagem. Cidade muito bonita, limpa e de gente simpática. Restaurantes da Cidade (Rota dos Restaurantes) não sei bem se esse é o nome, são caros e a comida é mediana para os altos preços."
set. de 2022,5,òtimo hotel,"Localização, organização, limpeza nada a reclamar, recepcionista educada, me hospedaria com certeza outras vezes e indicaria para outras pessoas em sombras de duvida, cidade tbm muito acolhedora, pessoas muitos prestativas."
set. de 2022,5,Excelente,"Pontos positivos: excelente localização; café da manhã farto; tive acesso a leite vegetal todos os dias no café da manhã após solicitação; funcionários(as), em geral, educados(as), especialmente as funcionárias do café da manhã, que eram muito disponíveis. Pontos positivos: goteira no banheiro em um dia; não havia reposição espontânea dos copos de vidro sujos no quarto; funcionária batia em todas as portas do corredor no início da manhã perguntando sobre reposição dos itens do frigobar, o que fazia a gente ser acordado(a)/incomodado(a) quando ela batia ou não no nosso quarto; às vezes os(as) funcionários(as) da recepção eram bem educados(as) e solícitos(as), outras vezes eram bem básicos/suficientes no acolhimento/atendimento."
set. de 2022,2,Não recomendo,"Não foi uma experiência bacana. Atendimento recepção ruim. Porta do banheiro emperrada, cobertor com cheiro forte de mofo e impossível de usar, travesseiro de péssima qualidade. Não voltaria a me hospedar."
set. de 2022,4,Ótima acomodação pelo preço.,"A localização fica na área centra, próximo ao 62º BI(Exército), então quem tem preocupações com segurança... fique tranquilo, você estará numa área muito segura em Joinville. Bom atendimento, bom café da manhã e quarto espaçoso!!!"
