Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,Atendimento péssimo,"Atendimento péssimo! Tudo é feito de má vontade, sem cordialidade e mal explicado. Boa sorte se precisarem de algo da recepção. Não limparam o quarto como solicitado e ainda estavam de má vontade para trocar toalhas a noite como se não fosse erro deles. Cobraram preço de diária bem mais caro que o site quando pedi para estender 1 dia. Estrutura e café da manhã bons não compensam o mau atendimento. Não recomendo."
nov. de 2022,5,Estadia excelente,"Gostei bastante da estadia neste hotel, excelente café da manhã, ótima localização e funcionários muito educados e solícitos. Tudo a mão de acordo com suas necessidades. Próximo à restaurantes, lanchonetes, e shopping."
out. de 2022,4,Excelente opção na cidade,"Sempre uma excelente opção na cidade, o melhor café da região.  Estive hospedado por ocasião da Oktoberfest e mesmo a cidade super cheia e o hotel com  Lotação máxima, tudo transcorreu muito bem, a equipe desdobrou-se e o atendimento maravilhoso como sempre."
out. de 2022,1,Falta de respeito,"Gostaria de deixar registrado minha indignação por esse hotel.  Devido a Oktoberfest eles estão alterando a forma de reserva do booking, sendo que minha reserva estava tudo certo. Mais cancelaram pq queriam que eu fizesse um  Pix a parte. E como fiz pelo booking e informei meu cartão como sempre foi realizado. Eles nao aceitaram. Absurdo total sendo que minha estadia faltava só 3 dias pra pra entrar.  E sem contar que a moça que estava comigo no telefone desligou n minha cara depois que eu questionei que eles estavam fazendo uma forma errada de cobrança ja que eu estava tratando diretamente pelo booking e pra mim estava td ja correto. 17/10/2022"
out. de 2022,5,Maravilhoso,"Maravilhoso o hotel, quartos ótimos, pertinho do centro e fácil acesso a Villa Germânica. Cama e chuveiro ótimos.  Funcionários muito educados e prestativos. Café da manhã perfeito.  O hotel tem convênio com o estacionamento ao lado, o que também facilita muito.  Recomendo muito."
set. de 2022,4,Excelente custo benefício,"Excelente custo benefício em Blumenau. Além de ser um hotel bastante tradicional na cidade e com a entrada original mantida em sua estrutura, o hotel é anexo ao Cafehaus, confeitaria maravilhosa e super tradicional na cidade, com cucas, tortas, bolos, pães e biscoitos. Além disso, o hotel já dispõe de estacionamento para os hóspedes que estão de carro já incluso no preço da diária. O quarto tem um ótimo espaço que atende bem um casal, porém a cama/colchão poderia ser mais confortável, achamos extremamente dura e desconfortável. De todo modo, isso não fez com que a experiência tenha sido prejudicada. O café da manhã é servido no anexo à entrada do hotel, no salão do Cafehaus e é maravilhoso, com várias tortas, cucas e bolos feitos pela cozinha do Cafehaus."
set. de 2022,5,"Tradicional por fora, moderno por dentro","Estive hospedada 2 diárias com meu marido em maio/22 para o casamento de amigos e comprovei todas as avaliações positivas do hotel. O café da manhã é o mais incrível que já tomei. Fiquei em um quarto bastante espaçoso no do 6° andar, as tarifas são diferenciadas devido à altura dos quartos, andares inferiores são mais em conta.    O estacionamento estava lotado na minha chegada, mas há um convênio do outro lado da calçada.    Tudo funcionou perfeitamente durante minha estada.  Não há ferro de passar no quarto, porém você pode solicitar utilização na lavanderia e tem tábua e ferro, mas saiba que é uma área de serviço.  Pra quem quer conhecer o Centro de Blumenau, dá pra ir andando até a prefeitura e Rua XV.  À noite anterior ao nosso compromisso deixamos o carro no hotel e pegamos Uber até a Vila Germânica, cerca de 12 reais cada trecho.    Fiquei muito satisfeita com o atendimento dos funcionários, todos educados."
ago. de 2022,5,Hotel antigo e charmoso! Chuveiro ÓTIMO!,"Embora seja um hotel antigo, não tem aquela cara de acabado/precisando de reforma! Contrário disso, tudo funciona muito bem, atendimento excepcional, café da manhã SHOW na cafeteria Cafehaus que é tradicional na cidade e anexa ao Hotel, tudo muito limpo, instalações funcionando bem (especialmente o chuveiro - estávamos chegando de um frio muito forte de Urubici e o banho quentinho no chuveiro ótimo do Glória aqueceu o coração), bairro seguro e charmoso, perto da Av. XV de Novembro onde tem alguns pontos turísticos, 05 min a pé de um shopping, enfim... experiência ótima! Atenção: se sua intenção de reserva for para participar da Oktober Fest saiba que o hotel é distante para ir a pé até a Vila Germânica."
ago. de 2022,5,Charmoso e com excelente custo benefício,Hotel Glória proporciona aos hóspedes uma estadia muito agradável e confortável. Suas instalações são muito bem mantidas e lindamente decoradas. O atendimento da recepção é excelente e o café da manhã é muito bom.
ago. de 2022,5,Café da manhã espetacular! Ótimo custo benefício!,"Buscava um hotel perto da Vila Germânica só pra passar a noite com a minha família e foi uma grata surpresa, quarto super limpo, bonito, banheiro pequeno, mas com uma boa ducha. O ponto principal foi o café da manhã, como tenho restrições alimentares dificilmente encontro um local com opções pra mim e esse hotel de fato surpreendeu, muitas variedades, tinha até bolinho gluten free, achei muito legal a inclusão. Recomendo!"
jul. de 2022,5,Show de café da manhã!!!,Quarto e banheiro muito espaçosos e limpos. Colchão bastante gostoso. Café da manhã maravilhoso!!!!    Fácil acesso para alguns dos principais pontos turísticos do centro da cidade. Estacionamento próprio.
jul. de 2022,5,Excelente Hotel em Blumenau,"Localização perfeita, instalações temáticas e café na confeitaria Cafe Haus fazem deste Hotel a melhor pedida da cidade. Tem estacionamento grátis e uma confeitaria tradicional cheia de pratos típicos da região a seu dispor onde você aproveita gratuitamente seu café da manhã."
jul. de 2022,5,Férias,"Hotel Maravilhoso, super aconchegante facil acesso para quem tem criancas. LOCALIZAÇÃO: Próximo ao shoppings, lojas, calçadao.  Limpeza fantástica.  O café da manhã é de longe o melhor de todos os hotéis que ficamos nesta viagem."
jul. de 2022,5,"Se for a Blumenau, hospede-se no Glória","Muito bem localizado. Quartos limpos e espaçosos. Ótimo banheiro, chuveiro excelente. Ótimo estacionamento. Café da manhã espetacular ( o melhor da vida ). Funcionários educados e atenciosos. Um excelente custo benefício."
jul. de 2022,4,Ótimo custo benefício,"Muito bom, ótimo custo benefício, funcionários atenciosos, quartos limpos, ok. Café da manhã excelente incluso na diária, no café doceria Glória onde é tudo delicioso!! Vale a pena experimentar. Localização muito boa, no centro comercial, amplo estaciinamento. O estilo do hotel é bem i teressante."
jun. de 2022,4,Ótimo custo benefício,"Ótimo custo benefício, excelente localização, qualidade na hospedagem, bom café da manhã. Hotel possui estacionamento, quarto amplo (peguei o terceiro andar com vista para rua). Boa limpeza, funcionários atenciosos. Excelente sinal de wi-fi. Apesar do hotel está em umas das avenidas principais de Blumenau a acústica é boa devido as janelas serem apropriadas pra isso."
jun. de 2022,5,Ótimo hotel,"Excelente hotel; quartos bem espaçosos e muito limpos;  Riqueza de detalhes em todas as áreas do hotel;  Café da manhã fabuloso - tudo muito gostoso;  Atedimento dos funcionários excelente;  Uma única observação - ouve-se um pouco do barulho da rua, mas nada que atrapalhe o sono."
jun. de 2022,5,Localização excelente! Limpeza impecável. Café da manhã muito bom! Excelente custo-beneficio!,"Adoramos o hotel! Quarto bem amplo, ótimo para uma família com duas crianças! Atendimento muito cordial. Limpeza impecável! Sempre com cheirinho bom em todos os ambientes do hotel.  Café da manhã muito variado e delicioso! Localização maravilhosa, da pra fazer os principais pontos à pé!  O chuveiro é um espetáculo! Melhor banho da vida! Esse hotel superou expectativas com certeza! Principalmente pelo ótimo preço que pagamos."
jun. de 2022,5,A qualidade da hospedagem é o ponto primordial.,"Como chegamos de carro, procuramos o acesso ao estacionamento e senti dificuldade, pois fica nos fundos do Hotel e não tem placa indicativa.  Fomos muito bem recepcionados e, ainda, presenteados com um upgrade. Reservamos o quarto tipo ""Conforto Casal"" e foi nos concedido o quarto tipo ""Superior Casal"". O quarto é muito confortável, tem ótimo sinal de internet, além de excelente isolamento acústico.  Como chegamos no final da tarde e não almoçamos, optamos pelo café colonial da Confeitaria Cafehaus, que fica no interior do Hotel. Os pratos oferecidos superaram nossas expectativas. Os caldos estavam deliciosos. Havia suco, iogurte e um boa quantidade de pratos salgados e doces, que estavam gostosos. O valor é mais que justo: R$ 59,00 por pessoa.  A localização é estratégica, pois pode se ir a pé às principais ruas do centro da cidade. Sugiro ir a noite no The Basement English Pub, que é um belíssimo pub inglês, localizado a poucos metros do Hotel. Tem excelente cerveja e um ambiente acolhedor, além de uma acústica incrível. Você pode conversar tranquilamente e ouvir um som maravilhoso. O atendimento é dez.  O café da manhã é diversificado e com alimentos de qualidade. O salão é amplo, havendo bom distanciamento entre as mesas.  Recomendo a estadia."
jun. de 2022,5,Superou as Expectativas!!!,"Bom dia!!!  Gostaria de elogiar o atendimento prestado pela equipe do hotel Glória. Tive um problema relacionado ao quarto que foi prontamente resolvido da melhor forma possível, como cliente me senti bem assistida pela equipe. Depois da solução que foi dada , senti que o cliente está em primeiro lugar, pelo atendimento prestado , sempre preocupados com nosso bem estar.  Agradecimento em especial ao Sr. Cristian sempre preocupado com a nossa estadia, nos dando sempre suporte , ao funcionário Tomaz e Sr. Fred.  Obrigado por fazer com que eu tenha vontade de voltar.  Atenciosamente  Graziela"
