Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Local Excelente!,"Ótimo local de lazer e descanso! Restaurante excelente, ótimas acomodações, entretenimento incrível, hotel, sala de jogos, local para eventos, assim como a estrutura das piscinas, maravilhosos e funcionários muito atenciosos! Super recomendo!"
nov. de 2022,5,Top,"MT bom estar aqui, lugar aconchegante, interativo recreação top, ótima gastronomia! Show, ideal para curtir com a família e amigos. Descanso lazer e alegria, além de MT natureza em um lugar formidável!! Top"
nov. de 2022,5,Pratas thermas,"Atendimento muito bom, recreação para crianças    Ficamos em amigos, comida gostosa, muitas opções, drinks e lugar aconchegante. Vale muito a pena.... ambiente com muita diversidade pra distrair e passar dias descansando"
nov. de 2022,5,MUITO BOM O LOCAL,"Atendimento excelente, quartos aconchegantes, climatizados e com foros de cama limpos e branquinhos.  Refeições muito boa, com variedades de alimentos.  Piscinas com uma água quente e limpas.  Cebolinha é um baita profissional"
nov. de 2022,5,Avaliação,"Muito bom o espaço, recreador animado. Sugestão melhorar Wi-Fi e parte dos quartos. Piscinas limpas e agradáveis, ambiente agradável, comida maravilhosa. Ambiente externo perfeito gramas cortadas, sem pernilongo."
nov. de 2022,4,Local calmo para descansar,"Acomodações confortáveis, limpas e bom atendimento. Área ampla, comida muito boa no café, almoço e janta. Ambiente perfeito para família. Indico para uma boa viagem de descanso com boas atividades de recreação durante todo o dia."
nov. de 2022,5,Ótima estádia,"Ótimo estrutura, funcionários super atenciosos, a recreação é ótima... Uma maneira de descansar e os filhos ficarem bem cuidados... Restaurante ótimo, piscinas e bar da piscina muito bom... Com certeza iremos voltar"
nov. de 2022,5,Viagem de férias,"Hospedagem maravilhosa quartos aconchegantes e arejados, comida excelente bem variada, com sobremesas diversas e muito saborosas. Recreadores muito divertidos e dispostos, com brincadeiras diversas que tornam a hospedagem melhor ainda. Atendentes, garçons e recepcionista muito atenciosos."
nov. de 2022,5,Viagem férias,"Hospedagem excelente, quartos aconchegantes, limpos e arejados, comida muito boa com bastante variedade. Recreadores maravilhosos super dispostos com diversas atividades. Atendentes, garçons e recepcionista muito atenciosos."
nov. de 2022,4,Pratas Thermas,"Comida: tudo estava excelente, comida muito saborosa, garçons muito educados e simpáticos.    Infraestrutura: boa, porém poderia haver uma melhora no acesso às piscinas, principalmente pelo fato de haver crianças e a descida ser perigosa, porém tirando isto ótima infraestrutura.    Atendimento: excelente, muito boa, todos os funcionários são muito educados, sempre nos tratando com muita atenção e cuidado, desde os da recepção, os do bar e os do restaurante.    Recreação: tios muito engraçados, e queridos, sempre trazendo brincadeiras legais tanto para as crianças como para os adultos, tudo incrível.    Com certeza indicaria para outros amigos."
