Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,4,Banheiro feminino do restaurante está decadente,"Hotel lindo, alimentação boa, decor de Natal espetacular, mas de 4 anos para cá, hotel, móveis do quarto envelheceu muito, precisa de manutenção, o ar condicionado do quarto instalado na parede lateral da cabeceira da cama, ar direto na cabeça do hospede, mas oque me chamou a atenção negativamente foi a situação do banheiro do restaurante, jantamos na sexta-feira e precisei utilizar o banheiro feminino, extremamente pequeno e mini banheiro, um vc abre a porta ela encosta no vaso sanitário, as portas se descascando toda, o trinco lascado, o revestimento da bancada da pia todo se desgrudando, estava sujo, tem uma porta que deve ser um depósito de baldes , vassouras. Panos, enfim um banheiro nessas condições não condiz com o hotel e nem com o tamanho do número de pax que acomoda o restaurante."
1 de dez.,2,Experiência ruim,"Minha experiência não foi boa, em questão de estrutura o hotel é sensacional, primeira dica que eu dou é: Se o hóspede chegar antes do horário do check-in, liberem o almoço. cheguei meio dia e tive que escolher entre almoçar na chegada ou almoçar na saida. Caso quisesse fazer os dois, era cobrada uma taxa de R$150,00 por pessoa. Quem viaja com criança ou vem de longe quer chegar e ter um mínimo de ""mimo"" e já que não se pode utilizar o quarto até o horário do check-in pelo menos utilizar o restante do hotel. Esse foi um ponto negativo. Já no primeiro dia minha esposa e meu filho de 2 anos foram tomar banho e o vidro do box estourou. Meu filho e esposa ficaram com vários micro cortes, o mais serio foi um corte no dedo do meu filho mas que resolvi com um band-aid. Liguei para a recepção e expliquei o ocorrido. A recepção me perguntou se eu precisava de uma assistência e informou que iria mandar o pessoal da limpeza. O rapaz da limpeza muito educado removeu o vidro quebrado. mas mesmo assim eu continuava a encontrar vidros pelo quarto, pois, após o estouro levei meu filho para a cama, pois, o banheiro estava cheio de pequenos cacos inclusive no corpo dele, liguei novamente para a recepção e pedi para trocar de quarto pois além dos cacos de vidro estávamos sem o box. A atendente me informou que o hotel na minha categoria estava lotado e que se eu quisesse poderia trocar de quarto pagando a dierença. Depois disso me decepcionei com o hotel. Acho que um hotel nesse padrão de diária deveria dar um atendimento de excelência em todos os quesitos. Por isso acho que este relato pode ser importante para as pessoas decidirem um local para passar um tempo com a familia."
nov. de 2022,2,Decepcionado e arrependido,"Me decepcionou. Fui passar minha lua de mel no hotel, reservei o quarto “suíte nupcial”, que como observação tinha dizendo que era um quarto pra recém casados, mas o quarto não tinha nada quando chegamos, esperava alguma decoração, algum dizer.  Nosso quarto tinha uma hidromassagem mas não tinha nada de sais de banho para colocar. Em dois momentos liguei pro ramal pra pegar bebidas pro frigobar e ninguém atendeu. No jantar tive que levantar e ir atrás de um garçom pra poder comprar alguma bebida pois ninguém foi na minha mesa. A comida é razoável. Ninguém ajudou a gente com a bagagem quando chegamos, e na hora de ir embora, além de não ajudar com a bagagem tive que ir andando até o estacionamento buscar meu carro.  Foi uma grande decepção tendo em vista o alto valor que eu gastei, numa ocasião tão especial que era minha lua de mel. O lugar é muito bonito, mas tive essas várias decepções.  Com o dinheiro que gastei poderia ter ido em algum lugar que teria sido mais especial."
nov. de 2022,5,O MELHOR PARA DESCANSO,"O melhor hotel que já me hospedei, com total conforto e ótimo atendimento e uma excelente gastronomia.  As atividades dentro do hotel são maravilhosas e nem dá vontade de sair para outro lugar e passear."
nov. de 2022,2,Experiência ruim,"Infra estrutura legal, funcionários muito bem educados. Porém no quarto a situação é desastrosa. Ficamos no quarto 4006, muito próximo à arena onde não tinha isolamento acústico. Ou seja, a noite com o barulho do evento (som alto), não conseguíamos dormir cedo. Além disso estado de conservação do quarto ruim, excesso de insetos e sem disponibilidade de inseticida. Banheiros comuns também sujos e falta de manutenção. Pra finalizar, em um fim de dia não tinha água quente no chuveiro!"
nov. de 2022,5,Paraíso,"Serviço muito bom, capricho em tudo e uma incrível variedade de atividades.  A decoração de Natal está maravilhosa encanta a todos, principalmente as crianças.  Um lugar para relaxar e renovar as energias junto a natureza, com boa comida e tudo o que você imaginar!"
out. de 2022,5,Lugar relaxante,"Lugar maravilhoso com boas acomodações. As refeições são excelentes.  Não deixe de participar da parte recreativa que o hotel oferece, além de andar de charrete e no pedalinho. Ótimo lugar para descansar."
out. de 2022,5,O melhor resort do Brasil!,"Muito mais que um hotel fazenda, um verdadeiro resort! O encantamento dos hóspedes acontece desde o momento da reserva, no check-In e na beleza dos apartamentos. Fiquei na Ala Peixes (super luxo) e a decoração é toda em estilo provençal. Você percebe os cuidados em cada detalhe, até no adorno de porta alusivo ao período festivo do ano em que se visita.  A decoração do Hall é monumental. Quando fui estava na transição da decoração de Páscoa para a de Festa Junina. No Natal é realmente a Disneylândia do Papai Noel.  Alimentação farta, excelente e variada.  A arena de shows ficou muito boa. Só falta uma cobertura do pergolado até a entrada dela.  Lazer variado com complexo aquático e área rural com cavalos, charrete e lago com pedalinho.  Programa obrigatório para todos os anos!"
out. de 2022,3,Primeira vez no Fazzenda Park Hotel,"Olá,  Eu e minha esposa nos hospedamos pela primeira vez no Fazzenda Park Hotel, ficamos 6 dias, segue considerações:  Checkin:  Rapido e objetivo;    Atendimento:  Os colaboradores precisam ser mais simpáticos (recepção, áreas de lazer, garçons, recreação, hotel em geral);    Quarto:  Atendem a proposta do hotel;    Servico de Quarto:  Deixa a desejar, não repoem agua no frigobar, tivemos que pedir;  Não retiram o lixo da lixeira que fica no quarto, vai acumulando;  A cama foi mal arrumada;    Refeições:  Café da manhã, bom, com boas opções;  Petiscos na Piscina, atendem, porém é o mesmo cardápio todos os dias;  Almoço, muito bom com boas opções e novidades a cada dia;  Café colonial, bom, boas opções;  Jantar, muito bom, com novidades a cada dia;    Piscinas  Todas aquecidas (diferencial), piscinas abertas e cobertas, limpas, muito bom;    Ressalva: No almoço e jantar as bebidas são pagas.    Áreas em geral  Bem arborizadas, muitas flores, jardinagem muito bonita, estruturas com boa aparência, muito bem cuidadas;    Ares de jogos e lazer  Boas, atendem a expectativa independente do clima;  Ressalvas para o passeio de charrete, tem uma charrete para atender o público e com horários definidos (9 as 11hrs e 15 as 17hrs), deveria ter outra charrete para cobrir o horário das 11 às 15hrs.  Shows a noite, são focados no público infantil. Deveria ter proposta para adultos ou mesclar.    Checkout:  Rápido.  Ressalva: tivemos que sair procurando onde estava nosso carro, ficamos esperando no Hall de entrada e não apareceu ninguem, quando achamos colaboradores ficaram passando de um para o outro.    Opinião final  Regular, considerando a proposta do Hotel x Valor da diária. Tem pontos a melhorar conforme mencionado."
set. de 2022,5,Dias especiais,"Tive uma estadia no Fazzenda Park Hotel no ano de 2000 neste ano já era um ótimo hotel, depois de 22 anos retornei com minha família e o hotel esta magnifico perfeito, os quartos aconchegantes, atendimento de todos os colaboradores foi espetacular, as instalações perfeitas , recreação com recreadores maravilhosos, as refeições são saborosas uma melhor que a outra. Vale muito a pena passar alguns dias neste belo local."
set. de 2022,4,Maravilhoso,"Ir ao fazzenda é sempre uma experiência maravilhosa, tudo é sempre ótimo, mas dessa vez o banheiro do quarto estava bem sujo, cabelos, vaso sanitário todo molhado e na parede tinha pasta de dente seca. Nunca tinha acontecido nada assim e tirando essa situação foi tudo ótimo como sempre."
set. de 2022,5,Experiência maravilhosa!,"O hotel e fantástico!  Tudo é muito bonito e bem cuidado!  Quartos espaçosos, áreas comuns, parque aquático, a fazendinha…  Os jardins são um espetáculo à parte!  A refeições são típicas de fazenda o que torna o café da manhã e da tarde deliciosos!  Houve pequenos contratempos, mas nada que tirasse o encanto!  Recomendo muito!"
set. de 2022,5,O Melhor Hotel Fazzenda,"Sem dúvidas o melhor hotel fazenda que já fomos, já fui ao hotel pela 8ª vez, mas nunca tinha avaliado, ja fomos em outros hotéis fazenda de Santa Catarina mas ada comparado ao Fazzenda Park Hotel. Com certeza voltaremos em breve."
set. de 2022,4,PRECISA MELHOR NO QUESITO SEGURANÇA PARA AS CRIANÇAS,"Ótimo hotel. Boa infra estrutura. Equipe boa e bem treinada. Comida deliciosa. A única coisa que precisa melhorar são quartos, como é um hotel para criança as janelas e portas da varandas não possuem qualquer tipo de trava, o que nos deixa um tanto quanto preocupado com as crianças. A passarela que da acesso ao elevador tmb. Precisa ser colocado uma rede de proteção urgente."
ago. de 2022,4,Ótima infraestrutura,"Hotel possui ótima infraestrutura com opções de lazer tanto para crianças quanto para adultos. Está localizado em uma bela região com natureza exuberante, com destaque especial para a organização, limpeza e atendimento. A diária inclui 5 refeições de boa qualidade e variedade (porém nada excepcional) e algumas bebidas incluídas.  Acredito que a estadia ideal seja de no máximo três dias para não ficar repetitivo e também proibitivo devido ao alto valor da diária. Ponto negativo é a exigência de liberação do quarto até às 11h no check out, apesar da possibilidade de permanência e uso da infraestrutura do hotel até às 15h (incluindo o almoço)."
ago. de 2022,3,Precisa melhorar,"Foi minha segunda vez no hotel, desta vez minha experiência não foi tão boa.  Pontos positivos:  -Comida boa e diversificada  -Funcionários prestativos  -Limpeza  -Show de mágica    Pontos negativos:  -Criança menor de 8 anos não pode andar a cavalo nem acompanhada dos pais. Ano passado eu fui e meu filho andou junto comigo( juntos não temos 100kg, que também tem placa avisando), o que acontece em qualquer hotel fazenda. Esse ano foi proibido e em momento algum avisaram na reserva, o que me deixou muito insatisfeita  - Desorganização nas recreações  - Ar condicionado do quarto estragado, não pedi pra trocar de quarto pois fui ligar o ar 23h  _ Tirolesa e arvorismo são cobrados. Pelo valor que se paga no hotel, se torna um absurdo essa cobrança."
ago. de 2022,2,"Precisa melhorar, mas o local é lindo","Frequento o hotel a anos, essa é a primeira vez que fomos depois da pademia, estivemos nas ultimas semana de julho para comemorar o aniversário do meu marido. O lugar é lindo, pra quem quer fugir da cidade e ir se conectar com a Natureza é fantástico. Comida a vontade, devo ter ganhado uns 4 kg em um dia (brincadeira) funcionários do restaurante muito eficiente e prestativos. A piscina é linda, enorme ao ar livre , agua quente. Esse são os pontos positivos!  Negativos, o lazer deixou a desejar, enquanto eu estava na piscina com minha filha de 8 anos, o som estava muito alto e começou a tocar uma musica que não é apropriada para menores, fiquei constrangida com a situação. No rancho uma fila gigantesca para andar de charrete. O lazer precisa de alguém que saiba gerenciar, pois é notório que esta jogado, atividades que nao acontecem, os monitores parecem nao estarem bem, qualidade de som pessima. Teve um show caipira e um dos personagem tentou pular no colo do meu marido, mas ele não permitiu, achou a brincadeira ofensiva, acho que deveriam perguntar se os hóspedes aceitam ou nao participar e não simplesmente puxar da plateia e passar por esse constrangimento na frente de todo hotel."
