Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Excelente escolha,"Hotel padrão IBIS, com todo conforto , funcionarios bem treinados para nos atender e ajudar sempre, em excelente localização. Com restaurantes proximos, perto do Parcão , cafés charmosos nas ruas para sentar e desfrutar, tudo bem proximo.  Uma localização privilegiada, com ótimo custo benefício.  Café da manhã muito bom e quartos amplos e arejados.  Para quem quer se hospedar em um local seguro, de fácil mobilidade pela cidade e com suporte proximo para alimentação e passeios, recomendamos."
out. de 2022,4,"Hotel padrão íbis, bem localizado, funcionários prestativos, porém poucas vagas de estacionamento.","O hotel é “padrão Ibis”. Bem localizado. Possui um ótimo café da manhã e funcionários muito prestativos. Quando alugamos sabíamos que o estacionamento era cobrado por fora, porém a disponibilidade de vaga é baixa e durante nossa estadia esteve sempre lotado. Precisamos estacionar nosso carro na rua."
out. de 2022,2,HORRÍVEL,Funcionários desqualificados e mal treinados na recepção. Banheiro sem toalhas de rosto. Um sabonete para duas pessoas. Café da manhã caro e apenas razoável. Diária cara comparada com instalações e serviços oferecidos.
out. de 2022,4,Ótimo custo e benefício,"Hotel com bom custo e benefício, bem funcional e com ótima localização perto de vários bares e restaurantes. .Só deixou a desejar no conforto da cama e dos travesseiros. Café da manhã razoável, meio que o padrão da rede. Pegamos andar alto e foi bastante tranquilo."
set. de 2022,3,"boa localizacao, wc com defeito","o hotel está bem localizado, próximo ao Parcão e a cena gastronomica da Padre Chagas. De noite no check-in o funcionário não estava com o crachá, o que gera uma certa insegurança qdo vc chega no hotel de noite pela primeira vez.    tive um problema no wc, foi relatado para o staff, mas o problema permaneceu.    café da manhã padrão Ibis, com pães, frutas, sucos, 4 tipos de frios.  bom chuveiro."
ago. de 2022,3,Queda na qualidade,Está é a segunda vez que me hospedo neste hotel. E notei uma grande diferença nos serviços. O 1o é não ter toalha de rosto no banheiro. E nenhum copo também. O serviço no restaurante era muito limitado. E com poucos funcionários. Foi muito diferente da minha outra estadia. E eu não pretendo voltar a me hospedar lá.
jul. de 2022,5,Muito simpático!,"Fomos bem atendidos pelos funcionários . O café da manhã é bem servido com muitas opções . Segue o padrão Ibis de todos os outros hotéis que já frequentamos. Foram muito simpáticos e não cobraram o café da manhã que tomamos por termos chegado mais cedo, antes do horário do check-in e nossos quartos não estavam prontos. Foi cortesia! Muita gentileza, da parte deles!"
jul. de 2022,3,Hotel bom,"Hotel ótimo, limpo, organizado mas as vezes deixa a desejar o mínimo ao cliente.    Estamos no RS, gaúchos gostam de MATE!  Em pleno domingo 1 atendente no hotel.  Pedi água quente 🔥 para tomar mate.  Ele: não posso sair daqui pois estou sozinho, pode pedir água na hamburgueria ao lado.    Oi ?? Eu vou entrar em um restaurante pra pedir água???    Fui ao hotel ao lado saber valores e até no hotel ao lado onde nem hospedada estou me ofereceram água quente e café!!!!    No mínimo uma jarra elétrica deveria ter nesse hotel para o cliente esquentar água."
jun. de 2022,5,Boa localização com padrão ibis de conforto e praticidade,"Tive uma boa estadia. O check in foi rápido e eficiente. Um problema inicial foi receber as chaves de um quarto que já estava ocupado e com outro hóspede dentro quando cheguei, mas foi prontamente resolvido. Pude escolher um quarto no andar superior. O hotel é bem localizado, em Moinhos de Vento, perto da principal região turística e gastronômica da cidade. A infraestrutura é boa e segue o padrão Ibis em conforto e espaço. Não houve welcome gift do status Gold do Accor All. O café da manhã é bom e variado."
mai. de 2022,5,EXCELENTE LOCALIZACAO E GESTAO,"Gestão da gerente de excelente qualidade, observamos funcionários empenhados em ajudar, colaborar com os demais surtindo efeito no andamento e funcionalidade de todos os serviços.  Localização muito boa com comercio, restaurantes próximos"
mai. de 2022,3,Entrega o essencial,"Ibis moinhos de ventos possui uma excelente localização, ficamos apenas uma noite pois era parada de transição para continuação da nossa viagem. A estrutura e serviço de café da manhã ok, padrão ibis sem nada demais. Quarto com shampoo ruim."
