Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Surpreendente!!!!!!!!!!,"Nota mil para o hotel como um todo. Tudo perfeito: gastronomia, toda a equipe do hotel, suítes excelentes, decoração e visual impecáveis, piscina aquecida e coberta, sauna. Tudo de bom. Voltaremos com absoluta certeza."
7 de dez.,5,"Surpreendentemente excepcional! Uma experiência única, que reúne o que há de melhor em estrutura e atendimento!","O hotel é encantador! Cada detalhe foi pensado de uma forma exclusiva. O aroma do ambiente, a decoração, a cordialidade de cada funcionário. Tudo surpreende e proporciona uma experiência única que torna o momento vivido um marco eterno.  A piscina recém inaugurada ficou belíssima e completa ainda mais a perfeição do hotel, para uso nela, eles oferecem roupão, toalhas e sandálias. As toalhas dos banheiros sociais são todas de tecido, após o uso basta colocar em um cesto para que sejam lavadas. Perfeito! Espumante é servido o tempo todo como cortesia, e no quarto recebemos diversos mimos durante a estadia."
7 de dez.,5,Hotel mais belo de Gramado,"Hotel excepcional! Zero defeitos! Atendimento magnífico, gastronomia autêntica e quartos extremamente confortáveis! Hotel mais bonito de Gramado. Cumpre fielmente com selo de melhor hotel do mundo!!!!"
7 de dez.,5,Experiência sem igual.,"O hotel realmente faz jus ao título de “melhor do mundo”. Ambiente lindo, muito bem decorado e com equipe extremamente cordial. Nos sentimos muito especiais durante toda nossa estadia, a atenção que os funcionários têm com o hóspede é fora do normal…Simplesmente maravilhoso. Pretendemos voltar em breve, já deu saudade! Parabéns a todos os envolvidos nessa deliciosa experiência."
6 de dez.,5,Um sonho realizado ❤️,"Foi a melhor experiência das nossas vidas. Desde a entrada até a saída.  A equipe é extremamente atenciosa e agradável, me senti uma rainha.  Eles realmente estão todos em prontidão para nos atender e ainda são os melhores fotógrafos 🥰  Foi a melhor experiência da minha vida! Escolhemos passar a lua de mel no Colline por ser romântico e único, e a vontade de voltar mais e mais vezes já está gigante! Acabei de sair e já estou morrendo de saudade de ser tão bem tratada. Lá é diferente, vale muito a pena.    Att Franci Pessoa"
5 de dez.,5,Colline de france,"Hospedagem espetacular !  Um atendimento exemplar !  Estão todos de parabéns !  E o café da manhã é uma show a parte, servido diretamente na mesa com uma infinidade de opções !  O bistrô servindo pratos de dar água na boca .  Estarei de volta em breve !"
5 de dez.,5,Descansar e curtir,"Hotel luxuoso e super aconchegante, com serviço impecável, cheio de surpresas. A piscina é linda e uma delícia. O café da manhã é excelente, super delicado e delicioso. Nenhum ponto negativo a anotar. Retornaremos em breve para aproveitar."
5 de dez.,5,"A Piscina Mais luxuosa do mundo, está no melhor hotel do mundo!!!","Não é à toa que o Colline de France foi eleito o MELHOR HOTEL DO MUNDO, pelo TripAdviser ( desbancando hospedagens renomadas até mesmo na Grécia, Maldivas e Suíça).  Eu AMO esse hotel!  Mas quando eu achava que nada mais podia me surpreender, eis que inaugurou essa semana a piscina mais linda do mundo!! Eu simplesmente AMEI!!  Piscinas climatizadas indoor, com jatos de hidromassagem, e uma sauna a vapor.  Perfeito para relaxar tanto em dias ensolarados quanto em dias que chove ou faz frio nesse pedacinho da Europa aqui em Gramado!  .  É o lugar perfeito para simplesmente desfrutar da vida, pu para qualquer tipo de comemoração 🥂"
4 de dez.,5,Comemoração de aniversário,"Três dias antes o hotel já começa a nos mimar 🥰, com envio de restaurantes , passeios e qual a necessidade para nossa hospedagem … dessa forma já nos tornamos parte da experiência desse atendimento tão acolhedor e delicioso ."
3 de dez.,5,"Colline de France, uma Preciosidade!","Sem dúvida, o melhor hotel em que estive. Desde a chegada até nossa saída, fomos tratados com cordialidade, atenção e dedicação por parte de todos os membros que compõem a equipe do hotel.  Ambiente sofisticado, acomodação confortável e impecável!  Café da manhã incrível, sempre com um prato diferente.  Piscina e jardim lindos!  Um hotel que merece ser visitado, sempre!"
