Data da opinião,Nota,Título,Conteúdo
7 de dez.,5,Encontro de amigos,"Mais que EXCELENTE, cordialidade de toda equipe do hotel é inigualável, em todos os setores, a gente se sente verdadeiramente em casa. Instalações excelentes. Com absoluta certeza voltaremos . Parabéns a todos, não tem um mais importante ou melhor que o outro, é uma engrenagem que funciona perfeitamente."
mai. de 2022,5,Melhor experiência em um hotel no Brasil.,"Foi a constatação de avaliações anteriores porém viver a experiência nos fez conhecer um novo nível de excelência em atendimento aqui no Brasil.  O cuidados dos profissionais do Ritta na recepção , nos restaurantes , mesmo na manutenção nos deixaram encantados. As acomodações impecáveis, os jardins e principalmente as experiências nos restaurantes .  Para nós, viajantes turistas, a melhor experiência em um hotel no Brasil e olha que conhecemos muitos. Parabéns ao Ritta."
7 de dez.,5,Excelência em tudo,"Melhor hospedagem da vida! Atendimento, alimentação, acomodação, tudo simplesmente perfeito!    Já estive algumas vezes com meu esposo, e resolvemos voltar com as crianças para aproveitar em família! Tudo perfeito!  Recomendo sempre!"
6 de dez.,5,Experiência excepcional para quem dá valor aos 5 sentidos.,"Desde o primeiro passo dentro do hotel, o primeiro contato, nas palavras e no olhar de cada colaborador, pudemos sentir o acolhimento, o capricho e dedicação para que nos sentíssemos em verdadeiro espaço de conforto, descanso e entretenimento.    Gostamos de ambientes que superem nossas expectativas, que sejam limpos, aconchegantes, seguros. Que tenham frescor no ar, conforto térmico e acústico, tecnologia intuitiva e de fácil manuseio, banheiros que proporcionem boas experiências de higiene e relaxamento, bom... tivemos além de tudo isso, motivos pra voltar sempre.    A experiência gastronômica no hotel foi incrível, como se fossem joias delicadas, cada prato, item ou acompanhamento, era nos oferecido com arte, atenção e capricho.    A excelente localização, proporciona acesso ao centro da cidade, a poucos minutos a pé, em agradável caminhada, podendo visitar diversas atrações pelo caminho, sem falar na principal delas, o Mini Mundo.  Diante de tudo que foi dito acima, o benefício desfrutado é muito justo pelo que se paga.    Vinha a muito planejando ir ao hotel Ritta Höppner, fomos e adoramos, recomendo a todos que pretendem passear em Gramado.❤️"
6 de dez.,5,Tudo maravilhoso!!!,"Eu e minha esposa amamos nossa estadia neste incrível hotel. Tudo muito limpo, muito aconchegante, muito elegante. O café da manhã e o chá da tarde são sensacionais. O atendimento foi marcante. Todos, sem excessão, são muito gentis, solícitos, hospitaleiros. Enfim, tudo maravilhoso."
6 de dez.,5,Hospedagem dos Sonhos,"Adoramos a Ritta Roppner.  Nos sentimos acolhidos com muito amor e carinho pela toda equipe e sempre que nos hospedamos, saímos melhores do que chegamos e já com saudades de voltar no ano seguinte.  Gostaríamos que todos tivessem essa experiência maravilhosa."
5 de dez.,5,Ótima escolha de hospedagem em Gramadoo,"Excelente em todos detalhes. Localização, recepção, comida, quarto, limpeza. O chá da tarde foi uma excelente experiência, com variedades todos dias e fomos muito bem atendidos pela equipe do hotel. Voltaria de novo com certeza."
2 de dez.,5,Experiência sensacional,Comida de excelente qualidade e ainda fui surpreendido com um mini bolo feito na hora para comemorar meu aniversário. Realmente um equipe muito atenciosa. O local é muito charmoso e super aconchegante.  Recomendo a visita
1 de dez.,5,Maravilhoso,"Lugar incrível e belíssimo, funcionários muito atenciosos e educados. A estádia conta com café da manhã, chá da tarde e mais uma cortesia de entrada de parque gratuita. Tudo estava sempre muito organizado e delicioso! A experiência foi maravilhosa!"
nov. de 2022,5,"ACOLHIMENTO, CONFORTO E ALEGRIA!!!!","Estivemos hospedados pela segunda vez este ano no magnífico hotel RH.  Voltamos para casa mais encantados ainda e podendo dizer que estivemos no melhor hotel do mundo.  Primeiramente queremos salientar a eficiência de todos os colaboradores e mais ainda a cordialidade, simpatia e preocupação de todos para que nos sintamos confortáveis .Ao deixarmos o hotel, pareceu estarmos nos despedindo de familiares muito queridos!  A limpeza de Todos os ambientes é também algo que queremos destacar, tudo tão limpo e tão carinhosamente decorado. Flores são presença em todos os ambientes.Lindas!!!!  O conforto dos quartos é incrível: cama, roupas de cama, toalhas e amenidades.  Café da manhã de primeira rico em quantidade e qualidade!  Embora a gastronomia alemã não seja a nossa preferida, utilizamos o restaurante , gostamos muito e recomendamos.  Como se tudo isso fosse pouco, desfrutamos também de um requintado chá da tarde, servido num salão lindo e oferecido como cortesia aos hóspedes.  Enfim, é muito difícil não contar os dias para voltar a esse pedaço do paraíso em  Gramado!  Agradecemos por tanto carinho!"
nov. de 2022,5,Maravilhoso,"Hotel maravilho,os quartos grandes,o café da manhã delicioso,super limpo perfumado,o chá da tarde que o hotel nos oferece simplesmente sublimeos funcionários nota 1000,me senti acolhida por todos.  Tudo maravilhoso"
nov. de 2022,5,Muito excelente.,"O hotel se preocupa com os detalhes. Desde os mimos noturnos até o kit para viagem de retorno.  Os funcionários são ótimos. Destaco os seguintes: Cícero, Luan, Suzana, Alex, Gabriel, Pâmela e Marcelo."
nov. de 2022,5,Excelente,"Atendimento diferenciado, ótima gastronomia e localização perfeita. Estivemos no hotel em outubro/22, com duas crianças pequenas. O atendimento foi perfeito e muito atencioso. O hotel está numa área linda e tranquila. Mesmo assim, fica perto de tudo."
