Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Ótimo Hotel,"Hotel com ótima estrutura, atendimento sem igual, quarto incrível. Café da manhã nota 10. Super recomendo! Onde vou e tem Laghetto, eu faço questão de ficar. Cristiano, Roberto e equipe estão de parabéns."
nov. de 2022,5,Excelente,"O hotel é confortável e silencioso. As pessoas são educadas, gentis. O café da manhã pode ser tomado ao som dos pássaros, é incrível. Além disso a comida é maravilhosa, com variedades e sabores. É um excelente local para recarregar as baterias."
nov. de 2022,5,Excelente hospedagem! Atendimento impecável!,"Fomos muito bem recebidos e acolhidos no hotel, clima excelente, acomodações amplas, arejadas, superconfortáveis e limpas. A localização é perfeita. Perto do centro, schopping e hospital. Voltaremos com certeza."
nov. de 2022,5,Gratidão e Parabéns.,"Parabéns ao Cristiano pela nobre equipe que tem, pois a equipe reflete muito o papel de sua gestão. Obrigado a Querida Mairy pela tamanha atenção desde o telefone até o atendimento presencial, pois foi muito educada, sorridente, prestativa e eficiente. Ao Paul por tamanha educação, um sorriso no rosto o tempo todo e eficiência. Rafael do restaurante (basilic) muito atencioso, prestativo, educado e disposto junto a sua equipe de salão. Recomendarei aos meus amigos e já os elogiei muito aos meia próximos de mim. Continuem com esta paixão em servir, pois vão longe. Obrigado pelos mimos no apartamento."
nov. de 2022,5,Praticidade e Aconchego,"O hotel está em excelente bairro e boa localização em Porto Alegre, ótimas roupas de cama/banho, café da manhã muito saboroso com grande variedade de alimentos, com frutas na maturação adequada, estacionamento de facil acesso ao hospede, atendimento eficiente e cortes de toda equipe."
nov. de 2022,5,Recepção ao cliente atenciosa,"Quero agradecer a atenção especial da Gabriela que assessora os clientes, gentil e solicita.  E também a atenção da equipe do restaurante.  Foi muito bom estarmos no hotel e pretendemos voltar assim que possível.  Também o quarto com banheira é maravilhoso."
out. de 2022,5,Experiência cheia de aconchego e charme,"O hotel fica numa área excelente de Porto Alegre com supermercado, farmácias e restaurantes ao redor.  Além disso, o Laghetto Moinhos tem um ambiente aconchegante construído a partir de uma casa antiga preservada e tombada, o que garante o charme e dá um toque à experiência.  Os corredores têm um cheirinho gostoso, o nosso quarto era lindo, confortável e estava arrumado, cheiroso e tinha tudo que precisávamos graças à Kelly, camareira que cuidou muito bem.  O café da manhã estava uma delícia, com opções variadas de frutas, pães e frios.  Decidimos também almoçar e jantar no hotel, o que foi uma ótima decisão, pois estava tudo delicioso, com sabor super equilibrado.  Pra fechar com chave de ouro, o pessoal da recepção foi muito simpática e solícita do começo ao fim.  Recomendo demais o hotel!"
out. de 2022,5,Melhor hospedagem,Estivemos aqui nesse hotel por dois dias e foi incrível o almoço é em uma casa antiga histórica tombada pelo patrimônio com uma vista incrível junto à natureza o almoço é muito gostoso bem servido o café da manhã é maravilhoso também no mesmo local com luz natural entrando com todas as toda a estrutura preservada já o quarto é bem equipado amplo com uma com um banheiro maravilhoso gostaria de agradecer aqui ao Cris gerente do hotel ao Ronaldo chefe de recepção ao recepcionista Santana e a camareira Kelly que limpou nosso apartamento um abraço para todos.
out. de 2022,5,Ainda sem palavras.,"O hotel ganhou meu coração.    A recepção é extramente simpática e prestativa,  trazem a cultura da Serra para satisfazer o cliente.  Por ser uma data especial ganhamos upgrade do apartamento com direito com mimos.  O café da manhã é excelente!"
set. de 2022,5,ótimo hotel!,"Ótimo hotel, com boa localização, quartos bem equipados e funcionais! Atendimento como sempre no padrão Laghetto com total excelência e presteza, parabéns especial para a recepção! E o café da manhã é simplesmente espetacular, toda a estadia foi perfeita!"
set. de 2022,5,Estadia e equipe excelentes,"Fiz a reserva deste hotel para minha mãe, que foi a Porto Alegre para realizar uma cirurgia e necessitava de um lugar agradável para se hospedar. O atendimento do supervisor de hospedagem, Roberto, assim como de sua equipe (William na parte da tarde e Santana na parte da manhã) foi excelente. Agradeço a especial atenção dispensada por eles e pelos demais funcionários do hotel à minha mãe em um momento tão delicado. Vocês são a extensão dos meus cuidados à ela enquanto não posso estar presente. Após a estadia, concluirei a avaliação sobre as dependências, café da manhã e etc."
set. de 2022,5,Excelente Atendimento,Ficamos 10 dias após cirurgia e o atendimento foi excelente. Ficamos muito a vontade e uma das coisas que gostamos foi poder deixar o carro na garagem do hotel sem a necessidade de deixar as chaves. Certamente recomendo e voltaremos.
set. de 2022,3,Hospedagem por necessidade de restabelecer saúde pós cirurgia,"Decepcionante pelo valor que cobra. Oferece academia com os aparelhos quebrados, so uma esteira funcionando bem. Atendimento recepção a noite para check-in muito fraco, falta mais gentileza. Restaurante com boa qualidade de pratos mas o atendimento é fraco e despreparados. Estou hospedada por indicação por ser próximo do hospital Moinhos. Passei por uma cirurgia, e solicitei uma entrega de refeição para jantar, hoje, 23/09/22. A refeição chegou e o recepcionista do hotel, Gilberto, me avisou, perguntei se eu teria que descer ou eles poderiam entregar, porque eu estava impossibilitada e meu marido havia saído, respondeu que eu teria que descer (???). Pedi que entregasse ao meu marido e ele respondeu: ele vai se identificar? - Você nos atendeu ontem a noite e não lembra? - Não, respondeu ele. Achei a maior falta de profissionalismo e gentileza. Então, liguei para meu marido e pedi para quando chegasse pegasse o lanche. E tudo isso e mais algumas falhas do hotel, exemplo, paguei a maior tarifa por um quarto que a expectativa era excelente. A começar pela parte elétrica, interruptores em lugares opostos a luz que quer acender, não existe tomada no balcão que seria a mesa, então quem precisa trabalhar com laptop não consegue. Bem fraco com valor muito elevado que não corresponde. Tinha tudo para ser excelente, falta manutenção dos quartos ( fiquei na suite Nova York) e treinamentos para funcionários."
set. de 2022,5,Padrão Laghetto!,"Nossa experiência no Laghetto Moinhos foi maravilhosa como esperávamos! Café da manhã muito bom, atendimento da recepção desde a nossa chegada até a saída foi excelente! Cristiano e a equipe toda estão de parabéns!!!"
set. de 2022,4,Voltaremos com certeza,"Uma ótima opção e custo benefício.  Localização maravilhosa e equipe muito atenciosa.  Sou de Porto Alegre, mas moro em SÃO PAULO.  Foi a primeira vez q fiquei em hotel na minha cidade. Foi a escolha acertada, pois morava no bairro Moinhos de Vento e foi muito acolhedor.  Conheço bem a região e o hotel atende as expectativas, além de uma sede muito linda."
set. de 2022,3,"Não vale a pena, meia boca","Hotel bem mediano, razoável e quase meia boca. Para uma noite apenas, passa. Quartos super pequenos, camas claramente já velhas, lençóis ralos e super finos. As paredes são de papel, se escuta tuuuuuuudo do corredor e outros quartos, mesmo. Banheiro tudo apertado e começando as rachaduras, vazamentos, duto de ar cheio de pó.  Café da manhã que tanto falam, BEM mediano. Não entendi o hype, não é nada demais.  O hotel é bonito, toalhas limpas, de resto…. Não fique nesse aqui não, custo benefício não compensa."
set. de 2022,4,Hotel honesto.,"É um hotel com uma entrada e recepção diferentes. A casa era de uma tradicional familia italiana.Foi preservada, o que é bem interessante conhecer. Localização favorece a quem também busca bons restaurantes. Caminhamos na redondeza.  Nos hospedamos num apartamento mais simples. Estávamos de passagem por Porto Alegre. É bem limpo e um bom banheiro. A camareira Viviane é muito caprichosa.A acomodação estava impecavelmente limpa e higienizada.Os funcionários são super prestativos. Nos ajudaram muito na busca de um taxi maior, pois estávamos em 2 casais com malas grandes.Por que disse que é um hotel honesto? Porque entrega aquilo que cobra.Isso me agrada."
set. de 2022,5,Melhor hotel de Porto Alegre,"Hotel Incrível, experiência maravilhosa. Desde o primeiro contato com a recepção até nossa partida, o melhor atendimento que se possa esperar em uma rede hoteleira. Superou nossas expectativas 💯🔝😘."
set. de 2022,5,Foi uma maravilhosa experiência neste hotel que tornou-se nossa “casa gaúcha”. Confortável e uma arquitetura encantadora,"O Hotel Laghetto Viverone Moinhos é, para além da hospedagem, uma atração para ser acrescida à sua viagem. Ele foi construído a partir de uma casa antiga, onde estão conservadas estruturas originais. É algo encantador. Os quartos são confortáveis, os funcionários muito educados e o café da manhã delicioso."
set. de 2022,5,Uma delícia de estadia!!!,"Hotel de arquitetura de muito bom gosto e aconchegante!  A recepção conta com profissionais sempre muito atenciosos, queridos e dinâmicos!  Os quartos são pequenos para estadias longas, mas dispõem de tudo o que se necessita e são muito limpos e agradáveis!  O café da manhã foi sempre motivo diário de alegria: muitas gostosuras típicas do sul e de ótima qualidade!!!  A localização é perfeita e se chega a qualquer ponto da cidade de forma muito rapida!  Adoramos estar lá, essa ja foi a nossa segunda hospedagem! Apenas gostaríamos que piscina fosse aquecida no inverno, então seria tudo perfeito!"
ago. de 2022,5,Hospedagem Laghetto Moinhos,"Estivemos em Poa para realizarmos um trabalho de divulgação e ficamos hospedados no Hotel da Rede Laghetto Moinhos !!! SIMPLESMENTE FANTÁSTICO 👏🏻👏🏻… Excelente atendimento de recepção , um quarto super agradável e um café da manhã que supre todas as necessidades de uma equipe de trabalho !!! RECOMENDAMOS A ESTADIA !!! Obrigadooo 🙏🏻"
ago. de 2022,5,Simplesmente incrível!,"Passando para elogiar a estadia do fim de semana... Que hotel maravilhoso, e a suíte então? Melhor ainda!    Parabéns pelo trabalho impecável da equipe, e posso afirmar pela qualidade, pois já fui em outros hotéis de POA e sem dúvidas o Laghetto foi o melhor!    O hotel é lindo, atendimento incrível, e decoração maravilhosa. O café da manhã é ótimo, não deixem de provar a cheesecake de frutas vermelhas.    Parabéns a equipe toda."
jul. de 2022,5,Lugar aconchegante para hospedagem,"Gostei do hotel, recepção rápida. Café da manhã muito bom. Atendentes educados e atenciosos.  Gostei da casa restaurada onde funciona a recepção e restaurante. Uma volta no tempo observando a arquitetura, mobiliário e decoração. Recomendo."
jul. de 2022,4,Hotel Bom e Bem Localizado,"Todos os funcionários muito atenciosos, quarto bem arrumado e limpo. A entrada do hotel é uma casa centenária muito charmosa. O salão do Café da manhã é muito bonito, pois mantiveram o muitas características da casa e os produtos servidos eram muito bons e o hotel está com uma ótima localização."
jul. de 2022,4,"Nos hospedamos em uma turma de amigos , para um casamento que aconteceu em Porto Alegre .","Hotel muito bem localizado , com ótima recepção e espaços muito aconchegantes,bom  serviço de quarto , quartos limpos .a comida do restaurante deixou um pouco a desejar , e o ar condicionado do quarto não resfriou .A noiva que estava conosco se arrumou no quarto do hotel passou muito calor."
jul. de 2022,5,Experiência incrível,"Como o título já diz, ótima experiência, hotel muito bem localizado com piscina.  Adoramos o café da manhã...bastante variedades.... recomendo..    Agradecer especial o Santana e o gerente Cristiano.    Mas ressalto que toda equipe foi supriendente...meus filhos adoraram tudo.    PARABÉNS 👏👏👏👏👏"
jul. de 2022,5,Almoço de Negócios,"Excelente ambiente para um almoço de negócios. Local muito agradável, com vista para o prédio histórico do DMAE, discreto, tranquilo, fui muito bem atendido e alta gastronomia. Excelente equipe. Achei ótimo e deixo a minha indicação."
jul. de 2022,5,Excelente opção de hospedagem em Porto Alegre,"O hotel fica localizado no elegante Bairro Moinhos de Vento, em um linda mansão tombada pelo Patrimônio Histórico estadual, próximo a ruas com várias lojas e restaurantes.    A ambiente é aconchegante e decorado com vários quadros. Nosso quarto era confortável e com bom tamanho. O café da manhã tinha muitas opções.    Recomendo."
jun. de 2022,4,Ótima Localização,"Hotel muito bem localizado, perto do Parcão e de rua com bons restaurantes. O hotel é muito bonito, em um casarão antigo e com uma parte totalmente moderna. Serviço eficiente de toda a equipe. Quarto bem confortável, mas os itens de banheiro um pouco simples para o esperado do hotel.  Café da manhã agradável, mas sem grandes variações de um dia para outro, a parte de doces em minha opinião precisa melhorar. O restaurante a noite foi uma boa surpresa, com ótimos e saborosos pratos.  Hotel ainda tem piscina, sauna e academia, mas não utilizei esta parte.  Não conheço outros hotéis em POA, mas foi uma ótima escolha."
jun. de 2022,4,UMA LOCALIZAÇÃO ELEGANTE!,"VANTAGENS:  * localização em bairro nobre;  * próximo de restaurantes e locais de referência no bairro Moinho de Ventos;  * quartos aconchegantes;    DESVANTAGENS:  * nada de relevante.    CONCLUSÃO:  Seja a negócios ou para uma parada em família, o bairro tem seu glamour e suas qualidades que tornam o local um ponto de parada interessante para quem deseja tranquilidade e bons restaurantes na redondeza."
jun. de 2022,5,Lindo hotel e ótima localização,Fiquei 3 noites excelentes. O hotel muito bonito com café da manhã incrível. Atendimento da recepção ótimo e serviço de quarto maravilhoso. Com certeza retornarei!  Muito obrigado Laguetto! Melhor estadia em Porto Alegre.
jun. de 2022,5,Ótima hospedagem,"Hotel charmoso em uma região muito bem localizada. Atendimento ótimo e hospedagem confortável. Quartos amplos e camas boas, como li em algumas avaliações, é possível ouvir barulho dos quartos ao lado mas nada que atrapalhe. Voltaremos com certeza!"
jun. de 2022,5,Quarto e localização ótimas,"Perto de tudo, quarto muito confortável. Serviço excelente.  Único momento em que tivemos dificuldades foi no café da manhã (que estava ótimo) porém muuuuito cheio e com fila para sentar para comer, mesmo próximo ao horário do término do serviço."
mai. de 2022,4,"Muito agradável, só faltou água bem quente.","Os saguões do hotel são visualmente impecáveis, desde os pisos de madeira à elegante caixa de vidro e metal que une os dois prédios, passando pelas orquídeas. Os quartos não são grandes, mas o espaço é bem aproveitado (lugar para mala, armário, cofre, frigobar etc.), as camas, muito confortáveis e o café da manhã é excelente (entre as muitas coisas boas, destaque para o incrível pão de mel coberto com chocolate). Os corredores das alas são um tanto estreitos e a água do chuveiro não esquenta muito bem. Coloquei no mais quente que havia e a água alternava entre um tempo de ""quente suficiente"" (poderia estar mais um ou dois graus) para dois tempos de ""morno no limite do tolerável"". Lavar a cabeça nessa situação foi desagradável. Staff muito educado e atencioso. Gostei da limpeza, embora o desinfetante do quarto tivesse um cheiro forte - relevei porque talvez seja um desinfetante específico para o perigo de Covid. Se não for, recomendo troca de produto. Toalhas de banho e de rosto imaculadas. Localização excelente."
mai. de 2022,5,"Ótimo, hotel & serviços","Otimo, um excelente hotel, a localização é absolutamente incrível, o atendimento e os serviços da mais alta qualidade.    Somos uma família com bebê, trocaram o nosso quarto por um maior e mais confortavel. Taxi excelente com espaço para grandes bagagens.    Muito Obrigada."
mai. de 2022,5,Excelente,"O hotel é incrível, localização maravilhosa, atendimento e educação de todos é de tirar o chapéu. Ah, lembrando que o café da manhã também é muito bom!! Atendente Roberto e todos da recepção sempre muito atenciosos.  Recomendo muito!!"
mai. de 2022,5,Viagem de aniversário.,"Chegamos e tivemos a sorte de sermos atendidos pelo Roberto, que foi extremamente atencioso, nos deu um upgrade pro quarto (ficamos na suíte Vegas, bem legal!) e ainda enviou frutas da estação com calda de chocolate como um mimo pelo meu aniversário.  O café da manhã estava uma delícia."
mai. de 2022,5,Excelente,"Acomodação ótima  Funcionários muitos gentis  Chamei o serviço de quarto para um lanche em uma noite e ele estava maravilhoso.  Quarto sempre bem arrumado e limpo, impecável  Com certeza um hotel que recomendaria e voltarei.  Academia beeem simples"
mai. de 2022,4,Hotel muito limpo e bem localizado. Atendente Roberto / recepção e equipe como um todo muito cordial. Recomendo.,Hotel muito bem localizado e limpo. Café da manhã excelente porém deixa um pouco a desejar em opções de frutas . Equipe extremamente educada e cordial com destaque para o Roberto/recepção.  Ponto de vista negativo/ academia e equipamentos bastante antigos.
mai. de 2022,5,Ótimo hotel,"Gostei muito da estadia no hotel. O quarto é ótimo e o café da manhã tem bastante variedade, tudo muito gostoso. Fui muito bem atendida durante todos os dias em que estive lá. Com certeza eu voltaria!"
mai. de 2022,5,Excelente!,"Casa antiga preservada, arquitetura belíssima! Estadia agradável, hotel charmoso e tranquilo. Funcionários atenciosos, ótima experiência! Café da manhã diferenciado. Com certeza voltarei na próxima ida à Porto Alegre!"
mai. de 2022,5,MELHOR HOTEL QUE JÁ ESTIVE!,"Foi a melhor experiência que já vivi em um hotel até então!  Além de toda a decoração e o ambiente externo ser lindo, elegante e aconchegante, com uma higienização e uma limpeza impecável, uma vista maravilhosa do restaurante, as pessoas que trabalham e que se dedicam em prestar o seu serviço são INCRÍVEIS, que atendimento! São educadas, carinhosas, prestativas, acolhedores, discretas, realmente sempre sem palavras! Fui muito mimada nos 6 dias hospedada - ganhei cortesias durante a janta no restaurante e alguns kilinhos também, hehe - pois era o lugar onde eu passava grande parte do tempo durante a noite, de volta do trabalho e que trabalhava ao som de uma música acústica maravilhosa que o ambiente proporcionava. E o café da manhã? E os pratos da janta e toda a cortesia? QUE DELICIA, realmente me marcou de fato e já estou querendo voltar novamente. Obrigada por tudo, vocês são especiais pra mim e tem um lugar no meu coração!"
abr. de 2022,5,Recomendo,"Ótima estadia. Preço justo, Boa localização, perto de tudo. Equipe do hotel muito profissional e atenciosa. Com certeza voltaremos na próxima viagem a Porto Alegre.  Um ponto a se destacar é o café da manhã, digno de hotel 5 estrelas. Muito bem caprichado."
abr. de 2022,5,Foi uma ótima experiência,"O hotel gera é um clima calmo e tranquilo, além de ter uma decoração única e marcante. Gostei muito da experiência. Passei só dois dias no hotel, e como estava a trabalho não fiquei muito tempo no quarto, mas o tempo que fiquei foi bem confortável e aconchegante."
abr. de 2022,5,Qualidade e bom gosto.,"O quarto tem a medida certa pra acomodar sua bagagem , uma cama confortável com travesseiros macios e um banheiro bem estruturado garantem uma estadia tranquila. O café da manhã é excelente e conta com pratos deliciosos."
abr. de 2022,5,Recomendo.,"Eu e minha família nos hospedamos há algum tempo na Rede .  Gostamos muito, sempre fomos muito bem atendidos.  Equipe de funcionários super atenciosos. Sempre disponíveis qdo. necessário.    Recomendo a estada ."
abr. de 2022,3,Limpeza ponto fraco,"Localização razoável, equipe super gentil, café da manhã ok, quarto pequeno, blecaute menor que a janela, cama confortável. Pecam na limpeza, lixeira do banheiro tinha cheiro horrível mesmo estando vazia, nas áreas comuns também falta algum capricho na limpeza, uma pena já que a decoração é bem caprichada."
abr. de 2022,4,"Ambiente lindo, recepção ótima, quarto precisa melhorar!","O ambiente do hotel é lindo, o café da manhã é ótimo, assim como recepção e educação dos funcionários. Não tivemos sorte com o quarto, problemas de manutenção no trinco da porta do banheiro, colchão precisando ser trocado, vaso sanitário tampa sem os batentes para o assento, não tinha copo no quarto (pedimos e não veio), relatei no folheto próprio e entreguei na recepção. Pela excelência da rede Laghetto acredito que será solucionado para os próximos hóspedes."
abr. de 2022,5,Acolhimento especialíssimo,"Recomendo a amigos e colegas de trabalho Hotel Laghetto Viverone Moinhos, staff muito educado e atencioso, em especial o gerente Roberto, sua equipe da recepção e a equipe noturna do restaurante. Obrigada por me receberem tão bem."
mar. de 2022,3,Organização do café da manhã precisa melhorar,"O hotel tem boa estrutura, quartos confortáveis, porém com relação a café da manhã pecam na organização, se prepare para esperar mais de 30min por uma mesa, se estiver com horário marcado de voo ou passeio prefira tomar café em alguma padaria. Local pequeno, apertado para quantidade de hóspedes, deveria ser com horário agendado na recepção ou ter opção de café da manhã no quarto."
mar. de 2022,4,Hotel Charmoso e muito bem localizado,"O Hotel fica em uma casa tradicional de Porto Alegre super bem localizado. A decoração das áreas comuns é maravilhosa, porém, dos quartos poderia ser mais atual. Atendimento eficiente e atencioso. Minha segunda vez no hotel e com certeza ficaria novamente."
