Data da opinião,Nota,Título,Conteúdo
out. de 2022,5,Passeio,"Funcionários muito educados , ótimo café da manhã. Acomodações ótimas . Localização excelente próximo do Shopping América e de vários restaurantes próximos. Tudo muito organizado , limpo e agradável. O pessoal da recepção é gentil e sabe agradar o turista"
set. de 2022,4,Só faltou quarto mais silencioso,"Hotel bonito, elegante e bem cuidado.  Destaque para equipe de atendimento, muito prestativa e atenciosa.  Ficamos no 11o. andar. Vista privilegiada em especial no pôr do sol.  Proteção acústica média. Não é indicado para quem tem alguma sensibilidade ao barulho. Indico fortemente utilizar protetor auricular, ou procurar outra hospedagem.  Difícil de estacionar nos entornos, mas o hotel tem manobrista e estacionamento pago.  Quarto com bom espaço. Armário, frigobar, mesa/cadeira tipo escritório, tv.  Cama espaçosa, travesseiros, lençóis e cobertas muito boa.  Chuveiro muito bom!  Café da manhã com boa variedade, frutas, frios, pães, cucas, ovos mexidos, salgadinhos, café, cappuccino, granola, iogurte,..."
set. de 2022,4,"Excelente hotel, mas com vendedores da rede inconvenientes","Amamos o hotel, os funcionários e a localização. Porém, estavamos de ferias e a todo momento eramos abordados por vendedores da rede laguetto tentando vender cota de novos empreendimentos. Entrar, sair e café da manha se tornou um tormento por causa dessas pesoas."
ago. de 2022,4,Bom lugar,"Ocupamos uma suíte luxo superior no 10o andar em Ago/22. O hotel é agradável mas não é novo e as instalações de banheiro já apresentavam algum desconforto como suporte quebrado de papel, odor muito forte de esgoto na pia e o ralo do box parecia entupido, não tinha boa vazão da água do banho. Wi-Fi sem senha mas funcionando bem. Espaço confortável do quarto e a parede envidraçada para a rua proporcionava a comodidade de assistir ao lindo por-do-sol todas as tardes. Próximo ao Shopping L’America e bons restaurantes. Atendimento muito gentil da recepção. Custo benefício não tão favorável."
ago. de 2022,4,Justo,"A experiência começa na chegada com um atendimento excepcional pela equipe de recepção. Processo de check-in fácil e desburocratizado. Quartos de bom tamanho, confortáveis e limpos. Academia poderia ter mais equipamentos. Café da manhã razoável. Hotel muito bem localizado. Mas o grande diferencial é o atendimento... realmente muito bom."
ago. de 2022,4,Visite Bento Gonçalves,"O hotel é muito bom o café da manhã bem servido. Os colaboradores da recepção muito educados e gentis, sempre que passávamos pela recepção eram cordiais com um sorriso lindo. Porém a limpeza do quarto deixou a desejar, por ser um quarto luxo o valor não foi compatível com o serviço oferecido."
ago. de 2022,5,Excelente estadia,"Hotel de negócios, com excelente localização. Na rua do hotel tem vários bons restaurantes. Não precisa nem tirar o o carro da garagem.  Café da manhã com boas opções.  Quarto confortável, sem reclamações.  Conseguimos aproveitar a jaccuzzi no ultimo andar.  Como já comentaram aqui:  - Tentam te oferecer um novo empreendimento do hotel. Seja educado, agradeça e vá embora, porque eles realmente são insistentes.  - Elevadores pequenos. Na hora de fazer o check-out com malas, deveria ser disponibilizado o elevador de serviço. Fiquei um tempinho esperando um vago.  Vale dos vinhedos fica uns 10 minutos de carro, muito perto."
ago. de 2022,5,Recomendo!,"Hotel super limpo, muito receptivo, pessoal educadíssimo, banho maravilhoso! Quarto com tamanho ótimo! Localização perfeita!  Com certeza vou indicar este hotel outras vezes e também me hospedar nele.  O Café da manhã é bem variado... Foi uma experiência ótima!"
ago. de 2022,5,Viagem de turismo com família,"Serviço recebido, muita dedicação, educação e cortesia por parte dos funcionários desde a recepção até serviço de quarto, incluindo restaurante.  Quarto muito bom, bem distribuído,  Localização excelente.  Gostei da hospitalidade"
jul. de 2022,3,Hotel prático,"Hotel central na cidade de Bento Gonçalves. É um hotel grande, “de negócios”, tem quartos razoáveis; não tem charme, mas cumpre bem o seu papel.  O café da manhã é gostoso e o maior atrativo é o bar “5 cepas” que fica praticamente embaixo do hotel."
