Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Atendimento excelente! Superou todas as expectativas,Avalio o atendimento do Bavaria Sport Hotel como excelente . Desde a recepção a equipe do restaurante ( Especialmente o funcionário Tayron) que nos tratou com muito zelo e atenção. A organização dos quartos impecável .
mar. de 2022,5,Muito bom!!,"O Bavária Hotel me traz otimas recordações de infância. foi aqui que vi a neve pela primeira vez. Foi reformado, mais moderno e com mais quartos, espaço pra crianças, jogos e um espaço externo com atrações, biciletas disponiveis para os hóspedes, pisicna aquecida, restaurante delicioso, clima muito gostoso de aproveitar com crianças e familias."
4 de dez.,5,Experiência Maravilhosa!,"Tudo muito confortável e limpo. Café da manhã c/ muita variedade e qualidade. Equipe extremamente atenciosa, desde a recepção, camareiras, concierge (Jeferson), até os profissionais do restaurante. Fomos atendidos pelo Tayron que nos deu uma verdadeira aula de vinhos.  Pena que nossa estada foi tão curta!  Pretendemos voltar… ;)"
nov. de 2022,5,Ótima experiência!,"Douglas e Jeferson são atenciosos, educados e fizeram a diferença positiva na nossa experiência no Hotel Bavaria. Café da manhã delicioso, cama boa, quarto cheiroso, piscina e área de lazer excelente."
nov. de 2022,1,Péssima experiência,"O hotel em si não é ruim, porém o atendimento é péssimo.  No check-out do hotel, fomos obrigados por um funcionário a pagar a taxa de serviço de aproximadamente R$200, que era um gasto que sabíamos que não precisávamos pagar e que não estava planejado no orçamento da viajem. Mas após insistir muito por explicações do motivo de termos que pagar uma taxa opcional, e sempre recebendo a mesma resposta inútil, decidimos pagar para não nos atrasarmos.  Algumas horas depois contactei o hotel no WhatsApp e expliquei a situação, pois eu queria o reembolso. Então eu fui indicado por um funcionário do hotel, que um supervisor iria me contactar para tratar da situação. Esperei alguns dias, e nada! Então resolvi tentar falar com o hotel novamente e recebi a mesma resposta! E nada, novamente!  Tenho tentado falar com eles frequentemente, já passaram 2 meses da situação, e pelo visto eles até me bloquearam para não terem que devolver o dinheiro.    Por fim deixo a dica para os hóspedes: CUIDADO 😉"
nov. de 2022,5,Atendimento excelente do início ao fim da estadia,"Maravilhoso, do início ao fim, não tenho palavras para descrever a experiência que tivemos na Bavaria, espaço extremamente cheiroso, limpeza impecável, atendimento dos funcionários, vale cada centavo pago o lugar.  Café da manhã dos deuses, será sempre a nossa opção nas idas a Gramado."
nov. de 2022,5,Ótima estadia,"Ótima estadia. Área de lazer muito bonita. Piscina aquecida deliciosa. Café da manhã saboroso e variado nos diferentes dias de nossa estadia. Excelente limpeza do quarto, camas confortáveis (inclusive cama acessória). Não muito distante do centro de Gramado (dá para ir a pé em uma caminhada de cerca de 15 minutos)."
nov. de 2022,1,Não vá,"Se você for de carro, não recomendo. Tivemos que deixar o carro na rua, não tem vagas para todos no estacionamento.  Se for sem carro, fica longe do centro, vai ter dificuldades em se locomover, especialmente na alta temporada, também não recomendo.  Deixamos o carro numa vaga reservada a carros elétricos (sim apenas estes tem duas vagas reservadas, descobri da pior maneira possível. ..) e a meia noite quando eu e meus filhos pequenos já dormíamos, o recepcionista grosseiramente, me fez descer e tirar meu carro para colocar na rua. Queria ir embora, mas o hotel não ressarce o pagamento após check-in... tivemos que continuar...  Enfim, cada volta ao hotel de carro é um estresse... está sempre cheio.  Não vale a pena, Gramado tem vários hotéis do mesmo nível, onde você é tratado com respeito.  Nunca mais voltarei e continuarei contando a todos sobre o desrespeito com que fomos tratados neste hotel."
nov. de 2022,4,Ótimo!,"Segunda vez no Bavária nós adoramos esse hotel! Aconchegante, café da manhã ótimo, funcionários super educados e prestativos! Mas quero deixar aqui uma ressalva! Meu filho ficou no kids brincando quinta sexta sábado e domingo em determinados momentos! A atenção da tia Vih que é uma menina incrível, atenciosa e carinhosa! Porém no domingo era outra tia que estava lá para dar atenção as crianças e está chamou meu filho por diversas vezes de chato, meu filho é uma criança super tranquila, educada, então perguntei a ele pq a tia havia chamado ele de chato, e ele falou que ele e o amigo que estavam lá queriam fazer a dança da cadeira e a tia não queria fazer nada.. me pergunto ela estava ali pra que mesmo? A Tia Vih fez diversas brincadeiras com eles, jogou Ping Pong, fez slime e etc! Acho bem necessário o hotel conversar com essa “Tia” e que ela reveja a atutide infantil dela para que não faça com outras crianças! As crianças estão aí para criarem memórias, memórias boas! Fora esse episódio, sempre gostamos de estar nesse lugar!"
out. de 2022,5,Maravilhoso!,"Hotel maravilhoso!!!  Super confortável, quentinho, perfumado.  Cafe da manhã delicioso, equipe super atenciosa e competente! Arquitetura e decoração dos ambientes muito lindos, A localização é ótima, Adorei! Indico e voltarei, com certeza!!!"
