Data da opinião,Nota,Título,Conteúdo
nov. de 2022,3,Deixou a desejar pelos fatos narados acima.,"Colchão deixa muito a desejar. Na saida o atendente não consegui imprir a nota fiscal, ficou de enviar por email porem ja faz um dia e não enviou. Os traveseiros são todos iguais, não dando posibildade de altura. O ar condicionada sem a tampa direcionadora do ar, impressão de abandono."
nov. de 2022,5,Ótimo lugar.,"Excelente acomodação, o café da manhã é maravilhoso, o atendimento é excelente (funcionários muito educados e solícitos), a área externa é muito confortável e o serviço de quarto também é ótimo - pedi um sanduíche e chegou bem rápido e quentinho."
nov. de 2022,5,"hotel organizado, facil acesso ,, frente da rodoviaria.","hotel organizado, funcionarios prestativos, facil acesso ,frente da rodoviaria, facilidade para pegar taxis e uber, local central, perto de outros pontos da cidade, café da manhã completo, quarto confortavel"
out. de 2022,3,Não ficarei mais,"Um hotel de renome, bem localizado, mas agora está bem quem do que era. Não pretendo ficar mais hospedado nele. Fiz reservas online no próprio site, duas diárias com café da manhã, porém eu só ficaria uma única noite, pedi para os atendentes em 2 situações se poderiam descontar o valor do café de uma das diárias porque eu não iria poder usurfruir, porém não foi permitido, achei muito inflexível. A TV e o Wifi ficavam com o sinal caindo constantemente. Sem problemas, felizmente há opções de melhores hotéis em Porto Alegre."
out. de 2022,5,Tranqulidade em estar bem hospedada.,"Minha experiencia no hotel foi otima e apesar de ser rapida, tive uma hospedagem tranquila, com um delicioso cafe da manha, quarto limpo e organizado no capricho , atendimento otimo e acolhedor. Voltarei sempre que precisar vir a Porto alegre."
out. de 2022,2,Já foi excelente,"O hotel antigamente era muito bom, de verdade. Mas, agora, achei o quarto empoeirado, paredes descascando, o ar condicionado funcionando muito precariamente (no forte do verão, o hóspede sentirá calor). A única coisa que continua excelente é o café da manhã."
out. de 2022,1,Muito insatisfeita e sou cliente antiga.,"A qualidade caiu drasticamente.  O hotel está sem ajudantes para carregar as malas até o quarto, sem manobrista, não é possível acessar a garagem de forma interna, o ar condicionado funcionando precariamente.  Sou cliente antiga e fiquei decepcionada."
out. de 2022,4,Foi bom.,O Bistro é ótimo. Mas gostaria que o restaurante tivesse o funcionamento no fim de semana. Só pra ficar melhor. Obrigado. O quarto estava bem completo e a garagem funciona legal. Sinto falta dos mensageiros e outros componentes da equipe. Mas isso cai voltar só normal bem próximo.
set. de 2022,5,Recomendo os Serviços,"Excelente atendimento, café da manhã elogiável e localização perfeita.  Higiene dos quartos muito adequada.  Local seguro para deixar as bagagens após realizada a saída do hotel.  Aprecio muito me hospedar neste hotel."
set. de 2022,4,Muito bom,"Bem atendidos pessoal da recepção muito atencioso, quarto limpo e demais instalações também, café da manhã ótimo atendentes atenciosos, acústica meio comprometida, mas acredito que devido a estar bem cheio"
set. de 2022,4,Hotel não valoriza o cliente que usa o Hotel ano todo,"Bom dia fiquei muito chateado com atendimento recebido pelo pessoal da reserva do Hotel Ritter sou cliente de muitos anos ,eu hospedo no hotel em viajem a trabalho e nao para turismo.  No dia 29 pedi uma reserva de 1 noite,pessimamente a atendente Simone me disse que tinha vaga mas o custo era de R$ 620,00 ,que em dias normais este quarto custa R$ 250,00 no Maximo.Eu pedi para verificar o meu cadastro mas simpresmente era ignorou e disse que não podia fazer nada nem pediu meu CPF para verificar o meu cadastro.  O hotel deu preferencia para o pessal que estava vindo para Expointer mas o cliente que usa o hotel ano todo não tem nenhuma preferencia.,  Acabei ficando do Lado no Hotel continental que me cobrou um R$ 350,00 num quarto que seria o mesmo do Hotel Ritter.  Quanto a hospedagem atendimento dos recepcionista não tenho reclamação .  Somente essa situação me deixou indignado ,quando não existe eventos dizem que sou cliente VIP,maS QUANDO EXISTE UM EVENTO O CLIENTE QUE USA O HOTEL ANO TODO NÃO E NADA."
ago. de 2022,5,Adoramos a estadia,"Excelente serviço. Fomos com a família, tudo limpinho, bem servidos e seguros. Os colaboradores são muito solícitos e simpáticos. Nossa filha amou o hotel. O café da manhã é excelente. Ótima localização."
ago. de 2022,5,Prefeita a estada,"Excelente em todo o contexto do hotel;  Equipe qualificada e com grande carisma;  Ambiente agradável;  Café muito bom;  Acomodação ótima e chuveiro srnsacional;  Area de recreação traduz segurança, e ar livre."
ago. de 2022,5,Elogio.,Excelente atendimento. Estrutura muito boa. Valor justo. Café da manhã muito bom. Quartos que atendem perfeitamente. Localização excelente. Fica em frente a rodoviária e 20 minutos de carro do aeroporto.
ago. de 2022,5,Próximo de tudo,"Pessoal altamente profissional e atencioso. Próximo da rodoviária e do centro histórico de Porto Alegre.  Você pode visitar a pé, a Casa de Cultura Mário Quintana, o Mercado Público de Porto Alegre, o Mercado Público Municipal, a Teatro São Pedro."
ago. de 2022,3,Me causou uma sensação de estar hospedado num pequeno hotel de interior ou numa pensão.,"Tem muitos anos que eu e meu sócio , Sr Marco Antonio Antunes de Souza, nos hospedamos no Ritter Hotéis. Notamos na última estada no Hotel, a falta de funcionários na recepção, e como consequência a queda no bom atendimento. Tivemos que nos deslocar para estacionar o veículo na garagem do sub-solo, serviço esse que era feito pelos funcionários da recepção, e o risco é grande , pois como somos do interior corremos um risco maior de assaltos. Notamos também, uma insegurança muito grande no momento de estacionar o veículo, quando da chegada ao Hotel, pois fomos abordados diversas vezes por pessoas pedindo ajuda e esmolas(nada contra) , mas causa muita insegurança. Outro fato que nos chamou a atenção, foi com relação ao restaurante não servir mais refeições, como era de costume tempos atrás. O sistema de servir refeições no quarto, provoca uma sensação de falta de higiene e má impressão, pois os hóspedes se alimentam e jogam a bandeja no corredor, esse fato ocorreu ao lado do apto n° 642 que estava hospedado no dia 02/08/22. Infelizmente não tirei fotos, mas é fácil de checar e verificar oque está acontecendo."
ago. de 2022,5,Excelência em atendimento,"Ótimo atendimento, pessoal qualificado e atencioso. Café muito bom. Acomodações ótimas, roupas de cama e banho higienizadas, acabamentos dos dormitórios perfeito.  Reserva rápida, fiz minha reserva ainda na estrada a caminho da capital e tive ótimo atendimento e confirmação de reserva, Hotel realmente vale muito a pena."
ago. de 2022,5,estadia por dois dias,"sou cliente do Ritter hoteis a mais de 20 anos. bom quarto. bom cafe d manha. Atendimento especial e sempre de alta linha do Paulo, do Wilmar e do Pedro. pessoal do cafe muito gentil. Pena que meu amigo uruguaio foi embora. Era uma oportunidade de praticar o espanhol. sala de ginastica esta bem localizada, mas a ultima vez que estive no hotel, uma das esteiras não estava funcionando. Recomendo verificar isso. Tive que esperar um hospede sair para eu usar a esteira. Recomendo a voces voltarem com o restaurante em forma de bife, como foi durante muito tempo"
jul. de 2022,5,Estadia em família,"Hotel superou as minhas expectativas! Boa localização, em frente a rodoviária. Higiene impecável tanto das instalações como toalhas e roupas de cama. Quarto amplo, arejado e confortável.  Café da manhã muito bom, funcionários simpáticos e prestativos, principalmente o Sr Gilberto que atendeu prontamente um pedido especial do meu filho menor. Uma sugestão para ficar perfeito, ter um microondas em alguma área comum do hotel (poderia ser perto de onde tem a água quente) para os hóspedes aquecerem alguma coisa, principalmente quem viaja com criança.  Adorei, recomendo! Voltaremos!"
jul. de 2022,5,Sempre muito bom!,"Atendimento 100% cordial e eficiente, mesmo com o hotel lotado, não tive nenhum problema, café da manhã excelente como sempre, limpeza nota 10, acomodações confortáveis. Sempre será minha primeira opção em Porto Alegre e recomendo."
jul. de 2022,3,NÃO VALE O PREÇO,"Hotel tradicional mas que deixa a desejar, até pelo preço que cobra. Começou que havia lotação e cobrou estacionamento igual para quem deixou o carro coberto ou em estacionamento aberto. Quando vc vende o produto precisa ser claro, até para evitar dissabores ao proprietário do veículo, podendo esse decidir diferente antes de efetivar a diária. Com relação ao café, o hotel não se preparou adequadamente para atender a demanda. Isso não é culpa dos funcionários que sempre muito foram muito atenciosos e tentavam atender as demandas, mas quando se coloca pouca gente, dá nisso, atropelo, falta de produtos... as informações da recepção quanto ao funcionamento do restaurante não bateram pois disseram que era alacarte e ao chegar no restaurante fomos informados que somente havia bife livre... questionado a recepção, essa manteve a informação e disse que seria as duas possibilidades... para evitar mais espera, foi efetuado o pedido no quarto... mas nem tudo foi ruim e por isso a nota razoável... pedido almoço, o mesmo veio em 15 minutos quando foi informado que levaria 40 minutos e estava de fato muito bom."
jul. de 2022,5,Excelente Hospedagem,"Ótimas acomodações, muito limpo, estrutura organizada e pessoal atencioso e dedicado. Fiquei lá em função de uma viagem com os amigos, para curtir a noite em Porto Alegre. Vale muito a pena. Fica em frente a rodoviária, e tem acesso fácil ao centro e aos principais pontos de turismo em POA. Recomendo!"
jun. de 2022,5,Maravillhoso,Sempre me hospedo no Ritter Hotel pois o atendimento é maravilhoso..  Tanto pela localização como também pelos apartamentos amplos e muito limpo.  Café da manhã é execente muito variado.  Os preços são acessíveis.
jun. de 2022,5,Ótima estadia!! Voltaria com certeza 🥰,"Amei o hotel, o quarto e a estadia. Pretendo voltar em breve, e aí sim utilizar de todas as acomodações que o hotel oferece. A única dica que daria seria atualizar a tv do quarto pra uma smart, pq hoje em dia praticamente tudo que assistimos está no YouTube, Netflix, etc. O quarto que fiquei tinha uma vista linda tbm, vou deixar o registro."
jun. de 2022,3,Poderia ser melhor,"Bom atendimento, porém ao sair deixei o carregador do celular no quarto. Voltei na parte da tarde para recuperar e não encontraram pois governanta não estava, ficaram de me ligar no dia seguinte e enviar por Correios. Não me ligaram nem mesmo enviaram no endereço que solicitei. Bom em questão de facilidade para viajantes a trabalho como no meu caso. Mas senti que poderia ter tido mais interesse na solução do ocorrido."
jun. de 2022,5,Excelente,"Equipe bem prestativa e acolhedora, restaurante aconchegante com comida excelente e muitas opções, quartos grandes e ótimas acomodações. Hotel muito bonito, bem equipado, localização excelente. Quartos de fácil acesso."
jun. de 2022,4,Perigo nas redondezas,"O hotel é bom.  O problema são os entornos do hotel que estão tomados por indigentes e drogados.  Penso que os hotéis próximos deveriam unir forças para, que junto ao poder público, tomar uma providência para solução do problema, caso contrário logo não haverá mais hóspedes."
jun. de 2022,5,Reunião em família.,"Estadia muito boa. Funcionários muito educados. Café da manhã com bastante variedade. A limpeza do quarto é feita conforme solicitação do hóspede, e a moça da limpeza muito educada. Com certeza voltarei."
jun. de 2022,5,Hotel onde sempre nos sentimos muito bem,"Sou cliente junto com minha família desde 1975, antes de ser construída a torre do fundo, pela sua localização, atendimento em geral, serviços sempre que vamos a Porto Alegre nos hospedamos no Ritter."
jun. de 2022,5,Excelente estadia,"Excelente, fomos muito bem atendidos, o quarto estava bem organizado, o café da manhã foi bem servido também e os funcionários foram muito atenciosos e prestativos!  Quando retornar a Porto Alegre, pretendo agendar nova estadia."
