Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Virada de ano em Natal,"Excelente hotel, funcionários atenciosos, simpáticos. Hotel tem uma parceria com a Viva Arte em fotografia. Jeiny foi a fotógrafa, nos deixou a vontade, super disposta a tirar fotos e auxiliar nas poses. Fernanda, consultora de imagens, também foi super atenciosa, simpática e paciente nas escolhas das fotos."
dez. de 2022,5,"Surpreendente, cativante e memorável!","Eu me hospedei no Resort em 12/2022 e amei a experiência! Beleza e conforto definem e resumem mto bem o Wish Natal! O Hall de entrada é imponente e reune c/ estilo o rústico c/ o moderno e urbano chic. Me hospedei num quarto vista-mar c/ cama king size, mto espaçoso e aconchegante. Apesar de o Resort ter todos os quartos reservados nesse período, eu não vi superlotação, mto pelo contrário: todas as áreas do Resort estão prontas p/ receber de forma agradável a todos os hóspedes; A área da piscina é sofisticada e convidativa. Eu adorei a mobília da piscina, mto linda. O restaurante Malta oferece pratos saborosos e diferenciados, uma mistura de pratos típicos c/ toques originais e criativos. Uma experiência gastronômica! Contudo, o que realmente me surpreendeu e encantou foi…"
dez. de 2022,5,Recomendo demais,"Excelente estadia. Vim pelo Exclusive Guest vale demais a pena ! Gostaria de agradecer a todos pela acolhida maravilhosa, principalmente Jane , Olivanio , Saulo, Heny, Arthur , Sabrina , Fernanda, Lucimario , Thiago , tia Sol e tio Parafuso que fizeram nossas férias mais do que especiais!!! Já estamos planejando a volta"
dez. de 2022,5,Avaliação Wish Resort,"Estive no wish resort para passar o natal com à família,atendimento maravilhoso! Sr Henry garçom atendimento nota mil! Voltaremos em breve. Parabéns a toda equipe wish resort por nos tratar tão bem! Dias de muita paz e alegria"
dez. de 2022,5,Minha lua de mel,"Os quartos são os melhores que já fiquei A recepção é tooooop Fiz as fotos com a jeiny da loja Viva att fotografia quem me recepcionou na loja foi a Fernanda ela nos atendeu muito bem,eu e minha esposa amamooooos❤️❤️"
dez. de 2022,5,Lua de mel,"O hotel é maravilhoso, acomodações de alto conforto e sem contar com a ótima empresa de fotos que é a viva que está localizada no hotel, fotos tiradas pela fotógrafa jeiny que é de um ótimo humor, e Fernanda consultora de imagem que também proporciona um ótimo atendimento. Super indico!☺️"
dez. de 2022,5,Atendimento ao cliente,"Em especial esta avaliação vai para os garçons! Realmente pessoas que fizeram a diferença até aqui em nossa estadia!    Heny, Keity e o Tiago foram 3 garçons que ao longo dos nossos dias procuraram atender, não só a nos, pois observei todos durante as refeições…. Mas estes em especial eu fico admirado pelo carinho e dedicação que eles tem aos clientes!    Heny mesmo é considerado pelos próprios companheiros como sendo o “pai” deles!!!!    Somos Exlcusive Guest e ficaremos ainda até dia 03/1/23 mas precisava colocar estes pontos positivos a vcs!    Irei pontuar em  Outra avaliação, sobre outros pontos específicos mas fiz questão de fazer este em especial pois eles merecem!"
dez. de 2022,5,Natal em NATAL!!!!,Jane e Heny gostei do atendimento deles! Muito atenciosos e educados. Serviço maravilhoso! A ceia foi fantástica!!!! Amamos!!!!! A limpeza do resort está ótima! Piscinas super bem cuidadas e pessoal muito agradável desde a recepção até a praia! Estamos amando!
dez. de 2022,5,Natal incrível!,"Ótimo atendimento, funcionários extremamente atenciosos,acolhedores bem treinados e divertidos.  Foram dias marcantes com a minha família!  Os ambientes são limpos e cheirosos  Recomendo de olhos fechados!"
dez. de 2022,5,Natal em Natal,"Hotel muito bom!  Local muito aconchegante, com um recepcionamento e atendimento maravilhosos por todos os serviços do hotel, destaque para Heny, Jane e Débora, que foram marcantes na nossa viagem.  Local limpo e bem conservado, com ótimos cheiros e aromas.  As atividades durante o dia são bastante diversificadas e traz muita diversão tanto para casais quanto famílias, vale muito a pena acordar cedo e ir dormir mais tarde para aproveitar tudo que o Wish tem a oferecer.  Restaurante Malta muito diversificado e com qualidade nos pratos, não passei vontade de nada, muito boa as opções aos hóspedes e garçons atenciosos.  Recomendo e voltaria em uma próxima oportunidade !"
dez. de 2022,5,Férias em Natal,"Hotel muito bom!  Excelente atendimento de Heny, Jane, Débora e demais funcionários.  Espaço incrível, aconchegante e limpo  Eu e minha família nos sentimos muito acolhidos e com gostinho de voltar!  Recomendo!"
dez. de 2022,5,Férias maravilhosas,"Sr Heny do restaurante Malta é muito atencioso  Um atendimento maravilhoso  A atenção é diferenciada as refeições que fizemos são sensacionais,  Débora do entretenimento é outra atendente muito atenciosa  Nossa estadia está sendo muito boa"
dez. de 2022,4,Lugar confortável!,"Hotel muito bom! Fica na via costeira proporcionando uma vista espetacular do mar!  Quarto com espaço adequado, camas confortáveis, e ar condicionando funcionado bem! Limpeza bem feita, toalhas cheirosas!  Área de lazer muito bem cuidada e bela! Café da manhã muito saboroso! Funcionários atenciosos!  Única coisa para deixar a experiência perfeita seria trocar o chuveiro dos quartos por outro com ducha forte e grande, semelhante àquele do banheiro feminino perto da piscina!  Recomendo muito o hotel!"
dez. de 2022,5,Elogio aos funcionários,"Gostaria de deixar registrado o elogio para o Sr. Luiz Carlos, garçom extremamente atencioso sempre a disposição para deixar nossa experiência no restaurante a melhor possível.  Deixo o aqui também o registro do elogio para Arthur, rapaz muito muito simpático, sempre com um sorriso no rosto de dar inveja, atendimento exemplar.  Elogio também a camareira Christiane deixando nosso quarto sempre cheiroso e impecável e a professora Débora da hidroginástica deixando nossa tarde mais divertida.  Obrigado a todos vocês."
dez. de 2022,5,Lua de Mel em Natal,"Adorei toda a instalação do hotel, desde da recepção, até o restaurante tudo maravilhoso.  O pessoal da Viva Art fotografia foram uns amores, A Jeiny a fotografa e Fernanda a consultora foram muito receptivos, adoramos."
dez. de 2022,5,EXPERIÊNCIA SURREAL E MARAVILHOSA,"Lugar incrível. Pessoas lindas e educadas!!!  O hotel sem palavras de tão maravilhoso que é. A empresa de fotografia VIVA é MARAVILHOSAAA! fomos auxiliados em tudo!!! A fotógrafa (Jeiny) e a Patrícia (consultora) nos ajudou muito nas escolhas das fotografias. Enfim, a experiência está sendo incrível e com certeza iremos voltar!!!"
dez. de 2022,5,Maravilhoso!,Muito conforto! Excelente fotografia (Viva arte em fotografia) atendimento maravilhoso da Fernanda e fotos maravilhosa do fotógrafo Nelson! Parabéns pela parceria! Amamos a comida! Todas as refeições maravilhosas!
dez. de 2022,5,Amei a hospedagem!,"Amamos a nossa Hospedagem, foi maravilhoso todo o atendimento, comida, e tudo que oferece. Hotel maravilhoso. Também fizemos fotos com a Viva arte fotografia (Fernanda e Nelckson) no qual nos atenderam muito bem, muito gentis e profissionais!    Tudo perfeito."
dez. de 2022,5,"Excelente, recomendamos","Hotel mto bom, valeu a estadia Quarto amplo e limpo, camas grandes e banheiro ok. Restaurante Malta (café/jantar) com garçons muito educados e atenciosos. Piscina excelente para crianças. Praia com ondas fortes e perigosas, dependendo da maré. Atendimento do bar da piscina precisa melhorar. Recreação para crianças maiores com pouca opção."
dez. de 2022,5,Avaliação funcionários,"Estamos hospedados no wish, e sendo atendidos maravilhosamente por funcionários excelentes  Jani e Heny, pessoas como vocês nos fazem querer voltar todo final de semana nesse lugar lindo  Ficamos muito felizes por isso, hotel se preocupa com nosso bem estar em todos os sentidos"
dez. de 2022,5,Hotel fabuloso em todos os aspectos,"O hotel é excelente e fiquei muito satisfeito com minha estada.  Instalações sempre limpas e bem cuidadas. Grama é podada e regada diariamento, lindo paisagismo. Vista do mar magnifica.  Café da manha fenomenal, alem de farto, todos os itens servidos são de otima qualidade e saborosos. Sucos são naturais, a tapioca preparada na hora é muito boa e trazida à mesa, não precisando ficar em fila como às vezes ocorre em outros hoteis.  A piscina é excelente, bonita, musicas tranquilas e às vezes com cantor ao vivo.  Excelente custo-beneficio e proposta de pensao: é otimo poder hospedar-se em um hotel grande e confortavel sem que seja obrigatorio fazer todas as refeicoes dentro do hotel, já que há muitos passeios a se fazer por Natal e, normalmente, está-se fora do hotel na hora do almoco e jantar."
dez. de 2022,5,Férias em Natal,"Excelência no atendimento. Experiência de conforto e bem estar.  Acomodações limpas, com roupa de cama de alta qualidade. E o mais especial foi o ensaio fotográfico com o Kliver da VivaArt fotografias que nos fizeram sentir numa revista de tão lindas as fotos.  Fernanda, a consultora, é a gentileza em pessoa."
dez. de 2022,5,Muito boa,"Hotel muito bom, fizemos vários passeios bacanas com paisagens lindas. Adoramos as fotos do hotel Wish em parceria com a Viva Arte Fotografia. Recomendo a praia de Pipa, principalmente a praia do Madeiro."
dez. de 2022,5,"Conforto, qualidade e atenção","Estadia excelente, passando por todos os aspectos, recepção, quartos, piscinas, restaurantes e brinquedoteca.  Temos uma bebê de 2 anos, fizemos várias solicitações para atender as demandas de alimentação dela e que foram prontamente atendidas pela equipe do restaurante Malta (a Laura e o Henry) e serviço de quarto.  A equipe Viva Artes Fotografias é muito boa, fotos de qualidade. Agrademos à Fernanda pela atenção e ao fotógrafo Nelkson pelas fotos."
