Data da opinião,Nota,Título,Conteúdo
3 de dez.,5,Excelente!,"Lugar excepcional. Funcionários solícitos, vista maravilhosa para o Lago, lugar muito agradável.  Café da manhã impecável e chá da tarde muito bem servido. Voltaremos com certeza! Experiência perfeita em nossa estadia em Gramado."
nov. de 2022,5,Natal de Luz em Gramado,"Estalagem ST Hubert, foi uma agradável surpresa na Serra Gaúcha! Excelente estrutura, decoração e o atendimento impecável da equipe. Com mimos nunca vistos em outros hotéis! Parabéns a toda equipe. Voltaremos com certeza!"
3 de dez.,5,Experiência incrível!,"Excelente hotel, instalações, e principalmente toda a equipe.  Excelente gastronomia, café da manhã e da tarde imperdível .  Não vejo a hora de voltar para contemplar todas estas maravilhas com a maravilha vista do lago negro.  Muito obrigado pela experiência!"
2 de dez.,5,Maravilhosa,Excelentes acomodações e excelente atendimento por parte de todos sem exceções!!! Gerente muito atenciosa e uma equipe maravilhosa. Vista linda do Lago Negro e muito bem localizado!! Café da manhã muito bom!!!
nov. de 2022,5,Hotel Fantástico,"O St Hubertus é simplesmente espetacular. Considero um dos melhores hotéis de Gramado. As instalações são fantásticas, ficamos no quarto 28 que é muito aconchegante. O café da manhã é espetacular e os colaboradores atendem a todos com muita educação e presteza."
nov. de 2022,5,Detalhes incomparaveis,"Todos muito atenciosos, decoração aconchegantes, chá da tarde delicioso e chá de boa noite surpresa. Limpeza dos quartos impecável! Educação e gentileza da equipe nos fazem sentir em casa! Poderia ficar mais 1 mês aqui!"
nov. de 2022,5,Voltarei sempre,"Hotel maravilhoso em todos os sentidos; decoração, limpeza, funcionários, café da manhã e tbm o chá da tarde.  Ao lado do Lago Negro.  Já estive outra vez neste hotel e voltarei sempre que for à Gramado."
nov. de 2022,5,Um paraíso no sul do pais,"Uma estadia perfeita sobre todos os aspectos,mas gostaria de salientar a atenção e gentileza no atendimento de todos os funcionários deste hotelo  Quarto extremamente confortável  Café da manhã e o chá da tarde de alto padrão  Piscina e área externa com uma vista maravilhosa do Lago Negro  Salas para leitura fantásticas  A decoração em todos os ambientes do hotel, são de extremo bom gosto  Enfim foi um ótimo final de semana  Com certeza retornaremos em breve"
nov. de 2022,5,Espetacular!,"Foi incrível, pela segunda vez. Hotel maravilhoso, uma vista espetacular para o lago Negro. vista de cinema. Amei!!!! Café da manha ótimo, associado a vista fica espetacular. volto mais vezes!!! Da próxima quero ficar mais dias. Ainda ganhamos brindes."
nov. de 2022,5,maravilhoso,"A hospedagem foi maravilhosa! O Hotel é muito bonito e charmoso. Os quartos são muito limpos, bonitos e aconchegantes. A vista de dentro do hotel para o lago negro é de tirar o fôlego. Os funcionários são gentis e atenciosos. Eu amei me hospedar no local! Não vejo a hora de voltar."
