Data da opinião,Nota,Título,Conteúdo
8 de dez.,5,"Prodigy , um bom hotel!!","E um bom hotel,todos os funcionários são muito educados, principalmente o Matheus da pizzaria do hotel!. A infraestrutura é excelente, podendo melhhorar ainda mais, principalmente na colocação de mais nichos no banheiro, pois não cabe os itens pessoais!! E também na questao de sinal de wifi é muito fraco!! A tv não tem acesso a youtwubr e tão pouco a netfix, limitando o gosto do cliente!!'"
3 de dez.,5,Ótimo,"Adorei me hospedar no Prodigy, o hotel é super bem localizado. Os ambientes são ótimos, fomos muito bem recepcionados e conseguiram até liberar o quarto mais cedo. O que pra nós foi um diferencial pois vínhamos de uma viagem longa. O café da manhã é pouco diversificado de um dia pro outro, contudo, é muito bem servido e tem opção de tapioca ou omelete feito na hora."
nov. de 2022,5,Adorável.,"Ótima localização, ambiente agradável, funcionários cordiais e atenciosos e sempre atentos às nossas necessidades. Menção especial para o garçom MATHEUS.  Apartamentos novos e confortáveis bem no centro de Gramado, com uma ótima vista de seu entorno."
nov. de 2022,5,"Opcao perfeita no centro de gramado para fazer tudo andando, melhor custo beneficio do centro de gramado","Opcao perfeita no centro de gramado para fazer tudo andando.  Quartos exelentes, cama e chuveiro otimos. Tudo bem cuidado e novo.  Unica coisa que poderia melhorar é o cafe da manha, que poderia ter mais opcoes e em dois dias os ovos mexidos estavam muito frios.  Mas é o unico ponto a melhorar pois o restante é perfeito, assim como a equipe que sempre foi super atenciosa e gentil.  Melhor custo beneficio do centro de gramado sem duvidas."
out. de 2022,4,Aniversário de Casamento,"Gostamos muito do hotel e recomendamos.  Pontos positivos:  - Localização  - Estrutura geral do hotel  - Atendimento. Destaque mais que especial para a Helena na recepção do check in ao check out.  - Time de concierges fantásticos. Muito atenciosos e com muitas dicas e orientações.  Pontos a melhorar:  - Decepção com as camas de solteiro no quarto que são unidas para uma fake cama de casal. Lamentável.  - Café bem básico, poucas opções e reposição muito lenta. Sanduícheira estava quebrada, segundo um funcionário já fazia um bom tempo.  Pontos simples para serem melhorados."
out. de 2022,5,4 noites em Gramado,"Hotel muito bom. Café da manhã bastante completo, quarto confortável, atendentes do hotel amáveis. O hotel está muito bem localizado no centro, a uma quadra da avenida Borges de Medeiros. Também tem um restaurante de pizzas e massas à noite."
out. de 2022,5,Excelente localização,"Hotel muito central. Atendimento cordial, quartos de bom tamanho, com camas confortáveis e ótimo chuveiro. Frigobar, tv, secador de cabelo, enfim, o que se espera de um bom hotel de rede. Café da manhã ok e estacionamento pago à parte.  Embora não tenha levado o meu cãozinho, fui informada que o hotel é pet friendly, com taxa de R$ 120,00."
out. de 2022,5,Excelente!,"Fomos na pizzaria que fica dentro do hotel Prodigy, aberta a não hóspedes também. Fomos super bem atendidos pelo Matheus. Tivemos um jantar super agradável e a pizza é surreal de boa (italiana mesmo, massa fininha, borda crocante). Vale muuuito a pena. O terraço ao lado tem vista pra igreja de pedra."
out. de 2022,5,Hotel bom que pode ficar excelente!¡!,"Hotel em excelente localização. Acomodações boas para poucos dias, quartos um pouco pequenos, mas a pia fora do banheiro é uma maravilha.  O restaurante tem um bom ambiente, espaçoso, porém quando formos tivemos muita dificuldade em escolher os pratos do cardápio que invariavelmente tinham algum ingrediente em falta.  O que foi excelente foi o atendimento e a atenção que o garcon Linconl nos dispensou em todas as nossas refeições e fez com que nos sentisssemos em casa. Parabéns a esse garoto! Vai longe"
out. de 2022,5,Férias,"Hotel maravilhoso, excelente atendimento, acomodações muito boas, café da manhã incrível. O bar e restaurante também tem um atendimento impecável com muitas opções, sem falar da localização, que é perfeita, bem no centro."
