Data da opinião,Nota,Título,Conteúdo
1 de dez.,2,Exposição de animais presos,"O hotel é relativamente bom, mas infelizmente nos deparamos um um ""mini zoológico"" com exposição de animas (aves, roedores, etc) possivelmente para entretenimento dos hospedes/crianças. Em pleno século 21 ver um hotel expondo e mantendo animais presos é inaceitável. Primeira e última vez neste hotel."
out. de 2022,4,Chuveiro muito bom,"Gostei do quarto, bem limpo e confortável. O chuveiro sai água em abundância e quente. O café da manhã é bem sortido, consegui tomar as 05hs da manhã. Não gostei do frango que servem no menu do restaurante a noite, mas a carne de vaca é boa... pena que a comida chega fria na mesa. Muito bom o atendimento dos atendentes do hotel."
ago. de 2022,3,Reataurante deixou a desejar,"Estive em agosto, para uma viagem de 7dias pelo Jalapão, no dia da chegada, como estava cansada, pedi um prato, para comer no quarto, primeiro que demorou quase 1hora para chegar, pedi uma carne que era para ser filé mignon ou picanha (nãolembro), com pure de batata doce, arroz e brócolis, como não como arroz, só veio a carne e o purê, a carne estáva super dura e tbem dizia que acompanhava salada e sobremesa,mas a sobremesa não veio, paguei quase R$ 80,00, achei péssimo, para um hotel de 4estrelas. Nunca mais."
ago. de 2022,3,Espera para o Safari.,"Poucas tomadas disponíveis, nenhuma ao lado das camas.  Acomodação dupla, necessário, no mínimo, 2 tomadas livres para carga de equipamentos/celulares.    Restaurante bem avaliado dentro do próprio ambiente do hotel.  Academia com bom horário de funcionamento."
mai. de 2022,5,"Excelente serviço, atendentes educados e diligentes. Café da manhã variado e farto. Boa acomodação. Hotel em melhorias.","Bem localizado, atendentes muito simpáticos e prestativos. Restaurante com boas opções. Café da manhã farto e variado. Quarto confortável.Hotel passando por melhorias. Hall de entrada amplo e bonito, recomendo. Bom custo benefício."
mai. de 2022,5,Uma bela experiência,"Fui com meu filho, nora e 2 casais de amigos de turma ao Jalapão e ficamos hospedadas na ida e volta do Camping Korubo no Jalapão. Foi uma bela experiência. O Hotel é amplo bem agradável c/ decoração moderna e clara.    A recepção e seu colaboradores são muito prestativos. Todos os funcionários são alegres, sorridentes e aplicados. O clima da cidade de Palmas é bem quente, abafado, mas dentro do hotel fica muito agradável. Fomos muito bem acolhidos.    Os quartos são amplos, decoração eficiente e limpa. A TV não foi usada, mas o wi-fi é bom. As camas são muito confortáveis, quartos silenciosos. O banheiro é amplo e como a privada e a ducha são separados da pia, permitem mais pessoas serem atendidas. A ducha é muito boa.    O restaurante Palazzo foi utilizado no café da manhã e em um jantar a la carte. Muito bom com atendimento até tarde da noite e com uma boa carta de vinho. No no café da manhã em serviço buffet e serviço de tapioca bem servido, com muitas frutas e diversas opções de pães, doces, frios. A comida a la carte é bem preparada, com bons ingredientes embora o ponto menos da carte foi ultrapassado.    A piscina e o seu bar são interessantes, principalmente a noite, com sua bela decoração.    Toda a equipe é muito bem preparada, muito educada e gentil. Ainda nos ajudaram guardando as malas após o checkout, de forma muito discreta e eficiente."
mai. de 2022,5,Hotel maravilhoso e super recomendo!,"Adorei esse hotel, super bem localizado, limpo, aconchegante, pessoal maravilhoso. Comida super boa! Café da manhã, almoço e jantar maravilhosos. O pessoal do staff foram super atenciosos e prestativos."
mai. de 2022,2,Experiência ruim,"O restaurante do hotel oferece couvert para quem pedir algum prato do menu, a propaganda diz sobre antepastos, salames e queijos, porém chegou uma pequena porção de presunto cortado, com abobrinha estragada, pepino agridoce e uma maionese de alho, com poucas torradas ruins. Logo após foi nos servido uma salada muito ruim, alface, manga e tomates cerejas estragados também. Já havia frequentado o local anteriormente e a qualidade caiu muito! Não recomendo! Comida estragada é inaceitável."
nov. de 2021,5,Delicia de estadia,"Hotel bem localizado. Piscina de raia um pouco pequena mas muito agradável. Café da manha ótimo. Funcionários muito educados e solícitos. Fiquei em um standart de tamanho muito bom, mas o destaque vai para a ducha de agua com aquecimento solar... não da vontade de sair."
out. de 2021,4,Hotel Agradável,Um hotel bem preparado e com uma boa e ágil equipe de atendimento. Tem um ótimo café com boas opções. Possui um restaurante de destaque e uma bela adega de vinhos. A boa infraestrutura deixa o hóspede como conforto e segurança. Preço razoável é outro atrativo!
