Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,1,Estadia decepcionante,"Limpeza do quarto dia sim, dia não. Café da manhã, almoço e jantar, todos os dias a mesma coisa sem variedade nenhuma. Copos plásticos e pratos de plásticos. A Água era fornecida 3 garrafas, e quando acabava, o hóspede tinha que encher os vasilhames. A água de coco era misturada com água mineral. A Pizza era horrivel. Para finalizar gostaria de destacar que o regime era all inclusive. Para exemplificar melhor gostaria de falar que todos os dias de minha estadia eu tinha que comer 2 nughetts de frango, 2 ovos fritos e alguns pedacinhos de bacon ou macarrão branco com molho pois o arroz e o feijão pareciam que estavam ali há dois dias atrás. Ah e a sobremesa era sorvete todos os dias. O unico ponto positivo eram os funcionários que se esforçavam para oferecer o mínimo necessário…"
8 de dez.,2,All inclusive frustrante,"Frustante!!! fazem excursão aos finais de semana, o hotel fica lotado com filas enormes para alimentação, as piscinas ficam sujas por conta da hospedagem excessiva a comida fria e reaproveitada de baixíssima qualidade, sistema self service, poucas opções de comida, higiene questionável… A localização e a estrutura do prédio são boas,os poucos funcionários são atenciosos mas em número insuficiente para demanda, o ponto bom fica pela bela localização e a empresa que presta os passeios incluídos são bons! Resumo não vale o All inclusive, mas vale a beleza do lugar e o passeio"
2 de dez.,1,Decepcionante,"Hotel não tem serviços de praia, ou vc se arrisca a pegar um câncer de pele ou fica no hotel. Toda a louça de plástico (inclusive as canecas, vélhas), dão um tal de eco copo, que vc é obrigada a tomar tudo quanto é líquido no mesmo copo, ou usar as xícaras de plástico. Colocam as coisas para sanduíches quentes de manhã aí as coisas vão ressecando e não tem troca se não acabar, o hambúrguer fica ressecado ovo duro e as vezes dura até a noite, ou dia seguinte, Salgadinhos só teve no final de semana, porque eles priorizam o povo do Day use. No domingo à noite(depois que o povo do day use foi embora) a janta não foi reposta, só “resto”, as únicas coisas novas eram batata frita e pizza, que aliás foi o que comemos quase a semana toda. Perguntei para o rapaz(não peguei o nome), se…"
nov. de 2022,4,Muito bom o custo benefício!,"Li as avaliações aqui e decidir ir ao hotel, na minha opinião comida ok, pode melhorar com mais opções sim, mas comi bastante, foi sempre bem reposto o buffet, chop uma delícia. Acomodaçao, pequenos detalhes deveria melhorar, o Box maior é melhor que ter um Box pequeno e banheira pequena, sem ter onde colocar o shampoo. Fiquei no quarto família 8, amei o tamanho o espaço, sim as portas tb precisam melhorar! Varanda excelente! piscina e área de lazer excelente! O passei com a marazul e a guia Joelma foi ótimo! Cortesia do hotel, então parabéns para o hotel!"
nov. de 2022,4,Descanso,"Minha estadia no marsol foi incrível, lugar de paz e o atendimento dos funcionários maravilhoso, gente a comida MT boa, e ainda fiz um ensaio fotográfico com a paparazzi,ganhei um barquinho lindo como lembrança, simplesmente sensacional esse liga, Natal e MT Linda."
nov. de 2022,5,Incrível,"Excelente hotel café da manhã incrível. Piscina excelente , um atendimento maravilhoso, com uma bela vista , quartos muitos aconchegantes, tudo muito limpo, muito bem organizado, tudo muito bom"
nov. de 2022,5,Férias em Natal,"Adorei o atendimento da Joyce e o Lucas da Paparazzi  Muito atenciosos e educados.  A estrutura do hotel é ótima, a vista é linda e os funcionários são muito prestativos.  Única coisa que não me agradou foi a alimentação e o papel higiênico que é muito ruim."
nov. de 2022,5,Curtindo a vida,"E a minha 3 vez em Natal e estou amando o hotel, atendimento do funcionário e MT bom,o ambiente bem animado a comida nem se fala 😍  E o mimo que recebi depôs de fazer um ensaio com a Paparazzi lindo,o fotógrafo Gustavo MT amável e paciente e a atendente MT simpática."
nov. de 2022,2,"Um baita estrutura, tudo para ser perfeito, mas falta uma gerência e administração para justificar um belo passeio.","Fui já com a percepção das diversas avaliações que li sobre o local.  Não digo que me decepcionei, mas talvez chateado seja o termo.  Uma estrutura sensacional, enorme, imensa. Beira mar. Tudo para ser sensacional, mas deixa a desejar.    O perfil atual , para justificar um valor bem mais barato na acomodação ALL inclusive , talvez seja o responsável um pouco pelo descaso. O preço pago é imbatível - muito barato para um serviço beira mar all inclusive. Mas a conservação do espaço não é das melhores.    Poucos funcionários, não há garçons. Os hóspedes se servem E, depende demais da educação de cada um, limpam o espaço . Depende de cada um tirar seu lixo, recolher seus pratos e levar tudo. Poucos fazem isso.    Os corredores são sujos, o hotel parece ter uma estrutura antiga que necessita urgentemente de uma reforma, adequação, pintura , renovação.    Os quartos são ótimos! Amplos banheiro IMENSO - eu dava banho nos meus 2 filhos ao mesmo tempo, e caberiam mais 3 crianças no box. Ar condicionado inverter ótimo. Varanda pequena, com uma rede que não me cabia deitado. O serviço se quarto é a casa 2 dias, então cabe a cada família cuidar e limpar do espaço.    As piscinas um pouco sujas - e a culpa é dos hóspedes. Os pais deixam as crianças comer na piscina, tomar sorvete e doces. A piscina principal tinha uma espuma marrom nojenta no canto. Esse sistema all inclusive acaba sendo o grande avassalador do local. Todos deixam tudo muito sujo.    Sobre o serviço, o chopp é Oktos, até saboroso, sempre gelado. Diversas opções de bebidas, mas aquele esquema: faça seu drinks e lave tudo! Difícil viu. E as refeições, nada a reclamar. Mas a educação dos hóspedes para se servir, mais uma vez, torna tudo muito ruim.    Uma pena. Um espaço daqueles, que tinha tudo para ser fantástico, na minha opinião, fica apenas algo normal, e que pode atrapalhar seu passeio."
nov. de 2022,5,Férias em família,"Hotel ótimo ,amei tudo comidas e bebidas,adorei o quarto eu meu esposo e minha filha amamos foi tudo de bom o tardiamente da fabiula Ana foi ótimo vamos ter saudades de Natal votaremos logo a praia ótima"
nov. de 2022,4,Família,Boa localização. Piscina sempre limpa com uma vista panorâmica por mar. Existe a opção de realizar passeios para os hóspedes. Atendimento da Fabíola foi excelente. O José foi nosso fotógrafo e registrou lindos momentos em família! Sentiremos saudades de Natal
nov. de 2022,5,Familia,"A segunda vez que venha ao vila do mar e é um dos hoteis mais incrivel de natal. A comida é uma delicia, os fucionario tem um otimo atendimento.  A paparazzi foi incrivel comigo, gostria de ter tirado majs fotos com minha filha, a vendedora izabela super aenciosa"
nov. de 2022,5,Viagem em família,"Amei a experiência no vila do mar, comida boa, hospedagem ótima, a vista nem se fala.  Amei tbm o atendimento da paparazzi, com a vendedora Isabela, muito simpática e super atenciosa. A paparazzi arrasa demakd"
nov. de 2022,2,Nunca vá nesse hotel. Experiência horrível,"Comida horrível. Quartos horríveis. Achei uma barata no quarto e após 2 dias de estadia pensando que era alergia de alguma coisa pegamos sarna. Toalhas fedidas. Banheiro então sem comentários. O que salva somente e a vista para o mar. Você tem que comer em prato e copo de plástico. Tudo que você pega de líquido tem gosto do copo de plástico horrível. Comida fria, demora para repor as coisas. Não tem variedade de nada."
