Data da opinião,Nota,Título,Conteúdo
9 de dez.,3,"Poderia ser melhor. O hotel é bonito, praia não é tranquila para banho, a sauna estava fechada e faltam garçons. Atendimento no","Falta atendimento. Filas imensas para o check-in. Demora no atendimento nos quartos e falta garçom na piscina. Vale pelo preço. Praia tem pouca faixa de areia mas é bonita as instalações são antigas mas limpas, nada quebrado. Ar condicionado funciona. Tem equipe de animação infantil"
5 de dez.,5,Excelente,"Excelentes acomodações no Catussaba Suítes. Quartos amplos, limpos e bem equipados. Alimentação e serviços ótimos de ótima qualidade. Voltaremos em breve, com certeza. Ótima escolha!!! Super recomendo"
nov. de 2022,5,SUPER RECOMENDO,"Segunda vez que vou nesse resort , a primeira vez fui com minha filha, dessa vez meu esposo foi junto , levamos dois casal de primos juntos .Esse lugar é lindo , resort pé na areia , paisagem é linda de mais , jardim super bem cuidados, os quartos sempre limpinhos e cheirozinho , café da manhã perfeito com tapiocas feita na hora uma delícia , frutas variadas , as refeições tbm perfeitas com grelhados feito na hora ,comida muito saborosa . Todos amaram ,pretendemos voltar mais vezes , o lugar é perfeito para descansar aproveitar a vista linda do mar. Amamos e até breve."
nov. de 2022,5,Ótimo,"Perfeito , atendimento, atenção,cuidado ,lugar lindo ,pretendo voltar muitas vezes ,área infantil,animais exóticos, área verde incrível ,quarto bem higienizado ,cozinha impecável, funcionários super atenciosos"
nov. de 2022,5,ESTRUTURA LIMPA E BEM ORGANIZADA.,Acomodações estavam bem cuidadas e limpas. Os preços das refeições estavam a cima do mercado local. Piscina de água fria. Não tinha brinquedoteca. WI Fi no hotel inteiro. Bom acesso de carros com aplicativo.
nov. de 2022,5,Super recomendo,"Muitas avaliações negativas mas resolvi apostar e não me decepcionei. Estrutura muito boa, café da manhã excelente, variado e saboroso, funcionários atenciosos, boa cama, bom banheiro, boas piscinas, quadras variadas de jogos, pavões, carpas, coelhos, galinhas dangola, muito verde, mar e sol. Muuuiitttooo bom. Pode ir de olhos fechados"
out. de 2022,5,Ideal para descansar,"O hotel me surpreendeu demais… comida excelente… preços justos conforme esperado… meia pensão já vale a pena pois tem bastante comida e vc vai pra cama cedo.. paisagens lindas, praia mais linda ainda.. hotel perfeito pra ir descansar! Sem algazarra e barulho. Amei a experiência."
out. de 2022,5,"Excelente hotel , espaço maravilhoso!","Excelente hotel , muito bonito , roupa de cama muito boa , cama enorme , bem limpo , a comida e muito boa, o espaço e lindo , muita natureza, excelente para descansar com a família . Nós amamos o espaço e com certeza recomendo. Já estamos ansiosos para uma nova visita ."
out. de 2022,2,Ruim,"Frigobar enferrujado, colchão rasgado, estrutura precisando de revitalização. Mas o que mais me impressionou foi o péssimo atendimento. O recepcionista não nos deu pulseira na entrada, isso após mais de meia hora em pé na fila só pra fazermos o check-in. Ao descermos pra praia, o segurança alertou que não conseguiríamos entrar sem a pulseira. Voltamos na recepção, e o atendente sequer nos pediu desculpas. Ficamos mais de 3 horas à beira da piscina, e em nenhum momento apareceu alguém perguntando se gostaríamos de beber algo. Tivemos que ir atrás de algum atendente, e ainda voltar ao quarto pegar o cartão (não anotam na conta do quarto, tem que pagar na hora no cartão ou dinheiro - nem PIX aceitam). Não recomendo e certamente não voltarei aqui."
out. de 2022,5,melhor vista,"Quarto bem espaçoso, superou minhas expectativas, de frente pro mar com amplas sacadas ( 2 sacadas).  Fui bem recepcionada por todos funcionarios, sem exceçao.  Nao optei por pensao completa, entao só posso avaliar o buffet do cafe da manha que é maravilhoso.  Achei tudo bem limpinho, jardins bem cuidado. Para quem vai com crianças tem atividades como alimentar os bichinhos, atividades na piscina, balada kids.  Restaurante com musica ao vivo.  Eu nao tive nenhum problema, apesar do hotel estar 100% ocupado, meu quarto perfeito com tudo funcionando e limpo.  Voltarei com certeza"
