Data da opinião,Nota,Título,Conteúdo
dez. de 2022,2,Já foi bom,Hotel em decadência em relação ao pre pandemia. O quarto que me foi atribuído cheirava a verniz das madeiras insuportável. Completa falta de bom senso para quem sofre de alergias. O restaurante em termos de jantar MUITO fraco em sentido oposto o pequeno-almoço MUITO BOM . A piscina com a água muito suja. Lamentavelmente um hotel que já foi muito bom está em decadência em todos os sentidos pelo que fico com pena.
jul. de 2022,5,Amei demaaaaaaais!!,"Amei o Hotel! Localização, limpeza, alimentação maravilhosos! O que mais me chamou a atenção foi a Gentileza, Alegria , Humanidade e prazer em servir os hóspedes demonstrado pelos funcionários do Hotel! Tudo Perfeito! Vou voltar, com certeza!!🤍🙏🏼🤍"
dez. de 2022,3,Não nos arrependemos mas não voltaremos,"O hotel fica longe de qualquer ponto turístico de salvador e a praia em frente não é boa para banho (muito agitada e muitas pedras), necessitando deslocamento se a ideia é curtir praia. Também não fica próximo de restaurantes, precisando sempre estar pedindo carro para se deslocar se não quiser comer no hotel - cuja comida está mais para quebra-galho mas é uma opção (tem dois restaurantes, o externo é melhor). Os quartos precisam de modernização - poucas tomadas, as vezes com cheiro de esgoto do ralo do banheiro, lençóis que nao tem elástico e pequenos para o colchão. A parte boa é a área de piscina, com opções de drinks e porções, sem dificuldades para encontrar lugar para ficar, porém a toalha para piscina é paga por unidade por dia de uso. Não fomos com crianças mas parece…"
dez. de 2022,5,Muito bom para Familia,"Fomos bem recepcionados, funcionarios do hotel bem receptivos, camareiras, pessoal da piscina, quarto sempre limpos, a atencão das camareiras com a quantidade de utensilios nos quartos pois estavamos em 3, sempre arrumados e limpos, me senti bastante seguro com Minha familia no hotel, Minha filha ficou bem a vontade, sempre tinha alguem olhando as criancas na piscina infantil, o pessoal do lazer muito simpatico e sempre trazia entretenimento para as criancas e os adultos tambem, pesticos na piscina muito bom Vale o destaque para o acarajé da Vera muito bom e o atendimento do pessoal tbm, café da manha muito bom, muita variedade e bem preparado. Ambiente familiar. Com certeza voltaremos!"
dez. de 2022,3,O Hotel piorou após a pandemia,"Frequento o hotel Stella Maris desde 2017 e tenho algumas considerações a fazer: Pontos positivos: 1) pagamento das despesas realizados no dia da despesa evita filas no check out; 2) A música na piscina melhorou bastante; 3) Recreação continua muito boa; 4) Café da manhã continua bom. Pontos negativos: 1) Água da piscina muito suja; 2) Não possui canais infantil na TV, há somente TV aberta. Pra quem tem filho criança essa ausência é muito ruim; 3) Wifi no quarto é péssimo. Não funciona. 4) Apartamento bastante ""usado"", merece manutenção. Grato"
dez. de 2022,5,Ótimo local,"Hotel maravilhoso. Superou nossas expectativas. A programação de Natal foi impecável. Instalações ótimas, comida ótima. Café da manhã com ótimas opções. Local especial para crianças, com piscina e parquinho. Piscinas naturais na praia pela manhã que nós permite ver peixinhos, lindo."
dez. de 2022,1,"Péssimo, velho e abandonado.","Estivemos hospedados no dia 14 de dezembro de 2022 e odiamos. O hotel é muito velho e está abandonado. O quarto estava em uma situação deplorável isso que compramos o quarto luxo vista mar que era mais caro, roupas de cama rasgadas e cheias de mofo, cortinas sujas e mofadas, janelas sujas, sacada suja e descascando a tinta, banheiro com os rejuntes todos mofados e sujo, shampoo e sabonete de quinta categoria, o chuveiro entupido e saia um jato de água que parecia uma mangueira. Frigobar voce tem que comprar a água se quiser e por nele porque eles não deixam nada la sem pagar. O elevador parou de funcionar várias vezes e nao tem se quer um ventilador no elevador extremamente quente; Piscina extremamente suja e os rejuntes cheio de mofo e sujeira boiando na água, eles NÃO TE DÃO…"
dez. de 2022,5,"Ótimo espaço, lindo e seguro para a família relaxar!","Local maravilhoso, vista linda, espaço confortável e seguro para curtir casal e família! Já me hospedei 3 vezes, experiências maravilhosas! Podem ir sem medo! Tem acesso direto a praia que também é bem segura!"
dez. de 2022,5,Resort Incrivel,"Equipe de funcionários excelentes, acolhedores e prestativos! Ambiente aconchegante e organizado. O quarto luxo é perfeito. Promove uma vista incrivel frontal para o mar , presenciar o nascer do sol foi surreal!"
dez. de 2022,5,Hotel maravilhoso,"Hotel maravilhoso, bem organizado, comida boa e atendimento excelente! Vista muito linda, a piscina é maravilhosa, umas das melhores que já fui! De pra se divertir muito, recomendo o hotel sem medo! 🙌🏼"
