Data da opinião,Nota,Título,Conteúdo
4 de dez.,3,Bom custo benefício,"Visitei o hotel por 5 dias com meus pais, e, o maior ponto positivo que posso destacar da minha estadia no Nauticomar é o staff do hotel, sempre muito gentis e prestativos! A limpeza do hotel é impecável. E, o fato de ser pet friendly com certeza é um outro grande ponto positivo. Os quartos são espaçosos, apesar de simples. A alimentação muito gostosa (não há muita variedade - como em outros hotéis all inclusive que contam com vários restaurantes funcionando ao mesmo tempo), a pizza e o hambúrguer são gostosos e uma alternativa para quem se enjoar da janta (ou almoço também, no caso do hambúrguer). O beach club é muito bom! Conta com uma equipe maravilhosa e com drinks diferentes do hotel. Não vejo pontos negativos, porém, tenho algumas sugestões (e também pontos de atenção…"
nov. de 2022,5,Férias em família,"Resort muito bacana, espaço de lazer diferenciado com ótimo atendimento dos monitores, comida e bebida sempre disponível. Atendimento top de Marcilo e Aleandro da recepção são incríveis ... Eu e minha família adoramos"
nov. de 2022,5,100% bem recepcionado,"Fomos muito bem recepcionado pelos atendentes Aleandro e Marcílio, ficamos muito felizes e com certeza voltaremos mais vezes, muita variedade de comidas e sobremesa sem contar os petiscos de primeira qualidade"
nov. de 2022,5,Comemoração Aniversário e Férias,Excelente Resort. Não temos queixa em nada. Muito bem higienizado. Fartura de comidas e bebidas. Muitos lugares de recreação infantil e adulto. Lugar bem familiar. AMAMOS.Obrigada ao Funcionário Jadson Castro pela prestatividade e melhor funcionalidade em reservar e explicar O presenteio Resort no bolo de Aniversário. Prosperidade sempre em seu trabalho e no empreendimento do Resort. Obrigada a todos!!
nov. de 2022,5,Férias,"Queria agradecer pela atenção que o Wilson Carlos nos deu desde o início, quando fez nossa reserva. Nossa experiência não poderia ser mais positiva, mesmo com a chuvinha nossos dias no Nautico foram muito muito bons!! Nadinha a reclamar, só agradecer mesmo!! Esperamos voltar em breve!!"
nov. de 2022,4,Bom,"Bom Custo benefícios, hotel nao e um 5 estrelas, mas cumpre o que promete.    Nos dias de semana foi maravilhoso, porem, no final de smena e feriado, ficou muito cheio, e realmente teve filas para tudo.    Nosso pacote tinha um passeio que não aconteceu, solicitei a substituição por outro benefício, mas nao foi concedido.    Questão do estacionamento na semana foi tranquilo, porem no final de semana foi sofrível, mas tinha um rapaz p ficar com as chaves até encontrar a vaga!    O clube Paradiso é legal, porem fica somente ate as 16:30, acho q poderia estender por mais 1h. Mas as pessoas la super atenciosas.    O quarto que fiquei era grande as camas eram boas. O banheiro nao era tao moderno, mas nada que influencie na minha nota!"
nov. de 2022,2,Nauticomar Porto Seguro,"Para ser considerado um resort falta bastante, principalmente em termos de estrutura e visto que nem o básico de um quarto de hotel não possui como mesa de cabeceira, luminária e suporte para produtos dentro do box do banheiro. O frigobar está enferrujando e a tv tem apenas três ou quatro canais com uma imagem ruim. A acústica dos apartamentos também é bem ruim, já que eu escutava perfeitamente a tv que estava na mesma parede da cabeceira da cama no outro quarto. Viajei sozinha e sabia que o custo benefício não seria tanto em termos de alimentação, mas que poderia compensar em relação a conforto e comodidade, o que não aconteceu. Não há nenhuma atenção aos detalhes e nenhum grande diferencial.    Os funcionários, em geral, são bem esforçados, principalmente em relação a manter os espaços minimamente organizados.    Há opções de alimentação além do que é servido no restaurante principal como pizza e hambúrguer, mas nada muito saboroso ou de qualidade.    A praia em que está situado o beach Club é bem bonita e tranquila, mas se não estiver de carro dependerá do transporte do hotel que sai em horários pré determinados e é feito em um ônibus velho. Os funcionários de lá foram bem atenciosos.    Para quem não tem muito critério e/ou referência e não prioriza um serviço diferenciado este hotel pode até ser considerado suficiente. Eu não recomendo e não retorno.    Nas duas primeiras fotos a ""vista"" do quarto; Foto 3 e 4 é o que se vê quando olha pra cima nos corredores. E na última o paisagismo também no corredor dos apartamentos."
nov. de 2022,3,Deixou a desejar,"Vamos começar pelo atendimento. Muito bom, a maioria dos atendentes simpáticos, demonstrando que gostam de trabalhar no local. Estrutura: boa, grandes quartos, porém sem muita mobília, como lixeiro além do banheiro, black-out, mesinha de apoio ao lado da cama, local para colocar roupa no cabide. Só tem uma piscina, para uma quantidade de hóspedes grande. Não tem hidro, embora tenha espaço para instalação. Não tem quadras de esporte, e conta com uma pequena academia. A sala de jogos é bem grande, mas novamente, tem poucos equipamentos para a quantidade de hóspedes, fazendo ficarmos em filas de espera para jogar algo. Por último, e o mais importante, pecam muito na alimentação! Café da manhã, almoço e janta muito razoável, com pouca variedade e comidas muito simples: frango, arroz, macarrão, feijão, sobremesas extremamente simples, como gelatina e brigadeirão. O que salvou a alimentação foram as pizzas (muito boas!), e o hambúrguer, retirando a parte da fila para pegar e falta de organização na fila (teve até encrenca entre hóspedes rsrs). De resto, deixou muito a desejar neste quesito. Pensávamos que teriam mais comidas típicas, com melhor qualidade e maior variedade. Relevamos muito coisa por estar em lua de mel, mas não voltaríamos, principalmente pela comida."
nov. de 2022,5,Náuticomar standard,"Amamos o local!  Atendimento do Ale na recepção e do Lucas no bar são maravilhosos!!  Todos os funcionários muito educados, simpáticos e solícitos, tanto do resort quanto do beach park.  Fomos surpreendidos!  Mal saímos do resort (só para beach park) pois há muitas atividades e entretenimento.  Com certeza voltaremos em breve com toda família.    Único ponto a melhorar: chuveiros, não acertam na temperatura exata. Oscila entre muito quente e muito frio.  Ps: tragam repelentes, há mtos pernilongos na região."
out. de 2022,5,Colaboradores do hotel,"Deixo aqui o elogio aos colaboradores do hotel, na gentileza, educação e pronto atendimento. Hotel limpissimo, refeições maravilhosas. Piscina otima, o clube praia é perfeito. Qualidade como do hotel. Amamos!!!"
out. de 2022,5,Perfeito,"Estive com minha família no período de 19 a 25 de outubro é fiquei encantada comida deliciosa, atendimento perfeito, os funcionários muito educados e uma limpeza de dar gosto, o pessoal do lazer tio Pipoca e Tio mosquito são uns amores agitam a galera. Sendo que no dia 22 foi meu aniversário e ganhei até um bolo amei.  Foram férias para guardar no coração obrigada Náuticomar e agradeço muito a Barbara com quem fiz as reservas que me auxílio e tirou todas as dúvidas    Amei e recomendo e muito  Até a próxima 😍🙏"
out. de 2022,4,Experiência top de mais,"Gostei do hotel muito mesmo em todos os aspectos , principalmente do atendimento do agente Wilson , rapaz com muita eficiência uma educação impar , minha estadia foi muito boa .Uma reclamação pois um hotel com uma estrutura espetacular não tem estacionamento , carro tem que ficar no meio da rua . Clube de praia top demais da conta .Gostei muito e pretendo retornar assim que possivel ."
out. de 2022,4,Náuticomar hotel e beach clube all inclusive,"Hotel muito bom, funcionários muito atenciosas, comida excelente, acomodação boa confortável ótimo atendimento.    Ponto a melhorar é em questão a acessibilidade do hotel ,eu sou cadeirante precisei de trocar de quarto porque o acesso no quarto ao qual me foi reservado não entrava a cadeira no banheiro, o quarto acessível é um pouco mais longe da recepção o que acaba sendo cansativo ir sempre para o quarto e voltar as atividades não são acessíveis, piscina não é acessível precisaria de um corredor pra entrar com a cadeira de banho na água, a cadeira de banho fornecida também precisa trocar, beach clube é muito bom mas falta acessibilidade deveria ter um caminho que leva direto ao banheiro sem precisar entrar na areia.    Hotel muito bom, funcionários mto gentis e educados, ponto a melhorar fica sendo a questão da acessibilidade mesmo, espero que numa próxima oportunidade o hotel esteja mais acessível.    Att,    Guilherme."
out. de 2022,5,Execpcional! Perfeito,"Preciso registrar o tamanho da minha satisfação com o Nauticomar, da compra ao check out nada a reclamar. Quarto excelente, colaboradores educados, solícitos, recreação infantil muito boa com um espaço kids surreal, clube de praia perfeito! Aconchegante e privativo. E a comida! Todas as refeições foram perfeitas. A única coisa que poderia melhorar e a carta de bebidas, ainda assim, pra mim estava todo o resto tão bom que não desabonou em nada minha viagem. Obrigado ao Náutico, em especial ao Gleidson, pelos dias maravilhosos que passei com meu esposo e filha. Estamos todos muito satisfeitos e gratos a vcs. Voltaremos em breve!"
out. de 2022,1,Nauticomar a fraude,"O anúncio de Resort é indevido. O hotel Nauticomar possui 176 quartos, dos quais metade virados para piscina, onde o ruído pela superlotação impede o uso da área seja utilizada para diálogo entre as pessoas. O Nauticomar aluga serviços de outra empresa para oferecer um clube de praia, válido até as 16:00, desde que solicitado com 24 horas de antecedência.  Assim, oferece serviços ao inclusive até as 22:00, sem deixar opções para o intervalo até as 07:00 da manhã. Já a manutenção não existe, nem mesmo na parte da limpeza.  O perfil é de hotel 2 estrelas. Permaneci no período de 03 de outubro até o dia 15 de outubro.  Foi a primeira experiência onde queria ir para casa o mais rápido possível. Depois desta experiência, Porto Seguro, nunca mais"
out. de 2022,5,11 anos de casamento,"Desde a recepção na entrada ao check out, tudo de muita qualidade e excelência. A todo momento tem comidas a serem servidas, o clube de praia Paradiso aconchegante e confortável.  A Val chefe de cozinha muito atenciosa e simpática.  Super recomendo a hospedagem."
out. de 2022,5,Excelente experiência,"A estrutura, alimentação e espaço são ótimos. Mas o que de melhor há são as pessoas que realizam os atendimentos. Tanto no bar, quanto no restaurante, do club e do hotel. Destaco o excelente atendimento do Ale e da Mai que além de solícitos e disponíveis são atencioso e amáveis. O Ale é o campeão das melhores dicas de passeios. Indico demais."
out. de 2022,5,Ótimo local para casais e família,"Hotel incrível, sistema do all-inclusive muito bom.  Recepção atencioso e cuidado para cada tratativa, em especial aos recepcionistas Ale e Mai.  Club com uma ótima estrutura e bom atendimento de todos."
out. de 2022,5,Avaliação,"Atendimento ótimo. Ótimos funcionários, serviço de quarto 100 por cento, culinária uma delícia, com variedades excelentes. Próximo as praias boas, e o clube parafuso realmente é o paraíso, espero voltar mais vezes"
