Data da opinião,Nota,Título,Conteúdo
nov. de 2022,3,Decadência de um dos melhores hotéis,"Sempre fui muito bem atendido no Windsor, amamos o café da manhã de lá, mas infelizmente fomos mal atendidos dessa vez. Pedi late check-out, foi autorizado, mas enquanto dormíamos, bateram na porta e tocaram uma campainha, era uma camareira só para perguntar se houve consumo, duas horas antes de terminar a estadia. Além disso, fomos tratados com desrespeito, com sorrizinhos e olhares com os colegas pela recepcionista no check-out."
nov. de 2022,2,Ruim,"Adoro o hotel, dou hóspede a anos, não precisava deixar chegar a esse ponto…  Banheiros decadentes, assento vaso plástico ruim e estava folgado, não repôs shampoo, condicionador, não tinha touca, elevador péssimo, demora, barulho estranho e visor quebrado. Estacionamento não comporta hóspedes, já encostaram no meu carro na vaga, cheiro horrível da cozinha, o exaustor não funciona e sobe cheiro de fritura da cozinha que dá para sentir do quarto.  Café da manhã maravilhoso, serviço de quarto bom."
nov. de 2022,5,Café da manhã incrível,"Ótimas instalações: colchão confortável, toalhas e roupas de cama novas e limpíssimas, ótimo chuveiro! O café da manhã é maravilhoso, com destaque para o bolo de chocolate sem glúten e sem lactose, uma verdadeira delícia! Os funcionários são solícitos e educados. Hotel bem localizado próximo a shoppings e a pontos turísticos. Minha única ressalva é com relação aos elevadores, que precisam de uma manutenção urgente."
nov. de 2022,3,"Como um hotel 5 estrelas, deveriam se preocupar em modernizar e melhorar o material que estão trabalhando nos quartos.","Excelente localização, funcionários solícitos e educados, café da manhã incrível. Porém, elevador não funciona direito por estarem velhos (teve gente que ficou presa), colchão duro, cobertores de péssima qualidade e ar condicionado barulhento que não esfria o suficiente! Como um hotel 5 estrelas, deveriam se preocupar em modernizar e melhorar o material que estão trabalhando nos quartos."
nov. de 2022,5,Maravilhoso! Ótimo café da manhã,"Estou adorando. Ótimo hotel com um café da manhã divino! Quarto grande e confortável, localização excelente, restaurante 24 horas. Ao lado de shoppings e restaurantes! Funcionários muito simpáticos e solícitos, com certeza voltaremos"
set. de 2022,5,Ótimo hotel,"Funcionários muito prestativos e simpáticos. Ótimo café da manhã, com opções sem lactose e sem glúten. ótima localização, e quartos bons! Dica escolher quartos voltados para a fonte em frente a torre de tv"
set. de 2022,3,Não vale 5 estrelas,"Este hotel é vendido como 5 estrelas, mas dos anos 90… ficou parado no tempo. Pelo preço pago no vale. Colchão duríssimo, ar condicionado barulhento. Só salva o café da manhã que é bastante variado. Fiquei chateada com o que é oferecido pelos meus 500 reais."
ago. de 2022,4,Conforto e localização excelentes.,"O Hotel é muito agradável, bem amplo, com cama confortável. A localização é excelente e tem dois shoppings exatamente na frente. Está próximo cerca de 500m da torre de televisão. O café da manhã tem diversas opções de pães, bolos (inclusive sem glúten), frutas, sucos naturais, tapioca feita na hora, e etc. A recepção e os funcionários são muito atenciosos, atendendo às solicitações com muita eficiência, inclusive instalaram uma tomada de 2A para funcionamento do secador de cabelo da minha esposa. Com certeza, voltaremos a nos hospedar neste hotel."
ago. de 2022,5,O Melhor da Região.,"Sabe aquele lugar em que você se sente muito bem cuidado? É desse jeito. Logo de início, que me chamou a atenção foi o cuidado e a educação dos funcionários. O atendimento é diferenciado. Os quartos e banheiros impecáveis, com tudo no seu lugar, e cheiro de casa limpa! Construção em granito e decoração de muito bom gosto, deixando o ambiente confortável e aconchegante. A café da manhã é um capítulo à parte. O melhor de todos! Funcionários pró-ativos e muito educados no atendimento. Grande variedade de itens à escolher para atender à gostos diversificados e também às dietas mais severas hehe. Também percebi um cuidado especial com as frutas e os alimentos preparados na hora, personalizado para o hóspede. É realmente um ponto a se destacar no atendimento. A equipe do restaurante e da recepção estão de parabéns. Recomendo, e com certeza voltarei."
ago. de 2022,5,Melhor Hotel,"Hotel além das minhas expectativas em relação alimentação, atendimento,cómodos,elevadores a forma de receber os hospedes quando precisamos sair logo pergunta se vai querer solicitar transporte funcionários bem preparados profissionais bem capacitados."
ago. de 2022,5,congresso,"fiz uma boa viagem a Brasilia para conferenciar no congresso Brasileiro de angiologia e cirurgia vascular, por tanto não tive tempo para passear. Porem, gostei do pouco que pude apreciar de Brasilia. Não quando voltarei."
ago. de 2022,5,Ótima.,"Tudo Excelente. Os quartos são bastante confortáveis, o restaurante possui uma comida ótima, próximo de shopping, o atendente foi excelente também. Somente a academia pode melhorar um pouquinho e os elevadores com um pouco de tranco quando pára. Maia no geral hotel ótimo."
ago. de 2022,5,Vindo a Brasília não deixe de cogitar ficar nesse hotel. Recomendo.,"Segunda vez me hospedando nesse hotel. Dois pernoites , no entanto pude desfrutar das instalações e amenidades. Excelente localização com pessoal bem atencioso e agil. Check in e check out são rápidos. Não utilizei garagem ou serviço de manobristas, mas pude notar que existe estacionamento terceirizado. Estão em obras para instalação de mais um elevador , o que não atrapalhou em nada a estadia.  Café da manhã excelente. Recomendo!"
ago. de 2022,5,"Muito bom, vou voltar.","Agradecimento ao recepcionista Samuel e a TODA a equipe da recepção, limpeza e restaurante. Adorei o atendimento e a localização. Fiquei em andar baixo e ouvia um barulho de exaustor que me incomodou bastante. Na próxima vez vou solicitar andar alto. Tirando isso, foi tudo ótimo. Café da manhã delicioso também. Parabéns."
ago. de 2022,5,"Excelente, tudo de bom!","Excelente, tudo de bom! Ótimo atendimento dos funcionários, café da manhã delicioso e abundante, limpo e organizado, aliás excelente toaletes com banheira, mas o que foi bom é que tudo funciona. Recomendo a todos."
ago. de 2022,3,Durma com um barulho desses.,"O hotel está em obras e o barulho é insuportável. Para quem gosta de acordar um pouco mais tarde, é impossível. Eles começam a barulhada bem cedo. Detalhe: esse fato em nenhum momento é avisado ao hóspede."
ago. de 2022,5,Qualidade Windsor aza Brasília,"Hospedagem de alta qualidade. Outras anteriores ele foi recomendado e a qualidade sempre em alto grau. Bom atendimento em todos os sentidos. Acomodação impecável, dentro do padrão necessário. Indico com certeza a outros interessados"
ago. de 2022,5,Uma fuga da rotina! rs,"Foi uma estadia bastante agradável. Funcionários educados e prestativos. Informamos que seria aniversário do meu filho e levaram um bolinho no quarto. Ele ficou muito feliz.  Café da manhã excelente.  Embora o site avise que o elevador está em obras não afetou em nada a estadia, sem barulhos ou incômodos.  Para dormir melhor foi necessário pedir travesseiro extra. pedido prontamente atendido."
ago. de 2022,5,Hospedagem em viagem a trabalho,"Hotel muito bom! Excelente atendimento, pessoal da recepção super atenciosos e ageis, acomodações perfeitas ( Cama enorme, banheiro com banheira). Café da manhã melhor que de resort. Superou as expectativas"
ago. de 2022,5,hotel excelente,"Estive no hotel por dois dias, colaboradores da recepção acolhem muito bem.  Tive a oportunidade de conhecer o restaurante, pratos com qualidade.  Acomodações excelentes, boa localização.  Serviços de limpeza de excelência"
ago. de 2022,2,Não recomendo,"Não gostei do hotel. Ele aparece como 5 estrelas, mas não é. Extremamente barulhento, acordávamos várias vezes durante a noite. Esqueceram de colocar toalhas no banheiro. Pedi pratos e talheres para comer uma pizza e me cobraram por isso, estranhei pois isso nunca aconteceu comigo. O café era bom, nada especial (e a mesma coisa todos os dias)"
ago. de 2022,5,Padrão 5 estrelas,"Quarto ótimo, localização boa e café da manhã excepcional.  Tudo muito limpou, organizado e funcionários educados. A estrutura funciona bem.  Única ruim, foi a sauna que estava em reforma, não sei se existe ainda algum decreto em Brasília proibido, mas no site não informava, igual de outros hotéis.  Piscina embora aquecida não era o suficiente para quebrar o frio, aquecimento muito fraco, deve ser somente para quebrar o gelo em dias mais quentes."
ago. de 2022,5,Fantastico,"Tive uma experiencia maravilhosa no hotel. Houve somente um probleminha na minha reserva que rapidamente foi resolvido. A localização do hotel é muito estratégica por fica pertinho de shopping, das principais atrações turísticas da cidade. O cafe da manha é incrivel e muito diferenciado de outros hoteis por onde passei."
ago. de 2022,5,Tranquilidade,Tudo perfeito! Muito bem atendida! Recepção extremamente gentil e atenciosa! Serviço de quarto perfeito! Os garçons do café da manhã e do almoço já nos conhecíam pelo no me e pelo grupo! Serviço de excelência!
ago. de 2022,4,MUITO BOM,"Minha estadia foi muito boa, com exceção de dois tópicos: na primeira noite o ar condicionado não estava gelando bem, disseram que iam consertar, porem no dia seguinte estava do mesmo jeito; o hotel dispõe somente de 02 elevadores, o que acarretava muita espera nos horários de picos."
ago. de 2022,4,"Boa equipe, mas necessita ser renovado","O destaque positivo do hotel é a equipe cordial e solicita. As instalações, porém, precisam de uma renovação. O quarto tem um barulho ressoante e a roupa de cama não é adequada para a qualidade do hotel. Academia é mínima e só tem esteiras."
