Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Curta estadia,"Chegamos dia 2 de Novembro, eu e minha mãe, de passagem por Brasília afim de passar apenas um dia e pegar avião no seguinte. Desde o momento em que chegamos os funcionários foram maravilhosos: super prestativos e agradáveis. Falamos mais com o Matheus e ele resolvia muito as coisas as quais precisávamos. Ótimo café da manhã, o quarto muito confortável e limpo além do prédio da rede ser muito bem localizado perto de shopping, supermercado, metrô, rodoviária e a um curto trajeto do aeroporto de carro."
out. de 2022,5,Café da manhã e quarto confortável,"Tive uma estadia rápida de 2 noites, foi tudo excelente, o local é super limpo, arejado, os funcionários são prestativos e educados, a piscina é excelente, o banheiro é pequeno porém confortável.  Única ressalva é a iluminação do quarto que achei muito escura, mas isso não altera em nada a experiência positiva.."
out. de 2022,5,Passeio em família.,"Ótimo atendimento!  Assim que chegamos fomos muito bem atendidos pela Laila, a qual foi muito prestativa e atenciosa e organizou uma excelente acomodação para nós.  Tem também um café da manhã muito bem servido."
set. de 2022,5,Uma linda e surpreendente hospedagem!,"O Hotel é muito organizado e conta com profissionais competentes e que praticam a empatia com os hospedes, atentos a suas principais necessidades e possibilidades. Parabéns aos profissionais MATHEUS e VITOR, que com muita sensibilidade, colaboraram comigo quando precisei fazer um video de homenagem a uma irmã, alem das atribuições específicas. Parabéns aos profissionais LAILA e THIAGO, que com sensibilidade entenderam a necessidade de colocar um familiar com necessidades especiais, em um apartamento próximo ao elevador. Recomendo a hospedagem no Quality Hotel Brasília! Quero voltar sempre!"
ago. de 2022,5,Excelente hotel,"Excelente opção! Quarto espaçoso e bem conservado! Cama confortável, roupas de cama e toalhas em ótimo estado. Ducha boa e banheiro espaçoso. Café da manhã muito bem servido, com várias opções. O atendimento é cordial, especialmente no restaurante. As opções de jantar possuem preços de hotel.."
ago. de 2022,5,Muito bom,"A estrutura, acomodação e localização do hotel são muito boas. Um agradecimento especial ao Vitor Saraiva que nos atendeu muito bem e foi muito gentil se preocupando em nos ajudar no que fosse preciso para que tivéssemos a melhor experiência possível."
ago. de 2022,5,Quality Hotel Brasília,"Hotel agradável, ótimo café da manhã, instalações confortáveis, bom atendimento. O único contratempo foi a ausência de sinal de Wi-Fi durante toda uma manhã. Fato que deve ser observado e evitado. Os preços são compatíveis com os serviços oferecidos."
jul. de 2022,3,"Hotel razoável, mas com pós vendas pessimo.","Me hospedei 5 dias no hotel, localização não é boa, fica próximo de um shopping, mas a avenida que precisa atrevas ar é muito perigosa e não possui pontos de travessia seguras, proxima ao hotel, check in ok, elevadores do estacionamento não possuem ligação direto com o hotel, temos que pegar o elevador no hotel ao lado, atravessar a recepção do outro hotel e pegar o elevador do hotel quality, quarto bom e espaçoso, área lazer muito boa, café da manha tem uma pessoa que fica ao lado de onde é servido o café, ele todos os dias me perguntava 3 vezes qual era meu quarto e meu nome (qual a dificuldade de colocar uma pessoa na porta do restaurante?), café bom. Mas meu check-in até hoje está pendente, hotel não gera nota fiscal para empresa, estou a 13 dias implorando por uma nota, cansei de ligar e mandar mensagem e nada. como pode um hotel não emitir nota fiscal para empresa? como pode não dar nenhum retorno para um hospede? simplesmente não respondem mais e terei que buscar outra forma de conseguir minha nota, inacreditável."
jul. de 2022,5,Brasilia,"Muito bom 😊 atendimento do pessoal, banheiro e quarto limpo, cama. Sugestão de mais canais na televisão, café da manhã excelente com várias opções. Não utilizamos academia e nem o restaurante para almoçar e jantar!"
jun. de 2022,5,Hotel confortável com ótimas suítes,"Hotel bem organizado, bom atendimento, equipe pronta a atender e muito educada. Comida saborosa e café da manhã completo. Ótima localização. Limpeza e organização muito bons também. Locall silencioso durante a noite"
jun. de 2022,5,Para pessoas de bom gosto!,"ótima localização, agradável, bom atendimento, comida ótima com amplo menu e com preços realmente justos. Limpeza geral do prédio e também do apartamento excelentes, enfim... correspondeu totalmente ao que eu esperava!!"
jun. de 2022,5,Excelente,"Excelente hotel, inserido num complexo de escritórios, localizado em frente do Park Shopping e do lado da Rodoviária Interestadual e da Estação do Metrô. Acesso rápido ao Aeroporto internacional de Brasília"
jun. de 2022,1,Não compensa de jeito algum,"Fiquei muito decepcionado. Apenas não comentei nada pq estava acompanhado e não quis causar alarde. Mas achei muito incoerente com a proposta colocada no site de reservas. O quarto estava sujo, com ar condicionado velho e sujo, preto em cima. Banheiro encardido de bolor. Cabeceira da cama toda descascada. Bem feio. Telefone do quarto não funcionava. Tentaram mesmo fazendo prolongamento da reserva via WhatsApp tentaram entrar no meu quarto duas vezes  pq não conseguiram falar comigo pelo telefone (pq estava estragado), mas ja estava tudo acertado. Isso mostra falta de comunicação da equipe. Outra coisa que dá pr a ouvir conversas do quarto ao lado - acústica ruim. Não vale o valor da reserva. Nesse valor recomendo pra ninguém."
jun. de 2022,5,Excelente,"Otimo Hotel, atendimento muito bom , quartos sensacional. Otimo café da manha!!! Localização boa. super recomendo.  Fiquei quase 60 dias hospedado no Hotel, muito bom!!!  Parabéns!!! Funcionários bem atenciosos."
mai. de 2022,5,Exelente,"Um ótimo atendimento , muito conforto .Ao sair o atendente Mateus foi muito solícito e prestativo .  Quartos aconchegantes é um excelente café da manhã. Muita higiene em todo espaço . E o jardim muito lindo ."
mai. de 2022,4,Conexao,"O atendimento é muito amigável e professional. Eu estava chateada por ter perdido a conexão e tive que dormir em Brasília. Porém, de início, o Mateus logo lembrou da última vez que estive no hotel, o Claudemir foi rápido em me ajudar com o check out e a Letícia fez meu check in rapidamente, pois eu disse que esteva exausta.  O hotel é limpo, tem segurança na porta e fica bem próximo a um ótimo shopping center.  Quanto ao shuttle, eles não pegam os hóspedes no aeroporto. Só levam para o aeroporto de uma em uma hora. Não é o que diz no site."
