Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Viagem histórica,"Tranquilo ambiente com atendimento agradável, árvores centenárias, um verdadeiro passeio no passado de Brasília ao lado do Palácio da Alvorada as margens do lago Paranoá. Limpeza, organização e restaurante com ótimo serviço, academia e passeio de bicicleta, ótimo espaço para andar e sossegar."
out. de 2022,5,Top,"Maravilhoso. Muito top. Amamos. Encantador. Incrível. O restaurante muito top Oscar N. Valeu a pena. Gostamos muito. Quem vem a Brasília precisa ir lá. Imperdível. Top top. Vá e comprove . Representa bem Brasília. Brasília, te amamos 🥰🥰🥰😍"
ago. de 2022,1,Não vale o valor,"A arquitetura do hotel é incrível. Porém várias pontos que deixam a desejar no hotel: - Atendimento: ruim, equipe super despreparada sem total conhecimento no assunto abordado. - Quartos: Fiquei na categoria superior: as paredes do box com mofo e a água do chuveiro não esquenta (ficava no máximo quase morna), o vaso sanitário estava VAZANDO, muito nojento, a televisão é LCD antiga, não é smartTv, a porta da varanda com rachaduras e o papel de parede com rachaduras também. - Café da manhã: pouquíssimas opções pelo valor cobrado. - Retaurante: restaurante é fechado no domingo na hora do jantar, não faz o menor sentido, única opção é room service, pois não está localizado próximo à restaurantes. É um hotel OK, mas pelo preço não compensa."
jul. de 2022,5,Turismo,Me hospedei com meu pet e fiquei muito satisfeita tanto com as instalações e limpeza quanto com o carinho com que minha cachorrinha foi tratada. O café da manhã tbem achei ótimo. Localização excelente.
jun. de 2022,2,Não vale o investimento!,"O hotel é bonito, afinal, foi projetado por Niemeyer, mas é um hotel que parou no tempo. A televisão do quarto não é SmartTv, é uma LCD velha. O chuveiro é horrível, antigo, daquele tipo que sai água para todos os lados. Impossível tomar banho sem molhar o cabelo, a não ser que use touca. A água do chuveiro não esquenta, fica morna o tempo todo. Me hospedei no dia dos namorados e o hotel estava lotado, a energia acabou por motivo de queda do disjuntor. O café da manhã é super fraco, pouquíssimas opções. Por fim, colocaram grade nas margens do Lago, dando uma sensação de prisão e tirando o glamour que tinha. De modo geral, ele é bonito, mas não vale mesmo o investimento. Tem hotéis bem melhores em Brasília com valores iguais ou menores."
mai. de 2022,5,Incrível,"O Brasília Palace é o hotel que dispõe da referência quando se fala de atendimento. Todos os funcionários são gentis e prestativos durante todo o processo de check-in ao check-out. O recepcionista Ismael é um querido e super atencioso com todos, ele buscou nos hospedar no melhor quarto de acordo com nossas preferências. O hotel foi projetado pelo Oscar Niemeyer e isso fica tão claro dentro e fora do hotel. A estrutura do hotel é como se hospedar dentro de um sonho. O hotel disponibiliza de bikes para os hospedes usarem durante duas horas e de forma gratuita. O gramado é impecável, agradável e louvável. Referência de como um hotel deve funcionar. Show!"
abr. de 2022,3,Grades na beira do lago,"O hotel é maravilhoso, já me hospedei várias vezes e pode ser que ainda volte. Minha crítica fica para as grades que colocaram na beira do lago, alem de impedir as capivaras que eram praticamente uma atração do hotel - sempre vi vários hóspedes encantados com a presença delas, alem de mim, claro - agora as grades dão uma impressão de prisão em um lugar que era pra contemplar a paisagem. Outra coisa foi o gramado que estava muito mal cuidado e ruim para pisar (coisa que não ficava quando as capivaras iam ao local, pois se alimentavam dos matos em excesso).  Ah, as duas máquinas de café do café da manhã estavam quebradas no dia, espero que arrumem o quanto antes."
dez. de 2021,3,"Muito pra ser bom, mas alguns detalhes….","Pontos altos:  - arquitetura  - quartos amplos e confortáveis  - localização muito boa, perto da lagoa  - banheiro bom  - limpeza em geral  - qualidade do café da manhã (excelente)  - amenities loccitane    Pontos fracos  - lençóis cheirando a suor. Estava tão exausta que não tive força pra pedir pra trocar;  - distância entre elevador e quartos…. Há alguns que se anda muito! Observe isso quando reservar!  - distância do restaurante. Anda-se muito!    No mais, uma boa opção custo benefício!  Mas essa da roupa de cama, fiquei bem chateada!!!"
nov. de 2021,1,Ignoram ligações dos hospedes,"Serviço de quarto e recepção não atendem ligações feitas pelo hóspede do quarto. Ignoram as chamadas. Foi preciso pedir o almoço por IFood, inadmissível para um serviço de hotelaria. Não se hospede, pois não há opções de alimentação próximas."
mai. de 2021,5,Excelente,"Além de ser uma obra emblemática da capital e carregar consigo muuuuuita história, é nota 10 desde a recepção passando por todos os serviços oferecidos. Quartos e banheiros amplos, bem decorados e impecáveis em todos os sentidos. Café da manhã ótimo e muito bem atendido. Um salve especial ao Wenderson que foi incansável em tornar o nosso check out memorável. É muito bom ver um hotel tão alinhado no foco de bem atender os seus hóspedes mesmo quando o momento não é favorável. Parabéns a toda equipe, vocês são o tipo de pessoas que fazem um hóspede querer voltar !!!!"
fev. de 2021,5,História pura com muito conforto e estilo,"hotel maravilhoso com linda vista para o Lago Paranoá. Quartos limpissimos e confortáveis, cama e roupas de cama cheirosos, um luxo! Amenities L'occitane, restaurante Oscar - lindíssimo. Decoração retrô primorosa."
nov. de 2020,5,Hotel cara de Brasilia,"Hotel confortável, serviço bom, lugar incrível. uma viagem na historia da cidade, do cerrado e do que Brasilia oferece as pessoas. Uma viagem na historia da cidade e de seus espaços. vale demais a experiencia!"
nov. de 2020,5,Melhor opção sempre,"Já perdi as contas de quantas vezes me hospedei no Brasília Palace. Considero tudo impecável: atendimento, ambiente, café da manhã, restaurante... Sem falar na arquitetura, no mobiliário, nos paineis de athos bulcão e no paisagismo. O hotel é confortável e minimalista na medida!"
nov. de 2020,3,Somente pela arquitetura,"Hotel lindo, arquitetura linda porém fica nisso. Chuveiro ok. Café da manhã lamentável. Café frio. Não tem manteiga. Somente margarina. Nunca vi isso na minha vida. Tão ruim que no segundo dia nem perdi meu tempo. Piscina bem sem graça sem serviço."
out. de 2020,3,precisa reformar,"O hotel é histórico ! Foi o primeiro prédio a funcionar em Brasilia ( 1958) , dois anos antes da capital ser inaugurada. Todos os funcionários do alto escalão envolvidos na construção da nova capital , ficavam lá para conferir o andamento das construções. Daí a importância que este prédio representou para a cidade. Presidentes de diversos países já se hospedaram lá. O hotel sofreu um incêndio em 1978 e abriu somente após uma grande reforma em 2006. A area comum é dez , principalmente o restaurante Oscar e a piscina. Hospedei-me por 4 dias em 28/09/2020 no quarto número 250. O quarto está um tanto deteriorado , precisa de um complemento ( quadros , poltrona e cortinas mais volumosas.....) na realidade falta um toque de decorador........o banheiro precisa ser reformado. Manchas de bolor nos ladrilhos , pia pequena , box do chuveiro todo manchado e para piorar...........muito escuro. A parede do terraço é de madeira , e está completamente podre pelo lado externo, consequentemente a porta não fecha corretamente.........passa luz e vento o tempo inteiro. É uma lástima que um hotel histórico e com uma área comum tão bonita , não invista na area íntima."
