Data da opinião,Nota,Título,Conteúdo
7 de dez.,4,Excelente localização. Bom custo benefício.,"Hotel muito bom. Quartos limpos e muito espaçosos. O quarto com duas camas de solteiro é maior que o quarto com uma cama de casal. O quarto tem TV, internet, ar condicionado, geladeira, uma pia, bons armários, maleiro, mesa de escritório, poltrona... O hotel tem uma excelente localização, perto da explanada dos ministérios e a poucos metros do Brasília Shopping. Da portaria do hotel você consegue ver a portaria do shopping. Dá para ir a pé, para almoçar ou jantar no shopping, que possui uma boa praça de alimentação e também diversas outras lojas. Garagem cobrada a parte, mas com um excelente valor (preço simbólico por dia).    Pontos negativos:  a) Os funcionários não são nem um pouco simpáticos, Não parecem muito interessados em servir, parecendo desinteressados com os hóspedes e com o serviço. A única exceção foi um senhor que parecia ser uma espécie de gerente ou diretor (interessado, disposto a servir, interessado, dedicado).  b) Café da manhã fraco, com poucas opções e em restaurante pequeno. Depois que um hóspede termina sua refeição, os funcionários demoram a retirar os talheres e limpar as mesas para que outros hóspedes possam se sentar. Para poder usar a mesa, geralmente são os próprios hóspedes que retiram as coisas que os outros deixaram.  c) Outro ponto negativo é o barulho nos quartos. Se alguém estiver tomando banho no quarto ao lado, você com certeza vai ouvir, pois as paredes de dry wall (gesso) não isolam este som. Mas em geral, o baralho não atrapalha."
jun. de 2022,5,Excelente hotel,"Excelente hotel. Acomodações muito confortáveis. Decoração e higiene do quarto nota 10. A localização do hotel facilita bastante para quem deseja fazer alguma coisa no Plano Piloto. Além disso, tem o Brasília Shopping, que dá para ir caminhando. Recomendo o hotel."
nov. de 2022,3,Necessita de cuidados,"Hotel muito bem localizado, bom café da manhã, atendentes educados .  O restaurante poderia ter uma música ambiente.  O box vazava muita água, alagando o banheiro. A cama foi a pior que já dormi ... Fazia barulho , além de o protetor do colchão ser de plástico e tbm fazer muuuuito barulho .  Simplesmente duas noites mal dormidas !"
ago. de 2022,4,Local muito bom,"Hotel BB - Bom e barato. Localização ótima, com excelente acomodação e café da manhã muito bons. Para quem quer ficar num local central da cidade, para viagens rápidas, sem grande luxos, este é o lugar"
jul. de 2022,3,"Bom hotel, mas pode melhorar.","Hotel muito bem localizado, a poucos metros dos shoppings Brasília e ID. Quarto amplo com pequena cozinha. Bons armários para uma pessoa. Dois suportes para malas e boa quantidade de cabides. A mesa de trabalho tinha um bom tamanho e tinha rodinhas que permitiam deslocá-la para sobre a cama (muito bem planejado, neste ponto). A televisão era boa, e a cama, confortável.    A iluminação do espaço de trabalho deixa a desejar, pois não há luz direta sobre a mesa. Podia, porém, ser deslocada, como referido nos pontos positivos. O café-da-manhã não era muito variado, e a qualidade dos produtos era mediana. Além disso, o espaço para café-da-manhã (tanto a área do buffet quanto o espaço para refeições) é pequeno e, em horários mais frequentados, fica muito cheio. O mesmo vale para a academia."
jul. de 2022,5,Satisfação,"Excelente localização; acredito que, na minha visão, faltou um pouco mais de conhecimento/experiência da parte dos atendentes do restaurante sobre a carta de vinhos e sobre o modo de abrir uma garrafas de vinho."
jul. de 2022,4,Bom custo x beneficio,"Em geral, gostei bastante do hotel e da localização, os funcionários são muito educados e solícitos. Só uma sugestão : café da manhã deveria ter mais opções salgadas e os sucos não são bons(artificiais)."
jun. de 2022,4,Bom!,"Quarto bem confortável, com boa iluminação. Bom café da manhã - porém faltam mais opções veganas. Banheiro pouco acessível - box apertado. Boa localização - próximo a shopping. Equipe atenciosa. Cama confortável."
jun. de 2022,4,Boa experiência,O atendimento e as instalações (quarto) são muito bons. A limpeza pode melhorar um pouco. Mas o que mais deixou a desejar foi o café da manhã. Pode melhorar bastante. Não condiz com a qualidade do hotel.
jun. de 2022,5,Excelente estadia.,"Otimo atendimento, café da manhã maravilhoso, localização ótima, estrutura do hotel absurdamente boa. Ao atravessar a rua tem um shopping, área bem iluminada e próximo de tudo. Recomendo a estadia. O atendimento é ótimo!"
jun. de 2022,4,Só falta ter papel higiênico normal no banheiro,Deveria ter papel higiênico normal no banheiro. Aquele dispenser de lencinhos é péssimo. Se vc der um cagadao forte não vai conseguir se limpar direito. Eu tive que levar me próprio papel higiênico!!!
jun. de 2022,5,Hotel com ótimo custo benefício,Excelente localização. Muito próximo do Shopping Brasília e do Estádio Mané Garrincha. O atendimento dos funcionários da recepção também foi muito bom. Café da manhã farto e com muitas opções. Quarto amplo e limpeza impecável.
jun. de 2022,5,A melhor opção no centro da cidade,"O hotel está novinho, a cama é super confortável, a TV Smart é um diferencial super bacana. O café tem bastante variedade e a equipe é super simpática em todos os momentos! Adorei e pretendo voltar outras vezes."
jun. de 2022,5,Delicia de estada,"Muito satisfeita com o hotel, cordialidade, atenção, recepção, café da manha, limpeza e as acomodações. Indico fortemente para que as pessoas façam essa experiência. Já estive nesse hotel em outras oportunidades e se possível me hospedarei em outras viagens que fizer a Brasília."
jun. de 2022,5,CONFORTÁVEL E BEM LOCALIZADO,"Muito bom. Bem localizado, seguro, limpo, bem frequentado, quartos confortáveis, bom café da manhã. Equipes atenciosas, prestativas e cordiais.Tenho me hospedado com frequência sempre que vou à Bras[ília."
jun. de 2022,4,Boa localização e quarto confortável.,"Gostei do hotel, mas não dou 5 estrelas por conta do café da manhã. Deixa muito a desejar. Espaço pequeno, pouca variedade e itens com qualidade média/baixa. O quarto do hotel é confortável e bem espaçoso."
