Data da opinião,Nota,Título,Conteúdo
nov. de 2022,4,Bom hotel,"Bom hotel e com ótima localização, muito próximo de uma das artérias da cidade, o que facilita muito. Mas poderia ser melhor pela tarifa que pratica. Achei alguns atenderes da recepção meio rudes, coisa que estranhei. Serviço de quarto atencioso. Café da manhã bom. Me hospedaria novamente ."
mar. de 2022,5,Excelente opção em Belém,"Fomos muito bem recepcionados, quarto extremamente espaçoso, cama muito confortável, café excelente, boa localização.  Poderia melhorar a qualidade da imagem da TV ( CABO).  Cuidados com a pandemia. Exigência de comprovante de vacina."
nov. de 2022,3,ESPEREVA MAIS PELO VALOR COBRADO,"Hotel precisa de reparos. Móveis em mdf estão trufados no banheiro. O ralo do chuveiro não dá conta da vazão de água. Limpeza dos vidros dos quartos parece não serem limpos a bastante tempo.  Em caso de pedir comida fora, cobram 5 reais para fornecer um prato.  Infiltrações visíveis nos quartos de frente para a rua principal."
set. de 2022,1,Muito Ruim,"Hotel decadente. Nos colocaram na acomodação 103. Esse quarto fica na área das máquinas de ar condicionado, com barulho ensurdecedor além de ter odor de mofo e um visual da janela que não condiz com o padrão que se propõe. Essa acomodação nestas condições nem deveria estar no pool de disponibilidade do hotel!!!! Não havia outra acomodação disponível, segundo a recepção, então fui embora para outro hotel! Há outro hotel há 1 quadra, da rede Accor que é muitoooo melhor!!!!!!"
set. de 2022,4,Hospedagem de muito bom nível no coração de Belém,"Hotel muito bem localizado, em área nobre, próximo a restaurantes, shoppings e pontos turísticos da cidade. Instalações limpas, muito bem higienizadas e com vista privilegiada da cidade. Muito bom café da manhã, piscina na cobertura, com vista de toda a cidade. É uma excelente opção"
ago. de 2022,2,Atendimento péssimo ao cliente,"Me hospedo no Radisson a trabalho com alguma frequência e o hotel é bom, mas o atendimento é péssimo. Um ou outro atendente da recepção é educado, mas não é regra e sempre tenho problemas no check out.    Eu preciso da nota fiscal para fazer relatório de reembolso de despesas da empresa e NUNCA recebo a nota no check out. Eles SEMPRE conferem meu email e dizem que vão enviar, mas NUNCA enviam. E para conseguir a nota é um parto, tenho que ligar uma, duas, três vezes, falar com pessoas diferentes, até achar alguém com boa vontade de resolver. Não entendo como algo tão simples é transformado em um problema tão grande. TODOS os outros hotéis que me hospedo no país todo fornecem a nota na saída e eles não. Algo que é um direito meu receber, eu tenho que ficar implorando e ainda me complica, pois sempre que retorno de Belém entrego o relatório de despesas atrasado por conta disso. Péssimo atendimento ao cliente!"
ago. de 2022,5,Boa opção em Belém!,"O hotel tem uma ótima localização, próximo dos pontos turísticos. O quarto é grande, cama e ducha excelentes. Piscina e academia ótimas. Café da manhã muito bom! O restaurante do hotel também é excelente o peixe com crosta de castanha e risoto de jambu é maravilhoso."
ago. de 2022,5,Excelente hotel em Belém.,"Visito Belém uma vez por mês, dessa vez me hospedei no Radisson, e afirmo que é o MELHOR HOTEL DA CIDADE SEM Dúvida ALGUMA. Hotel 100% novo, quarto espaçoso e muito limpo, água e café de cortesia no apartamento, boa ducha pra banho, preços bons no restaurante e no frigobar. Área de lazer acima do padrão. Funcionários excelentes, destaque para o Senhor Manoel na recepção, que atendeu de forma brilhante as solicitações de Room Services que eu precisei.  Tive apenas uma dificuldade com o aparelho de ar condicionado, que do meu quarto fazia um barulho bem acentuado, mas não chegou a ser desconfortável.    Recomendo muito. É repito, melhor hotel da cidade. Parabéns ao Radisson Belém."
jul. de 2022,1,"Depois anos, fiquei decepcionado..","Sempre procuro me hospedar na rede por onde viajo. Ja fiquei em recife, sao paulo e algumas vezes na unidade de Belém. Todas anteriores nada a reclamar. Porem nessa de hoje estou muito decepcionado.  Quartos com chão sujo, paredes sujas, forró do banheiro com formo, moveis todos com avarias, porta do box nao fechava, tv a cabo saindo do ar a todo momento. Nao sei se é somente no quarto que me hospedei dessa vez (ap 606) mais creio que não, pois em outras oportunidades não tive nenhum problema como os de agora.  Pra completar após o uso do vaso sanitário, o mesmo esta com um barulho muito chato e ainda tem um vazamento. Toalhas estão super desgastadas e encardidas. Vejo que administração deixa muito a desejar com relação a manutenções da estrutura e no conforto que sempre o carro chefe do hotel. Espero que melhorem, pois sempre gostei de me hospedar aqui e não quero deixar de ser cliente."
jun. de 2022,4,Avaliação Radisson Belem,"Ótima estrutura e atendimento desde o check in ao check out, único problema identificado é em relação ao sistema de TV instalado (poucas opções de canais e todos ainda com imagem analógica com problemas na transmissão)"
jun. de 2022,5,Excelente localização e ambiente,Hotel bem conservado e com quarto bastante confortável. Na minha opinião é o melhor de Belém do Pará. Como fiquei somente uma noite pois era uma viagem de negócios não tive a oportunidade de utilizar a área de lazer e academia. Mas o café da manhã e o quarto são pontos fortes.
jun. de 2022,5,Ótima,"Excelente estadia, poderia acrescentar tapioca de farinha de mandioca, feita na hora, no café da manhã. Diversificar o frigobar, só tinha água. Excelente localização. Atendimento na recepção muito bom. Pessoal do bar/restaurante muito atencioso."
jun. de 2022,4,Gostei mas pode melhorar!,"Super bem localizado, as melhorias necessárias (internet, falta de secador de cabelos no quarto). Um problema que não é responsabilidade do hotel foi o barulho durante a noite em bares próximos ao hotel, com mudica muito alta a noite toda."
