Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Equipe atenciosa.,"Meu agradecimento ao Matheus, que trabalha na parte do restaurante e é um cara muito atencioso e prestativo. Hotel bem localizado, próximo à farmácias, restaurantes, mercados entre outras facilidades. Parabéns pela equipe e o empenho."
nov. de 2022,5,A trabalho!,"Maravilhosos pratos, atendimento da recepção e dos garçons ótimos. A garçonete Evelyn é muito atenciosa e simpática. O pizzaiolo Daniel é excepcional. Grata ao hotel... O pessoal da limpeza são muito prestativos."
nov. de 2022,5,.,"Hotel muito bom, mas com algumas coisas q deixaram a desejar, melhor atendimento foi o do restaurante, os atendentes Evylin, Thayná, Felipe são muito atenciosos e prestativos, gostei bastante do atendimento deles."
out. de 2022,5,Parabenizar a excelência do bom atendimento da rede.,"Toda equipe Sleep Inn é maravilhosa! Sempre com sorriso no rosto, um bom atendimento, sem falar da educação e em especial a Gerente Júlia que sempre demonstra muita competência, atenciosa, simpática."
set. de 2022,4,Bom mas podia ser melhor,PONTOS POSITIVOS Quarto bom; cama boa Atendimento rápido Manutenção Ar Condicionado * e TI* Lixo para reciclável no quarto Atendimento recepção ** Quarto sem ruído como pedido Ducha do chuveiro muito boa PONTOS NEGATIVOS Os problemas assinalados com * não existiriam com Manutenção Preventiva e Proativa (inspeções) ** por várias vezes a recepção não atendeu chamada de meu quarto Café não condizente com a proposta (boa) do hotel: Melão só teve um dia dos quatro Sucos em geral não convencionais (tangerina no lugar de laranja e mais um não usual) Cumbuca para aveia + granola + suco minúscula tinha que pegar 2 Alguns dias faltou queijo branco Ninguém para responder pelo hotel além do indefectível controle de quarto
set. de 2022,5,Recomendo!,"Melhor lugar do mundo, sempre que viajo é a minha única opção! Colaboradores solicitos e educados. Quarto cheiroso e um excelente café da manhã! Academia para fazer meus exercícios, muito bem equipada!"
set. de 2022,5,Recomendadíssimo!,"Estadia maravilhosa, recepção muito solicita. Quarto cheiroso, comida muito boa! Amamos a nossa experiência, pretendemos voltar mais vezes. Atendimento excelente! Indico de olhos fechados, superou nossas expectativas"
set. de 2022,1,Péssimo!,"Péssimo atendimento!  Recepcionista não nos deu nem boa noite, pedimos quarto para casal, disse que estava cheio o hotel, com cara de deboche. Quando questionei ele que no Booking.com havia quarto disponível, ele simplesmente disse “tenta”  Fazer a reserva se conseguir eu acato.  Não vale a visita.  Fiquem no Sheraton, maravilhoso! Atendimento de primeira!"
set. de 2022,5,Restaurante,"Excelente atendimento, em especial, da Thainá.    A comida é saborosa e foi preparada rapidamente.    Os funcionários são prestativos, objetivos e muito profissionais.    Uma experiência muito agradável. Certamente, retornarei."
ago. de 2022,5,Recomendo,"Estadia maravilhosa, recepção muito solicita. Quarto cheiroso, comida muito boa! Amamos a nossa experiência, pretendemos voltar mais vezes. Atendimento excelente! Indico de olhos fechados, superou nossas expectativas"
ago. de 2022,5,agradecimento sleep in,"O hotel tem uma ótima localização na cidade de Vitória, próximo a bares, supermercado e casas de festas boas. Queria agradecer a Júlia de reservas e toda a equipe muito atenciosa e prestativa do hotel!"
ago. de 2022,5,Equipe nota 10,"Experiência muito boa desde o início, as meninas que me atenderam e fizeram minha reserva foram muito solicitas e fizeram minha hospedagem ser memorável.  A cidade é linda, o hotel fica perto de tudo, muitos bares, restaurantes e praias muito bonitas.  Adorei e voltarei em breve"
ago. de 2022,1,Pior experiência de hospedagem que já tive na vida!,"Minha experiência de hospedagem no hotel Sleep Inn Vitoria foi a pior de todas da minha vida, desde o check in no dia 01 de agosto de 2022 ao check out no dia 06 de agosto. Semana em que estava em Vitória a trabalho.  Todos os meses passo uma semana a trabalho em Vitória/ES.  Cheguei a Vitoria no dia 01 e fui direto para o trabalho. Terminado o expediente, por volta das 19 horas, me dirigi ao hotel. Cansada, pois havia saído de casa às 4 da manhã, passei por longa viagem com escala e trabalhado o dia todo. Pra minha tristeza e desespero o quarto não estava pronto quando cheguei ao hotel, e levou quase meia hora pra ser liberado.  Ninguém da equipe de atendimento me perguntou se eu precisava de algo, se tinha fome ou sede, nada, só me orientaram a sentar e esperar.  No dia 02 solicitei um caldo verde pelo room service. Que horror! Foi servido um líquido ralo, sem tempero, terrível! Consegui comer só as torradas. Tudo que consumi de alimento no hotel muito ruim o gosto!  Mas a pior de todas foi o check out na madrugada do dia 06.  Como eu sairia às 4 da manhã para o aeroporto, na noite anterior, liguei para a recepção e expliquei sobre o horário e que eu precisaria que a NF de minha estadia fosse emitida no CNPJ da empresa.  A atendente da recepção me informou que nesse horário das 4 da manhã era bem tranquilo e que a NF seria emitida em até 2 dias úteis e enviada para meu e-mail. Fiquei tranquila! Mas no momento do check out, fui informar o CNPJ e a recepcionista disse exatamente assim, “iiiiiiihhhh não tem jeito não, pra emitir NF para CNPJ a senhora vai precisar enviar um monte de documento é só depois de 15 dias a NF será enviada por São Paulo”, exatamente nesses termos, totalmente despreparada. Perguntei então o que seriam os documentos, nenhuma das duas recepcionistas sabia dizer, então peguei o número do WhatsApp da recepção que elas me passaram e enviei uma mensagem para que, depois que elas verificassem a documentação, me respondam.  Havia um pequeno grupo tomando café da manhã, eu em um leve sorriso disse: que bom! Vou tomar um cafezinho antes de sair! Imediatamente a recepcionista me falou: “esse café é pra equipe da Azul”, vendo que fiquei sem graça, completou: “ah mas só um cafézinho acho que a senhora pode tomar”. Imagina isso, fiquei totalmente constrangida peguei minha mala e fui para o estacionamento pegar meu carro.  Pra finalizar tão péssimo como começou, fiquei no carro mais de 5 minutos na rampa da garagem, aguardando o porteiro aparecer pra abrir o portão e me liberar a saída. Buzinei, liguei na recepção e nada dele aparecer!  Enfim, impressão que essa equipe não tem nem liderança, nem treinamento é muito menos formação em hotelaria!"
jul. de 2022,2,Mofo,"revisar o cheiro de mofo e limpara as paredes do quarto, amtes de disponibilizar apara reserva. Cama com colchão afundado.  Café da manhã razoavel, mas pelo custo benefício não vale a pena. A experiência não foi positiva."
jul. de 2022,5,Ameiiii,"Super confortável, muitaa opção no café da manhã .. a localização perto do triângulo e de tudo que tem pra fazer na cidade e a sala de ginástica era bem completa.  As praias próximas também são boas! Adorei"
jun. de 2022,4,Hotel atende minhas necessidades.,"Estive 3 vezes neste hotel e o mesmo atendeu minhas necessidades, pois estava a trabalho. Sua excelente localização e a comida foi o que mais me agradou em minha hospedadgem, apesar de considerar um pequena queda na qualidade do atendimento, notei uma alta demanda, porém não justifica ."
jun. de 2022,4,Ótimo local!,"Ótima localização, quarto novo e espaçoso, confortável, excelente cama, chuveiro perfeito, ótimo café da manhã. Possui ferro de passar a vapor, frigobar espaçoso e bancada iluminada.  O sinal de internet é péssimo nos quartos, o cartão de acesso ao quarto desmagnetizou por 3 dias seguidos, o atendimento na recepção não foi dos melhores.  Chegue no horário ou pague meia diária pois não há possibilidade de antecipação do check-in, o hotel vive cheio."
