Data da opinião,Nota,Título,Conteúdo
out. de 2022,5,Boa localização e vista,"Estive no hotel para participar das 10 milhas da Garoto na cidade e o hotel serviu o café da manhã mais cedo para quem participar. Camas confortáveis e espaçosas e um bom chuveiro relaxante e ainda tivemos uma hora além do check-out para sair com calma.  A melhorar, só recomendo haver um quadro com instrução nos elevadores ensinando a posicionar corretamente o cartão para acionar o andar que deseja subir. Assim como eu, muitos subiam e desciam até acertar a posição correta, ainda mais se tiver hospedes em outros andares e o elevador não parar."
mar. de 2022,5,Vista Espetacular,"Gostamos bastante!  Tem estacionamento vc paga 20 reais a diária. A localização excelente, com várias opções de restaurantes e serviços em geral. Atendimento muito bom! Profissionais simpáticos e atenciosos. O quarto amplo com a cama confortável, silencioso, pegamos quarto na frente e a vista espetacular! Ficamos no décimo segundo andar! Café da manhã simples, mas atende as necessidades! Limpeza muito boa e percebemos uma atenção grande em relação ao covid! Álcool a 70% disponível em vários lugares!"
set. de 2022,5,A melhor vista de Vitória,"O hotel tem uma excelente localização, de frente a Praia do Canto e com uma vista deslumbrante da cidade e da principal ponte entre Vitória e Vila Velha. Os quartos são confortáveis, excelente cama e ducha no banheiro, se faz necessário uma reforma de atualização, o que será realizado em breve de acordo com a diretoria. O café da manhã é bem servido com produtos de qualidade, com ênfase nas omeletes, tapiocas e numa canjica de milho maravilhosa. O staff é extremamente prestativo, atencioso e gentil. A gestão está realiza um excelente trabalho de gerenciamento com um olhar especial para a manutenção e limpeza. Vale a pena."
mai. de 2022,3,Deixou muito a desejar,"A estrutura é boa e confortável, apesar de antiga. O atendimento é bom, mas nada além disso. Os cartões deixam de funcionar a todo tempo. O ponto mais decepcionante é a comida, principalmente o café da manhã, que não condiz com um hotel como o Sheraton, nem pelo preço e nem pelo posicionamento da rede como um hotel 5 estrelas. Até tem uma boa variedade, mas não é saboroso. Enfim, esperava bastante mais."
mai. de 2022,3,Hotel excelente - café decepcionante,"O hotel é excelente! Funcionários gentis, prestativos e simpáticos. Tudo muito limpo, roupas de cama e banho macias, quarto espaçoso e com uma vista maravilhosa.  Higiene ok.  O hotel receberia nota 9 em 10. Uns poucos detalhes que tirariam 1 ponto, como a torneira do banheiro que pingava sem parar, causando pequeno desperdício de água.    A observação negativa fica quanto ao café da manhã, e aí o 9 se transforma em 4.    1º ponto negativo. Café da manhã, inclusive aos sábados e Domingos somente até às 10:00    Estávamos e vitória para um casamento que aconteceu no sábado. Voltamos as 4 da manhã. Humanamente impossível acordar para um café da manhã às 10:00. Pelo menos aos finais de semana esse horário poderia estender até mais tarde.    2º ponto negativo. A buffet do café. Era até variado, mas tudo absolutamente sem gosto. Sucos, todos os sabores, aguados. Bolos, todos os sabores, com o mesmo gosto, eu melhor, sem gosto de nada. Queijo Minas sem sabor.  Omeletes ressecadas.    Excessão para a canjica, salada de fruta e a tapioca coco e banana que estavam gostosas.    O café da manhã pode e deve melhorar muito!    Fica a dica e a crítica construtiva    Oba: Fotos com vista do quarto 1606"
mar. de 2022,4,Não é um 5 estrelas,"Excelente localização. Quarto amplo. Cama confortável e bela vista. Toalhas já muito usadas precisam ser renovadas. Piscina na cobertura é pequena, assim como seu espaço ao redor. Piscina precisa receber mais limpeza, bordas sujas e água turva. Destaque para a caipirinha do funcionário da área da piscina, Luiz Quirino. Café da manhã é variado para um hotel 3, 4 estrelas, nunca para um hotel da marca Sheratn. Os bolos e pães são bem ruins."
jan. de 2022,4,Coordenação,"Boa tarde; estive por 4 dias no Sheraton Vitória: bom hotel salvo por um muito desagradável acontecimento que passo a narrar:  cheguei dia 23 de Dezembro, fiz checkin, e sai. Voltabdo em torno das 10,00, acompanhado de minha mulher tivemos a má notícia de que estava faltando luz, que parte do hotel estava às escuras( ñ se sabia informar qual), e que a luz do lobby provinha de um gerador do hotel, pasmem, ao qual nenhum dos elevadores estava ligado. Previa-se, sem nenhuma certeza, q a energia seri reestabelecida em 3 a 4 hs.  Reinava uma desencontro de informações e o gerente não apareceu em qqr momento para dar qqr informação. Exigi falar com o responsável que foi contato por tel e me ofereceu após mais q 1 hora de apagão outro hotel, que declinei e fui pousar em casa de amigos na cidade. Grave falha do gerente não estar presente nesta hora. Salvo isso hotel, como disse, muito confortável, tto que voltei no dia seguinte  att[enciosamente"
out. de 2021,4,Ótima localização,"Ótima localização. Atendimento muito bom dos funcionários do Hotel. Instalações muito boas, quarto amplo, limpo e confortável, com uma bela vista para o mar. Ótimo café da manhã. Bom bar e restaurante."
out. de 2021,4,Excelente Hotel,"Hotel com excelente presteza , excelente acessibilidade na cidade , ótimas instalações , , excelente estrutura dos apartamentos com alguns detalhes negativos físicos ( como cortinas , peças de cama ) , com pequenas falhas de apoio nos banheiros , mas de modo geral muito bom..  Café da manhã bem servido com muitas opções e variedades.  Restaurante a la carte , com poucas opções e preço alto.  Piscina na cobertura junto a academia , ambas com excelentes condições..  Vista do apartamento , piscina e academia = deslumbrante."
out. de 2021,3,um 5 estrelas parecendo 4,"Tido como melhor hotel de Vitória, foi uma decepção. Quarto espaçoso e silencioso. Café da manhã razoável. Roupa de cama e banho rasgadas. Atendimento eficiente, mas extremamente frio. Não recomendo, especialmente pagando o preço que paguei."
out. de 2021,4,Padrao da rede,"Muito bem localizado e com uma vista lindíssima. No restante padrão da rede: quartos e banheiro amplo, cama confortavel, enxoval de boa qualidade, limpeza eficiente , amenities de boa qualidade. Equipe educada ( mas não proativa) . Café da manhã bom."
set. de 2021,4,Hotel muito bom e bem localizado,"Otima localização para turistas. Pessoal muito simpatico, apesar de não saberem fornecer informações sobre retaurantes proximos. Instalações muito boas, quarto amplo e completo e confortável, com bela vista para o mar. Wifi free, estacionamento não é cobrado. Bom café da manhã, apesar de ser todo dia a mesma coisa. Bom bar e restaurante. Preço justo."
