Data da opinião,Nota,Título,Conteúdo
12 de dez.,2,Tem muito o que melhorar para valorizar a sua localização de frente para o mar.,"Hotel carece de uma boa reforma, tem cara e mobiliário antigo e não tão bem conservado. Café da manhã deixa muito a desejar, especialmente por ser um hotel de cunho turístico. Serviço de limpeza ruim, em um dia esqueceram de limpar, depois disso, ou faltava toalha de banho ou falta a toalha de rosto no quarto."
10 de dez.,2,Café da manhã e restaurante imundo.,"O apartamento é bom. Bem espaçoso e o banheiro é razoável.  O ruim mesmo é a parte de alimentação. O café da manhã tem pouquíssimas opções, o local é escuro demais, sem manutenção e nenhuma limpeza.  A garrafa do café é toda engordurada, os copos são opacos de tanta sujeira. Não tem nenhuma condição de comer algo nesse lugar.  A diária é caríssima para o que oferecem.  Eu não recomendo."
nov. de 2022,5,Perfeito,"Localização perfeita, pessoal atencioso e cortês. Praia ótima. Quartos limpos e completos. Banho perfeito com boa vazão e temperaturas confortáveis. Falta só melhorar o café da manhã. Demais todos nota dez."
nov. de 2022,4,Excelente localização,Excelente localização e atendimento. Colchão ruim com molas estragadas no apto 1808 e sofá cama no 1107 com assento afundado. É necessária manutenção desses itens. A segurança no entorno do hotel pode melhorar.
nov. de 2022,2,HOTEL COM MUITOS PROBLEMAS,"Fiquei hospedada nesse hotel de 27/08 até 01/09 e muita coisa não estava funcionando. A piscina estava fechada, disseram que era reforma, mas fui ver várias vezes e não havia pedreiros. Os aparelhos da academia estavam na sua maioria quebrados. A água quente do chuveiro deu problema várias vezes, enviaram um senhor para arrumar, ele foi tantas vezes ao nosso quarto, que ficou nosso amigo. O Wi-fi do quarto não funcionava. Parece que o problema era no andar todo, A máquina de café no térreo estava sempre em manutenção. A TV não funcionava bem, pegava apenas alguns canais. A cama era desnivelada, como se de um lado o colchão estivesse mais gasto. O café da manhã é bom. Nas proximidades do hotel não há muitos restaurantes e nem lanchonetes. Os quiosques são careiros, uma porção de batata e mandioca em torno de 100,00 . O aluguel de cadeira e guarda sol também 100,00."
nov. de 2022,5,Excelente,"Hotel excelente. Estrutura muito boa. Quarto com uma vista linda. Melhor opção de Vila Velha/Vitória. Atendimento impecável. Agradeço toda a equipe da recepção, mas em especial o sr Deivid por toda a atenção e ajuda. Considero o hotel a minha casa no Espírito Santo. Voltarei outras vezes com certeza."
out. de 2022,4,Vale a vista!,"Passamos as festas de fim de ano, mas fiquei algumas vezes antes. O café/restaurante é muito fraco... as pessoas são indiferentes e eu acho que o hotel deveria assumir ali. O jantar de Natal caro e ruim... muito ruim! Quartos já antigos, mas ótima limpeza e manutenção. O que vale? Os funcionários do hotel em si são ótimos e a vista!! É sensacional!! Invista num quarto de frente. Bem próximo tem as barracas da praia e a feirinha. Padarias e supermercados tbem."
set. de 2022,3,Muito a melhorar,O hotel decepcionou bastante e tem muito a melhorar. Primeiro que não tinha toalhas no quarto e as mesmas foram solicitadas e simplesmente não levaram. Somente na segunda diária que eu mesmo peguei na recepção se não ficaria sem. O café da manhã deixa muito a desejar bom pouquíssimas opções. O quarto e o hotel são antigos e água quente é limitado. Pelo preço da diária procuraria outras opções.
set. de 2022,5,Aniversário Santiago,"Tivemos uma estadia muito feliz e agradável no Quality Suítes Vila Velha.  O hotel é ótimo, confortável e o atendimento perfeito.  Gostaríamos de deixar registrado nossos sinceros agradecimentos a toda equipe do Quality, especialmente ao Leonardo e ao Ramom pela excelência no atendimento, eficiência, educação e gentileza ímpar. Vocês fizeram a diferença e tornaram nossa estadia ""5 estrelas"".  GRATIDÃO."
ago. de 2022,4,Passeio,"Boa tarde, exelente hotel , praia maravilhosa, um pouco a desejar os passeios , poucas opções, infraestrutura em determinadas praias fraca, mas um mar espetacular, super recomendo, pedra azul muito bonito, cidade de vila velha muito bonita , voltarei assim que der."
jul. de 2022,5,Melhor de Vila Velha!!!!,"Amei demais todo o conforto e tratamento de TODOS no hotel. Vista linda,quarto bem espaçoso,serviço 24h, atenciosos e foi uma experiência sem problema algum,amei tudo e recomendo! Tem piscina,vista panorâmica da Praia da Costa e dá pra ver o Convento, e tudo é preparado em seu quarto com o maior carinho."
jul. de 2022,5,FÉRIAS DE JULHO,"Hotel com atendimentos e aptos excelentes.  Estive em Julho de 2022, e tive um ótimo atendimento, café da manhã muito bem servido, limpeza 10, room service muito bom. Comida gostosa.  Sem contar a vista linda do apto.    Volto com toda certeza."
jul. de 2022,5,Hospedagem incrível!,"O Hotel é muito aconchegante, espaçoso e com atendimento impecável!  A higienização dos quartos é muito boa, além de uma vista incrível para a praia.  A estadia no Quality foi muito agradável e com certeza me hospedarei aqui de novo nas próximas vindas a Vila Velha."
jul. de 2022,5,O melhor Hotel de Vila Velha,"Excelente localização, os quartos são enormes e muito bem cuidado, hotel está um brinco, você entra e já sente um perfume maravilhoso no lobby.  Funcionários são muito simpáticos e prestativos, além do restaurante muito bom.  Superou todas as minhas expectativas."
jul. de 2022,5,Excelente experiência!!,"Excelente experiência!!  Apartamentos grandes, super limpos e com uma vista sensacional.  Café da manhã completo. Localização privilegiada em frente ao mar e próximo a tudo em vila velha.  Atendimento espetacular. Me senti em casa!  Área de lazer completa!"
jul. de 2022,5,Melhor hotel em Vila Velha,"Hotel sensacional para quem busca conforto, segurança, praticidade em uma ótima localização. Fiquei hospedado com minha família e me surpreendi pelo tamanho e qualidade dos quartos e serviços prestados. Com uma localização de frente a praia, para quem viaja com crianças a diversão é garantida. Funcionários muito atenciosos e cordiais. Limpeza impecável. As crianças adoraram a vista do apartamento e as cabaninhas para dormirem, sendo um diferencial para a hospedagem. Super indico o hotel!"
jul. de 2022,5,Férias maravilhosas em Vila Velha,"Atendimento espetacular, quarto sempre limpo e arrumado. Camareiras super atenciosas. Café da manhã variado. Localização excelente. Local privilegiado, tem restaurante no local. Em frente a praia da Costa, localizado no centro , o quarto ofereceu uma maravilhosa vista para o mar."
jul. de 2022,5,Viagem a trabalho,"Hotel muito bom, ótimo atendimento. Localização maravilhosa, acordar com a vista do mar é sensacional. Senti falta apenas de um cobertor mais grosso no quarto, fui num período frio e a noite ficou gelado."
jun. de 2022,1,Preço X Serviço,"Conforme vc coloca preço deve oferecer qualidade, qualquer pousada seria melhor, elevador ruim, piscina deveria ser aquecida, acústica péssima, durante estadia nao consegui dormir após almoço furadeira e manutenção apto de cima, restaurante péssimo, café razoável, quarto amplo, funcionários básicos.  Essa é minha contribuição.  Apto frente mar 408"
jun. de 2022,1,Experiência decadente,"Hotel velho, serviço ruim. Preço HIGH-TICKET serviço e experiência de hotel do interior. Ibes é extremante mais sofisticado. Em termos de experiência do hóspede.    Se tiver em Vila Velha prefira, Bristol.    Fiz reserva via telefone, chegando aqui não tinha reserva alguma."
