Data da opinião,Nota,Título,Conteúdo
dez. de 2022,4,Chalé aconchegante e espaçoso,"O lugar é incrível, aconchegante, espaçoso. Ficamos no chalé próximo à recepção. Excelente atendimento. Um dos melhores chalés que já ficamos. O café da manhã bem servido, boas opções e capricharam no natal com temas decorativos e comidinhas natalinas. Não tivemos tempo de desfrutar de tudo que é oferecido, e certamente voltaremos. Fomos atendidos no que solicitamos. Dois pontos de melhoria: tem uma cortina de plástico na banheira e estava com mofo/limo, e a duchinha do vaso estava bem suja também, nesse mesmo aspecto da cortina; o segundo ponto é que o piso do chalé precisa de reformas, perto da janela da sala ele afunda quando pisa e cheguei a tropeçar algumas vezes ao ir lá abrir a janela. São pontos que de forma alguma tiram o mérito do lugar, apenas sugiro a melhoria."
dez. de 2022,5,Sempre com ótimas experiencias,"Localização é no bairro mais charmoso de Canela, calmo e muito tranquilo.... porém muito próximo de todas atrações, centro com facil acesso.  Hotel muito bem cuidado nos minimos detalhes, tudo preparado com muito carinho, acomodações excelentes, chalé é maravilhoso. Café da manhã....sensacional!  Para quem têm filho(s), hotel possui estrutura com piscina aquecida, estrutura de cozinha para aquecer alimentos etc....  Sempre ficamos hospedados no Vila Suzana e recomendamos a todos.  Para"
nov. de 2022,5,Não trocamos por nenhum outro hotel,"Vamos há 4 anos e não trocamos por nenhum hotel. Fica perto de tudo, o hotel é tranquilo, muito bem cuidado, quartos excelentes, muito conforto. Café da manhã super farto com opções saudáveis e frescas."
nov. de 2022,5,Experiência excelente!,"Tudo muito lindo, estão de parabéns.  Cama maravilhosa, café da manhã delicioso, funcionários simpáticos e solícitos.  Localizada num bairro tranquilo e perto de tudo.  Voltaremos sempre que possível ao Vila Suzana e com certeza recomendáveis aos amigos mais exigentes que buscam qualidade em sua hospedagem."
out. de 2022,3,Estrutura deficiente e atendimento insatisfatório,"Reservei primeiramente pelo Booking e só depois o hotel avisou que teria taxas extras que não constavam nas informações previas da reserva. Depois reservei diretamente com o hotel e escolhi o hotel por ter piscina pois iria com crianças. Porém, a surpresa é que a piscina não estava liberada e o hotel nem para avisar antes. Argumentei essa questão da piscina mas a recepção e gerencia do hotel não deu a menor importância para minha frustação e da minha filha, e também não se propuseram a recompensar de alguma forma, como abatimento das despesas, o que foi sugerido por mim. Portanto, o local é bonito mas o atendimento e gestão deixa muito a desejar. Não pretendo voltar mais nem recomendarei para ninguém pela decepção gerada."
out. de 2022,5,Conforto e Privacidade,"Me hospedei durante sete dias no VS e fiquei encantada com tudo.  O hotel parece um condomínio horizontal. O bairro é muito gostoso para andar de bicicleta, caminhar. Bastante próximo do centro da cidade.  Fiquei em apto, mas possuem chalés também.O café da manhã com horário até às 11 horas, permitia umas horinhas a mais de sono.  A piscina bem quentinha ajudou a relaxar.E o jardim é lindo, com redes nas árvores, ambiente perfeito para uma leitura ao ar livre.  Quem busca privacidade, contato com a natureza e serviço de primeira, eu recomendo."
out. de 2022,5,Fantástico Hotel em Canela,"Sabe aquele hotel que vc não tem vontade de ir embora? Pois é, assim nos sentimos no Vila Suzana.  Chalé muito aconchegante, com banheira, lareira, sala de estar e calefacao, que deixou o ambiente perfeito para uma noite fria.  Eles oferecem ótimos vinhos e sais de banho na recepção. Já pegue no seu check in.  Café da manhã delicioso e diversificado, serviço atencioso dos colaboradores, desde camareiras até recepção.  Apenas pontos positivos para ressaltar.Sem dúvidas, não haverá arrependimento nesta escolha de hotel!"
set. de 2022,1,Odiei,"Quarto simplesmente horrível, chuveiro velho com os furos todos entupidos não sai água, decoração antiga (velha), café da manhã fraco, atendente da portaria antipática.  Quando olhei no site tudo maravilhoso, de bom só a localização e a natureza.  Acompanhe as fotos."
ago. de 2022,4,Bom custo Benefício,São vários chalés que formam uma pequena vila super aconchegante. Funcionários atenciosos. Café da manhã bom mas nada excepcional e nos dias frios você poderá tomá-lo no calorzinho de uma lareira. Bicicletas para passear aos arredores estão disponíveis para os hóspedes.
ago. de 2022,5,Hospedagem perfeita,"Fomos indicados por amigos que frequentam o Vila Suzana há anos e tivemos uma excelente surpresa com a estadia.  Quarto extremamente limpo, com banheiro recém reformado, uma banheira deliciosa para relaxar, e a lareira na sala, que deixa o clima especial.  Fomos muito bem recebidos pela Vivian, que nos deu dicas de restaurantes novos da cidade e foi muito atenciosa conosco. Aliás, toda a equipe está de parabéns pela cordialidade. Desde as camareiras até o garçom do café da manhã.  O hotel oferece bikes sem custo e é pet friendly, tinham vários cachorrinhos por lá!  Super recomendo o Vila Suzana e loguinho estarei de volta com a toda a minha família!"
ago. de 2022,5,Sempre perfeito!,"Frequentamos o VS há mais de 30 anos e o hotel segue nos surpreendendo.  Da última vez ficamos no Chalé 100 que foi todo reformado e está maravilhoso.  Cozinha toda equipada e moderna, além do aconchego da lareira e da banheira.  A vista para o lago deste chalé é demais, quando vc abre a janela de um dos quartos e se depara com dois patinhos nadando.  Outro ponto forte do hotel é o café da manhã e piscina, sempre quentinha e limpa.  Recomendo e muito a hospedagem no Vila!"
jul. de 2022,1,Não gostei,"Cobraram o valor diferente do informado.    A banheira do chalé estava cheia de fungo preto na borda.    O café da manhã de sexta era fraco, já no sábado tinha mais opções. O senhor era muito simpático e atencioso."
jul. de 2022,5,Maravilhoso,"Hotel maravilhoso, ótima localização, atendimentimento muito bom e quartos aconchegantes e confortáveis. Café da manhã muito bom também... ótimo lugar para se hospedar em canela, voltaremos nesse hotel em uma próxima oportunidade com certeza :)"
mai. de 2022,5,Viajem a passeio,"COmo sempre tudo otimo ja fui varias vezes no hotel e adoro sempre muito bem recebida, o cafe da manha e excelente os quartos sempre grandes. recomendo muito, lugar lindo e muito limpo sempre bem atenciosos."
